Title,Artist,UG_link
"""Die for You""",The Weeknd and Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/we-cant-be-friends-wait-for-your-love-chords-5176227
"""Rich Flex""",Drake and 21 Savage,https://tabs.ultimate-guitar.com/tab/rich-brian/crisis-chords-2231287
"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,https://tabs.ultimate-guitar.com/tab/slipknot/vermilion-pt-2-chords-120989
"""All My Life""",Lil Durk featuring J. Cole,https://tabs.ultimate-guitar.com/tab/charlie-landsborough/i-will-love-you-all-my-life-chords-2638416
"""One Thing at a Time""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/cristy-lane/one-day-at-a-time-chords-1825815
"""Search & Rescue""",Drake,https://tabs.ultimate-guitar.com/tab/the-searchers/saints-and-searchers-chords-3966187
"""Wait in the Truck""",Hardy featuring Lainey Wilson,https://tabs.ultimate-guitar.com/tab/harry-chapin/cats-in-the-cradle-chords-407661
"""All I Want for Christmas Is You""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/u2/all-i-want-is-you-chords-57144
"""Rockin' Around the Christmas Tree""",Brenda Lee,https://tabs.ultimate-guitar.com/tab/neil-young/rockin-in-the-free-world-chords-88605
"""Try That in a Small Town""",Jason Aldean,https://tabs.ultimate-guitar.com/tab/pearl-jam/elderly-woman-behind-the-counter-in-a-small-town-chords-266191
"""Princess Diana""",Ice Spice and Nicki Minaj,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/barbie-barbie-world-chords-4837982
"""Tomorrow 2""",GloRilla and Cardi B,https://tabs.ultimate-guitar.com/tab/tool/forty-six-and-2-chords-1741588
"""Wait for U""",Future featuring Drake and Tems,https://tabs.ultimate-guitar.com/tab/alex-g-sandy-alex-g/i-wait-for-you-chords-3618392
"""PRC""",Peso Pluma and Natanael Cano,https://tabs.ultimate-guitar.com/tab/natanael-cano/amg-chords-4637072
"""Peaches & Eggplants""",Young Nudy featuring 21 Savage,https://tabs.ultimate-guitar.com/tab/the-moldy-peaches/anyone-else-but-you-chords-630353
