Title,Artist,UG_link
"""Love the Way You Lie""",Eminem featuring Rihanna,https://tabs.ultimate-guitar.com/tab/bruno-mars/just-the-way-you-are-chords-970416
"""Imma Be""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/i-gotta-feeling-chords-832775
"""Empire State of Mind""",Jay-Z featuring Alicia Keys,https://tabs.ultimate-guitar.com/tab/alicia-keys/if-i-aint-got-you-chords-104252
"""Your Love Is My Drug""",Kesha,https://tabs.ultimate-guitar.com/tab/backstreet-boys/as-long-as-you-love-me-chords-263108
"""Like a G6""",Far East Movement featuring The Cataracs and Dev,https://tabs.ultimate-guitar.com/tab/the-fray/how-to-save-a-life-chords-258804
"""Only Girl (In the World)""",Rihanna,https://tabs.ultimate-guitar.com/tab/jp-saxe/if-the-world-was-ending-chords-2859782
"""Live Like We're Dying""",Kris Allen,https://tabs.ultimate-guitar.com/tab/tim-mcgraw/live-like-you-were-dying-chords-119445
"""All the Right Moves""",OneRepublic,https://tabs.ultimate-guitar.com/tab/bob-seger-the-silver-bullet-band/night-moves-chords-1765474
"""Tie Me Down""",New Boyz featuring Ray J,https://tabs.ultimate-guitar.com/tab/lcd-soundsystem/new-york-i-love-you-but-youre-bringing-me-down-chords-1676489
"""Party in the U.S.A.""",Miley Cyrus,https://tabs.ultimate-guitar.com/tab/miley-cyrus/the-climb-chords-786698
"""Rock That Body""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/i-gotta-feeling-chords-832775
"""There Goes My Baby""",Usher,https://tabs.ultimate-guitar.com/tab/d4vd/there-goes-my-baby-chords-5348499
