Title,Artist,UG_link
"""Lose You to Love Me""",Selena Gomez,https://tabs.ultimate-guitar.com/tab/ellie-goulding/love-me-like-you-do-chords-1698731
"""Laugh Now Cry Later""",Drake featuring Lil Durk,https://tabs.ultimate-guitar.com/tab/grace-jones/cry-now-laugh-later-chords-4070746
"""Señorita""",Shawn Mendes and Camila Cabello,https://tabs.ultimate-guitar.com/tab/shawn-mendes/i-know-what-you-did-last-summer-chords-1782751
"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,https://tabs.ultimate-guitar.com/tab/led-zeppelin/over-the-hills-and-far-away-chords-780068
"""Ritmo (Bad Boys for Life)""",Black Eyed Peas and J Balvin,https://tabs.ultimate-guitar.com/tab/firehouse/i-live-my-life-for-you-chords-146456
"""Nobody but You""",Blake Shelton and Gwen Stefani,https://tabs.ultimate-guitar.com/tab/eric-clapton/nobody-knows-you-when-youre-down-and-out-chords-114928
"""Come & Go""",Juice Wrld and Marshmello,https://tabs.ultimate-guitar.com/tab/nirvana/come-as-you-are-chords-77621
"""We Paid""",Lil Baby and 42 Dugg,https://tabs.ultimate-guitar.com/tab/bob-dylan/ill-be-your-baby-tonight-chords-927157
"""Got What I Got""",Jason Aldean,https://tabs.ultimate-guitar.com/tab/the-smiths/please-please-please-let-me-get-what-i-want-chords-84209
"""Bandit""",Juice Wrld and YoungBoy Never Broke Again,https://tabs.ultimate-guitar.com/tab/juice-wrld/come-and-go-chords-3240446
"""All I Want for Christmas Is You""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/u2/all-i-want-is-you-chords-57144
"""I Hope You're Happy Now""",Carly Pearce and Lee Brice,https://tabs.ultimate-guitar.com/tab/misc-children/if-youre-happy-and-you-know-it-chords-343405
"""The Woo""",Pop Smoke featuring 50 Cent and Roddy Ricch,https://tabs.ultimate-guitar.com/tab/the-script/the-man-who-cant-be-moved-chords-716149
"""The Scotts""",The Scotts (Travis Scott and Kid Cudi),https://tabs.ultimate-guitar.com/tab/lustra/scotty-doesnt-know-chords-951536
