Title,Artist,Duration_ms,Duration_s,Duration_min
"""Lose Control""",Teddy Swims,210688,210.69,3.51
"""A Bar Song (Tipsy)""",Shaboozey,171291,171.29,2.85
"""Beautiful Things""",Benson Boone,180304,180.3,3.01
"""I Had Some Help""",Post Malone featuring Morgan Wallen,178205,178.21,2.97
"""Lovin on Me""",Jack Harlow,138411,138.41,2.31
"""Not Like Us""",Kendrick Lamar,274192,274.19,4.57
"""Espresso""",Sabrina Carpenter,175459,175.46,2.92
"""Million Dollar Baby""",Tommy Richman,155151,155.15,2.59
"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,227195,227.19,3.79
"""Too Sweet""",Hozier,251424,251.42,4.19
"""Stick Season""",Noah Kahan,182346,182.35,3.04
"""Cruel Summer""",Taylor Swift,178426,178.43,2.97
"""Greedy""",Tate McRae,131872,131.87,2.2
"""Like That""","Future, Metro Boomin and Kendrick Lamar",228266,228.27,3.8
"""Birds of a Feather""",Billie Eilish,210373,210.37,3.51
"""Please Please Please""",Sabrina Carpenter,186365,186.37,3.11
"""Agora Hills""",Doja Cat,265360,265.36,4.42
"""Good Luck, Babe!""",Chappell Roan,218423,218.42,3.64
"""Saturn""",SZA,186191,186.19,3.1
"""Snooze""",SZA,201800,201.8,3.36
"""Paint the Town Red""",Doja Cat,231750,231.75,3.86
"""Fortnight""",Taylor Swift featuring Post Malone,228965,228.97,3.82
"""Fast Car""",Luke Combs,265493,265.49,4.42
"""Water""",Tyla,200255,200.25,3.34
"""Feather""",Sabrina Carpenter,185552,185.55,3.09
"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,228639,228.64,3.81
"""Austin""",Dasha,171782,171.78,2.86
"""Last Night""",Morgan Wallen,163854,163.85,2.73
"""Cowgirls""",Morgan Wallen featuring Ernest,181621,181.62,3.03
"""Pink Skies""",Zach Bryan,194920,194.92,3.25
"""Thinkin' Bout Me""",Morgan Wallen,177387,177.39,2.96
"""Texas Hold 'Em""",Beyoncé,233456,233.46,3.89
"""Is It Over Now?""",Taylor Swift,229477,229.48,3.82
"""Miles on It""",Marshmello and Kane Brown,180822,180.82,3.01
"""I Can Do It with a Broken Heart""",Taylor Swift,218004,218.0,3.63
"""Wild Ones""",Jessie Murph and Jelly Roll,177013,177.01,2.95
"""Ain't No Love in Oklahoma""",Luke Combs,210950,210.95,3.52
"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti,264334,264.33,4.41
"""Houdini""",Eminem,227239,227.24,3.79
"""Wanna Be""",GloRilla and Megan Thee Stallion,252000,252.0,4.2
"""Slow It Down""",Benson Boone,161831,161.83,2.7
"""Redrum""",21 Savage,270697,270.7,4.51
"""Houdini""",Dua Lipa,185917,185.92,3.1
"""Yeah Glo!""",GloRilla,142702,142.7,2.38
"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,319191,319.19,5.32
"""What Was I Made For?""",Billie Eilish,222369,222.37,3.71
"""End of Beginning""",Djo,159245,159.25,2.65
"""Lunch""",Billie Eilish,179586,179.59,2.99
"""Never Lose Me""",Flo Milli,125901,125.9,2.1
"""Lies Lies Lies""",Morgan Wallen,198068,198.07,3.3
"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti",228266,228.27,3.8
"""Gata Only""",FloyyMenor and Cris MJ,222000,222.0,3.7
"""Hot to Go!""",Chappell Roan,184841,184.84,3.08
"""All I Want for Christmas Is You""",Mariah Carey,241106,241.11,4.02
"""Get It Sexyy""",Sexyy Red,148551,148.55,2.48
"""Made for Me""",Muni Long,188000,188.0,3.13
"""Vampire""",Olivia Rodrigo,219724,219.72,3.66
"""Whatever She Wants""",Bryson Tiller,161342,161.34,2.69
"""Rockin' Around the Christmas Tree""",Brenda Lee,126266,126.27,2.1
"""Pretty Little Poison""",Warren Zeiders,218260,218.26,3.64
"""First Person Shooter""",Drake featuring J. Cole,247444,247.44,4.12
"""Die with a Smile""",Lady Gaga and Bruno Mars,251667,251.67,4.19
"""I Like the Way You Kiss Me""",Artemas,142514,142.51,2.38
"""Need a Favor""",Jelly Roll,197400,197.4,3.29
"""Save Me""",Jelly Roll featuring Lainey Wilson,230199,230.2,3.84
"""Euphoria""",Kendrick Lamar,383639,383.64,6.39
"""Truck Bed""",Hardy,167534,167.53,2.79
"""Jingle Bell Rock""",Bobby Helms,130973,130.97,2.18
"""Flowers""",Miley Cyrus,200600,200.6,3.34
"""Where the Wild Things Are""",Luke Combs,239533,239.53,3.99
"""Everybody""",Nicki Minaj featuring Lil Uzi Vert,180869,180.87,3.01
"""La Diabla""",Xavi,172264,172.26,2.87
"""Stargazing""",Myles Smith,172533,172.53,2.88
"""Last Christmas""",Wham!,267160,267.16,4.45
"""I Am Not Okay""",Jelly Roll,198066,198.07,3.3
"""Pour Me a Drink""",Post Malone featuring Blake Shelton,195122,195.12,3.25
"""White Horse""",Chris Stapleton,267893,267.89,4.46
"""Lil Boo Thang""",Paul Russell,114233,114.23,1.9
"""Good Good""","Usher, Summer Walker and 21 Savage",181013,181.01,3.02
"""Act II: Date @ 8""",4Batz and Drake,231338,231.34,3.86
"""High Road""",Koe Wetzel featuring Jessie Murph,179413,179.41,2.99
"""Monaco""",Bad Bunny,267194,267.19,4.45
"""IDGAF""",Drake featuring Yeat,260111,260.11,4.34
"""Burn It Down""",Parker McCollum,233869,233.87,3.9
"""FukUMean""",Gunna,125040,125.04,2.08
"""Taste""",Sabrina Carpenter,157279,157.28,2.62
"""Where It Ends""",Bailey Zimmerman,179294,179.29,2.99
"""FTCU""",Nicki Minaj,172137,172.14,2.87
"""Wildflower""",Billie Eilish,261466,261.47,4.36
"""World on Fire""",Nate Smith,189986,189.99,3.17
"""On My Mama""",Victoria Monét,186678,186.68,3.11
"""Yes, And?""",Ariana Grande,214994,214.99,3.58
"""Exes""",Tate McRae,159400,159.4,2.66
"""A Holly Jolly Christmas""",Burl Ives,135533,135.53,2.26
"""Wind Up Missin' You""",Tucker Wetmore,166666,166.67,2.78
"""Bulletproof""",Nate Smith,183919,183.92,3.07
"""Fe!n""",Travis Scott featuring Playboi Carti,191700,191.7,3.19
"""The Painter""",Cody Johnson,211413,211.41,3.52
"""Down Bad""",Taylor Swift,261228,261.23,4.35
"""Dance the Night""",Dua Lipa,176579,176.58,2.94
