Title,Artist,Duration_ms,Duration_s,Duration_min
"""Irreplaceable""",Beyoncé,227666,227.67,3.79
"""Umbrella""",Rihanna featuring Jay-Z,275986,275.99,4.6
"""The Sweet Escape""",Gwen Stefani featuring Akon,246466,246.47,4.11
"""Big Girls Don't Cry""",Fergie,268120,268.12,4.47
"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,227960,227.96,3.8
"""Before He Cheats""",Carrie Underwood,199946,199.95,3.33
"""Hey There Delilah""",Plain White T's,232533,232.53,3.88
"""I Wanna Love You""",Akon featuring Snoop Dogg,247066,247.07,4.12
"""Say It Right""",Nelly Furtado,223080,223.08,3.72
"""Glamorous""",Fergie featuring Ludacris,246600,246.6,4.11
"""Don't Matter""",Akon,293053,293.05,4.88
"""Girlfriend""",Avril Lavigne,216600,216.6,3.61
"""Makes Me Wonder""",Maroon 5,211080,211.08,3.52
"""Party Like a Rockstar""",Shop Boyz,214640,214.64,3.58
"""Smack That""",Akon featuring Eminem,212360,212.36,3.54
"""This Is Why I'm Hot""",Mims,253706,253.71,4.23
"""It's Not Over""",Daughtry,215026,215.03,3.58
"""The Way I Are""",Timbaland featuring Keri Hilson,179120,179.12,2.99
"""Fergalicious""",Fergie featuring will.i.am,292373,292.37,4.87
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,221933,221.93,3.7
"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,231960,231.96,3.87
"""What Goes Around... Comes Around""",Justin Timberlake,448573,448.57,7.48
"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,243773,243.77,4.06
"""How to Save a Life""",The Fray,262533,262.53,4.38
"""Home""",Daughtry,255666,255.67,4.26
"""My Love""",Justin Timberlake featuring T.I.,276160,276.16,4.6
"""Stronger""",Kanye West,311866,311.87,5.2
"""We Fly High""",Jim Jones,236080,236.08,3.93
"""U + Ur Hand""",Pink,214386,214.39,3.57
"""Walk It Out""",Unk,173040,173.04,2.88
"""Beautiful Girls""",Sean Kingston,225373,225.37,3.76
"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,212040,212.04,3.53
"""Bartender""",T-Pain featuring Akon,238813,238.81,3.98
"""Pop, Lock & Drop It""",Huey,261026,261.03,4.35
"""Runaway Love""",Ludacris featuring Mary J. Blige,280680,280.68,4.68
"""Rockstar""",Nickelback,255493,255.49,4.26
"""Thnks fr th Mmrs""",Fall Out Boy,203506,203.51,3.39
"""What I've Done""",Linkin Park,205226,205.23,3.42
"""Summer Love""",Justin Timberlake,252973,252.97,4.22
"""You""",Lloyd featuring Lil Wayne,273133,273.13,4.55
"""Wait for You""",Elliott Yamin,261320,261.32,4.36
"""Last Night""",Diddy featuring Keyshia Cole,386146,386.15,6.44
"""Make It Rain""",Fat Joe featuring Lil Wayne,247413,247.41,4.12
"""Make Me Better""",Fabolous featuring Ne-Yo,253573,253.57,4.23
"""Ice Box""",Omarion,256426,256.43,4.27
"""Lips of an Angel""",Hinder,261853,261.85,4.36
"""Waiting on the World to Change""",John Mayer,201173,201.17,3.35
"""Lost Without U""",Robin Thicke,254146,254.15,4.24
"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,166493,166.49,2.77
"""If Everyone Cared""",Nickelback,217973,217.97,3.63
"""Get It Shawty""",Lloyd,209533,209.53,3.49
"""Face Down""",The Red Jumpsuit Apparatus,192000,192.0,3.2
"""The Way I Live""",Baby Boy da Prince,324906,324.91,5.42
"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,268066,268.07,4.47
"""It Ends Tonight""",The All-American Rejects,244826,244.83,4.08
"""A Bay Bay""",Hurricane Chris,257120,257.12,4.29
"""Because of You""",Ne-Yo,266840,266.84,4.45
"""I Tried""",Bone Thugs-n-Harmony featuring Akon,287480,287.48,4.79
"""Welcome To The Black Parade""",My Chemical Romance,311106,311.11,5.19
"""Shawty""",Plies featuring T-Pain,255413,255.41,4.26
"""Chasing Cars""",Snow Patrol,267960,267.96,4.47
"""Beautiful Liar""",Beyoncé and Shakira,235933,235.93,3.93
"""SexyBack""",Justin Timberlake featuring Timbaland,242733,242.73,4.05
"""Keep Holding On""",Avril Lavigne,239906,239.91,4.0
"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,238360,238.36,3.97
"""Apologize""",OneRepublic,184400,184.4,3.07
"""Bubbly""",Colbie Caillat,196226,196.23,3.27
"""Like a Boy""",Ciara,237053,237.05,3.95
"""Who Knew""",Pink,208493,208.49,3.47
"""Never Again""",Kelly Clarkson,217293,217.29,3.62
"""Promise""",Ciara,267413,267.41,4.46
"""Bed""",J. Holiday,275106,275.11,4.59
"""Throw Some D's""",Rich Boy featuring Polow da Don,263920,263.92,4.4
"""Rehab""",Amy Winehouse,214946,214.95,3.58
"""No One""",Alicia Keys,254523,254.52,4.24
"""The Great Escape""",Boys Like Girls,206520,206.52,3.44
"""2 Step""",Unk,177360,177.36,2.96
"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,238160,238.16,3.97
"""Go Getta""",Young Jeezy featuring R. Kelly,229346,229.35,3.82
"""Here (In Your Arms)""",Hellogoodbye,240546,240.55,4.01
"""On the Hotline""",Pretty Ricky,242586,242.59,4.04
"""Wind It Up""",Gwen Stefani,189586,189.59,3.16
"""Cyclone""",Baby Bash featuring T-Pain,237680,237.68,3.96
"""Break It Off""",Rihanna featuring Sean Paul,215600,215.6,3.59
"""First Time""",Lifehouse,203640,203.64,3.39
"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,247946,247.95,4.13
"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,238266,238.27,3.97
"""Teardrops on My Guitar""",Taylor Swift,203040,203.04,3.38
"""Shut Up and Drive""",Rihanna,212280,212.28,3.54
"""Snow (Hey Oh)""",Red Hot Chili Peppers,334666,334.67,5.58
"""Money Maker""",Ludacris featuring Pharrell,230613,230.61,3.84
"""Kiss Kiss""",Chris Brown featuring T-Pain,250666,250.67,4.18
"""Far Away""",Nickelback,238160,238.16,3.97
"""Rock Yo Hips""",Crime Mob and Lil' Scrappy,228786,228.79,3.81
"""LoveStoned""",Justin Timberlake,444333,444.33,7.41
"""Better than Me""",Hinder,223533,223.53,3.73
"""Paralyzer""",Finger Eleven,208106,208.11,3.47
"""That's That""",Snoop Dogg featuring R. Kelly,257640,257.64,4.29
"""Same Girl""",R. Kelly featuring Usher,252933,252.93,4.22
