Title,Artist,Duration_ms,Duration_s,Duration_min
"""Love Yourself""",Justin Bieber,233720,233.72,3.9
"""Sorry""",Justin Bieber,200786,200.79,3.35
"""One Dance""",Drake featuring Wizkid and Kyla,173986,173.99,2.9
"""Work""",Rihanna featuring Drake,219320,219.32,3.66
"""Stressed Out""",Twenty One Pilots,202333,202.33,3.37
"""Panda""",Desiigner,246761,246.76,4.11
"""Hello""",Adele,295502,295.5,4.93
"""Don't Let Me Down""",The Chainsmokers featuring Daya,208373,208.37,3.47
"""Can't Stop the Feeling!""",Justin Timberlake,236001,236.0,3.93
"""Closer""",The Chainsmokers featuring Halsey,244960,244.96,4.08
"""Cheap Thrills""",Sia featuring Sean Paul,224813,224.81,3.75
"""7 Years""",Lukas Graham,237300,237.3,3.96
"""Needed Me""",Rihanna,191600,191.6,3.19
"""My House""",Flo Rida,192190,192.19,3.2
"""I Took a Pill in Ibiza""",Mike Posner,197933,197.93,3.3
"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,214480,214.48,3.57
"""This Is What You Came For""",Calvin Harris featuring Rihanna,222160,222.16,3.7
"""Cake by the Ocean""",DNCE,219146,219.15,3.65
"""Me, Myself & I""",G-Eazy and Bebe Rexha,251466,251.47,4.19
"""Ride""",Twenty One Pilots,214506,214.51,3.58
"""Heathens""",Twenty One Pilots,195920,195.92,3.27
"""Pillowtalk""",Zayn,202746,202.75,3.38
"""Stitches""",Shawn Mendes,206880,206.88,3.45
"""Hotline Bling""",Drake,267066,267.07,4.45
"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,185351,185.35,3.09
"""Send My Love (To Your New Lover)""",Adele,223078,223.08,3.72
"""Roses""",The Chainsmokers featuring Rozes,225813,225.81,3.76
"""Treat You Better""",Shawn Mendes,187973,187.97,3.13
"""Too Good""",Drake featuring Rihanna,263373,263.37,4.39
"""Low Life""",Future featuring The Weeknd,313546,313.55,5.23
"""What Do You Mean?""",Justin Bieber,205680,205.68,3.43
"""The Hills""",The Weeknd,242253,242.25,4.04
"""Just Like Fire""",P!nk,215413,215.41,3.59
"""Broccoli""",DRAM featuring Lil Yachty,225205,225.21,3.75
"""Don't""",Bryson Tiller,198293,198.29,3.3
"""Dangerous Woman""",Ariana Grande,235946,235.95,3.93
"""Jumpman""",Drake and Future,305840,305.84,5.1
"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien,251033,251.03,4.18
"""Here""",Alessia Cara,199453,199.45,3.32
