Title,Artist,Duration_ms,Duration_s,Duration_min
"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,258431,258.43,4.31
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,263826,263.83,4.4
"""Radioactive""",Imagine Dragons,186813,186.81,3.11
"""Harlem Shake""",Baauer,196664,196.66,3.28
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,258431,258.43,4.31
"""Mirrors""",Justin Timberlake,484146,484.15,8.07
"""Just Give Me a Reason""",Pink featuring Nate Ruess,242733,242.73,4.05
"""When I Was Your Man""",Bruno Mars,213826,213.83,3.56
"""Cruise""",Florida Georgia Line featuring Nelly,208960,208.96,3.48
"""Roar""",Katy Perry,223546,223.55,3.73
"""Locked Out of Heaven""",Bruno Mars,233478,233.48,3.89
"""Ho Hey""",The Lumineers,163133,163.13,2.72
"""Stay""",Rihanna featuring Mikky Ekko,240706,240.71,4.01
"""Get Lucky""",Daft Punk featuring Pharrell Williams,248413,248.41,4.14
"""Royals""",Lorde,190185,190.19,3.17
"""I Knew You Were Trouble.""",Taylor Swift,219720,219.72,3.66
"""We Can't Stop""",Miley Cyrus,231240,231.24,3.85
"""Wrecking Ball""",Miley Cyrus,221360,221.36,3.69
"""Wake Me Up""",Avicii,247426,247.43,4.12
"""Suit & Tie""",Justin Timberlake featuring Jay-Z,326280,326.28,5.44
"""Cups (Pitch Perfect's *When I'm Gone*)""",Anna Kendrick,126880,126.88,2.11
"""Holy Grail""",Jay-Z featuring Justin Timberlake,338413,338.41,5.64
"""Scream & Shout""",will.i.am featuring Britney Spears,283400,283.4,4.72
"""Clarity""",Zedd featuring Foxes,271426,271.43,4.52
"""Sail""",Awolnation,259093,259.09,4.32
"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,212862,212.86,3.55
"""Diamonds""",Rihanna,225146,225.15,3.75
"""I Love It""",Icona Pop featuring Charli XCX,157152,157.15,2.62
"""Safe and Sound""",Capital Cities,192789,192.79,3.21
"""Treasure""",Bruno Mars,178560,178.56,2.98
"""The Way""",Ariana Grande featuring Mac Miller,227026,227.03,3.78
"""Started from the Bottom""",Drake,174120,174.12,2.9
"""Come & Get It""",Selena Gomez,231986,231.99,3.87
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,227880,227.88,3.8
"""Daylight""",Maroon 5,225066,225.07,3.75
"""Feel This Moment""",Pitbull featuring Christina Aguilera,229506,229.51,3.83
"""Applause""",Lady Gaga,212333,212.33,3.54
"""One More Night""",Maroon 5,219546,219.55,3.66
"""Love Me""",Lil Wayne featuring Drake and Future,255053,255.05,4.25
"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,186826,186.83,3.11
"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",233786,233.79,3.9
"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj,227986,227.99,3.8
"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert,258431,258.43,4.31
"""Sweet Nothing""",Calvin Harris featuring Florence Welch,212560,212.56,3.54
"""Summertime Sadness""",Lana Del Rey and Cédric Gervais,236053,236.05,3.93
"""Home""",Phillip Phillips,210173,210.17,3.5
"""It's Time""",Imagine Dragons,240306,240.31,4.01
"""Power Trip""",J. Cole featuring Miguel,241160,241.16,4.02
"""Girl on Fire""",Alicia Keys featuring Nicki Minaj,224920,224.92,3.75
"""Heart Attack""",Demi Lovato,210840,210.84,3.51
"""Love Somebody""",Maroon 5,229973,229.97,3.83
"""I Will Wait""",Mumford & Sons,245173,245.17,4.09
"""Try""",Pink,247906,247.91,4.13
"""Wagon Wheel""",Darius Rucker,298373,298.37,4.97
"""Gangnam Style""",Psy,219493,219.49,3.66
"""I Need Your Love""",Calvin Harris featuring Ellie Goulding,234506,234.51,3.91
"""Die Young""",Kesha,211920,211.92,3.53
"""Some Nights""",Fun,277040,277.04,4.62
"""Bad""",Wale featuring Tiara Thomas or Rihanna,238826,238.83,3.98
"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,288760,288.76,4.81
"""Gone, Gone, Gone""",Phillip Phillips,209693,209.69,3.49
"""Demons""",Imagine Dragons,177506,177.51,2.96
"""Counting Stars""",OneRepublic,257265,257.26,4.29
"""I Cry""",Flo Rida,223800,223.8,3.73
"""Little Talks""",Of Monsters and Men,266600,266.6,4.44
"""The Other Side""",Jason Derulo,226986,226.99,3.78
"""Berzerk""",Eminem,238746,238.75,3.98
"""Catch My Breath""",Kelly Clarkson,251506,251.51,4.19
"""Crash My Party""",Luke Bryan,234760,234.76,3.91
"""Pour It Up""",Rihanna,161200,161.2,2.69
"""22""",Taylor Swift,230960,230.96,3.85
"""I Want Crazy""",Hunter Hayes,236865,236.87,3.95
"""The Fox (What Does the Fox Say?)""",Ylvis,213708,213.71,3.56
"""Best Song Ever""",One Direction,200106,200.11,3.34
"""The A Team""",Ed Sheeran,258373,258.37,4.31
"""Carry On""",Fun,278373,278.37,4.64
"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,279066,279.07,4.65
"""That's My Kind of Night""",Luke Bryan,190186,190.19,3.17
"""Swimming Pools (Drank)""",Kendrick Lamar,247800,247.8,4.13
"""Sure Be Cool If You Did""",Blake Shelton,215720,215.72,3.6
"""Troublemaker""",Olly Murs featuring Flo Rida,185586,185.59,3.09
"""Body Party""",Ciara,234040,234.04,3.9
"""Adorn""",Miguel,193146,193.15,3.22
"""Hall of Fame""",The Script featuring will.i.am,202533,202.53,3.38
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,251626,251.63,4.19
"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross,260276,260.28,4.34
"""Next to Me""",Emeli Sandé,196746,196.75,3.28
"""Mama's Broken Heart""",Miranda Lambert,177773,177.77,2.96
"""It Goes Like This""",Thomas Rhett,187813,187.81,3.13
