Title,Artist,Duration_ms,Duration_s,Duration_min
"""Rolling in the Deep""",Adele,228093,228.09,3.8
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,262146,262.15,4.37
"""Firework""",Katy Perry,227893,227.89,3.8
"""E.T.""",Katy Perry featuring Kanye West,206373,206.37,3.44
"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",256280,256.28,4.27
"""Grenade""",Bruno Mars,222091,222.09,3.7
"""Super Bass""",Nicki Minaj,200013,200.01,3.33
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,201493,201.49,3.36
"""Just Can't Get Enough""",The Black Eyed Peas,219426,219.43,3.66
"""On the Floor""",Jennifer Lopez featuring Pitbull,284866,284.87,4.75
"""S&M""",Rihanna,243600,243.6,4.06
"""Pumped Up Kicks""",Foster the People,239600,239.6,3.99
"""Last Friday Night (T.G.I.F.)""",Katy Perry,230733,230.73,3.85
"""Just the Way You Are""",Bruno Mars,220734,220.73,3.68
"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,231293,231.29,3.85
"""Raise Your Glass""",Pink,202960,202.96,3.38
"""Born This Way""",Lady Gaga,260252,260.25,4.34
"""Fuckin' Perfect""",Pink,228843,228.84,3.81
"""What's My Name?""",Rihanna featuring Drake,263173,263.17,4.39
"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,222586,222.59,3.71
"""Down on Me""",Jeremih featuring 50 Cent,228453,228.45,3.81
"""How to Love""",Lil Wayne,240306,240.31,4.01
"""Someone Like You""",Adele,285240,285.24,4.75
"""Good Life""",OneRepublic,253306,253.31,4.22
"""The Lazy Song""",Bruno Mars,189109,189.11,3.15
"""Till the World Ends""",Britney Spears,237946,237.95,3.97
"""The Show Goes On""",Lupe Fiasco,239613,239.61,3.99
"""The Edge of Glory""",Lady Gaga,320546,320.55,5.34
"""We R Who We R""",Kesha,204760,204.76,3.41
"""Black and Yellow""",Wiz Khalifa,217666,217.67,3.63
"""Tonight Tonight""",Hot Chelle Rae,200466,200.47,3.34
"""Blow""",Kesha,219973,219.97,3.67
"""Lighters""",Bad Meets Evil featuring Bruno Mars,303813,303.81,5.06
"""If I Die Young""",The Band Perry,222773,222.77,3.71
"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,210960,210.96,3.52
"""The Time (Dirty Bit)""",The Black Eyed Peas,307640,307.64,5.13
"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,238693,238.69,3.98
"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,234453,234.45,3.91
"""Only Girl (In the World)""",Rihanna,235493,235.49,3.92
"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,248586,248.59,4.14
"""Just a Kiss""",Lady Antebellum,218840,218.84,3.65
"""Dirt Road Anthem""",Jason Aldean,229400,229.4,3.82
"""Dynamite""",Taio Cruz,202613,202.61,3.38
"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,263773,263.77,4.4
"""I Wanna Go""",Britney Spears,210266,210.27,3.5
"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",296146,296.15,4.94
"""You Make Me Feel...""",Cobra Starship featuring Sabi,215693,215.69,3.59
"""Yeah 3x""",Chris Brown,241666,241.67,4.03
"""Moment 4 Life""",Nicki Minaj featuring Drake,279306,279.31,4.66
"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,283733,283.73,4.73
"""Just a Dream""",Nelly,237800,237.8,3.96
"""Motivation""",Kelly Rowland featuring Lil Wayne,230560,230.56,3.84
"""Stereo Love""",Edward Maya featuring Vika Jigulina,247614,247.61,4.13
"""Jar of Hearts""",Christina Perri,246587,246.59,4.11
"""Roll Up""",Wiz Khalifa,227773,227.77,3.8
"""Sexy and I Know It""",LMFAO,199480,199.48,3.32
"""Rocketeer""",Far East Movement featuring Ryan Tedder,211253,211.25,3.52
"""All of the Lights""",Kanye West,299613,299.61,4.99
"""Hold It Against Me""",Britney Spears,228826,228.83,3.81
"""More""",Usher,219986,219.99,3.67
"""What the Hell""",Avril Lavigne,220706,220.71,3.68
"""Written in the Stars""",Tinie Tempah featuring Eric Turner,207653,207.65,3.46
"""Bottoms Up""",Trey Songz featuring Nicki Minaj,242013,242.01,4.03
"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,214280,214.28,3.57
"""For the First Time""",The Script,252440,252.44,4.21
"""Honey Bee""",Blake Shelton,210720,210.72,3.51
"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,256440,256.44,4.27
"""We Found Love""",Rihanna featuring Calvin Harris,215226,215.23,3.59
"""Pretty Girl Rock""",Keri Hilson,243920,243.92,4.07
"""Yoü and I""",Lady Gaga,307360,307.36,5.12
"""Like a G6""",Far East Movement featuring The Cataracs and Dev,216893,216.89,3.61
"""Without You""",David Guetta featuring Usher,208133,208.13,3.47
"""Back to December""",Taylor Swift,294189,294.19,4.9
"""Teenage Dream""",Katy Perry,227741,227.74,3.8
"""Crazy Girl""",Eli Young Band,200706,200.71,3.35
"""Cheers (Drink to That)""",Rihanna,261746,261.75,4.36
"""Who Says""",Selena Gomez & the Scene,197993,197.99,3.3
"""Barefoot Blue Jean Night""",Jake Owen,167426,167.43,2.79
