Title,Artist,Duration_ms,Duration_s,Duration_min
"""Bad Day""",Daniel Powter,233640,233.64,3.89
"""Temperature""",Sean Paul,218573,218.57,3.64
"""Promiscuous""",Nelly Furtado featuring Timbaland,242293,242.29,4.04
"""You're Beautiful""",James Blunt,209493,209.49,3.49
"""Hips Don't Lie""",Shakira featuring Wyclef Jean,218093,218.09,3.63
"""Unwritten""",Natasha Bedingfield,259333,259.33,4.32
"""Crazy""",Gnarls Barkley,177933,177.93,2.97
"""Ridin'""",Chamillionaire featuring Krayzie Bone,303053,303.05,5.05
"""SexyBack""",Justin Timberlake featuring Timbaland,242733,242.73,4.05
"""Check on It""",Beyoncé featuring Slim Thug and Bun B,210840,210.84,3.51
"""Be Without You""",Mary J. Blige,246333,246.33,4.11
"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,271160,271.16,4.52
"""Over My Head (Cable Car)""",The Fray,236266,236.27,3.94
"""Me & U""",Cassie,192213,192.21,3.2
"""Buttons""",Pussycat Dolls featuring Snoop Dogg,225560,225.56,3.76
"""Run It!""",Chris Brown featuring Juelz Santana,229866,229.87,3.83
"""So Sick""",Ne-Yo,207186,207.19,3.45
"""It's Goin' Down""",Yung Joc featuring Nitti,241840,241.84,4.03
"""SOS""",Rihanna,238920,238.92,3.98
"""I Write Sins Not Tragedies""",Panic! at the Disco,186634,186.63,3.11
"""Move Along""",The All-American Rejects,238880,238.88,3.98
"""London Bridge""",Fergie,241306,241.31,4.02
"""Dani California""",Red Hot Chili Peppers,282160,282.16,4.7
"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,274386,274.39,4.57
"""Lean wit It, Rock wit It""",Dem Franchize Boyz featuring Peanut and Charlay,229813,229.81,3.83
"""What Hurts the Most""",Rascal Flatts,214106,214.11,3.57
"""How to Save a Life""",The Fray,262533,262.53,4.38
"""Unfaithful""",Rihanna,226973,226.97,3.78
"""Chasing Cars""",Snow Patrol,267960,267.96,4.47
