Title,Artist,Duration_ms,Duration_s,Duration_min
"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,113000,113.0,1.88
"""Sunflower""",Post Malone and Swae Lee,210000,210.0,3.5
"""Without Me""",Halsey,201660,201.66,3.36
"""Bad Guy""",Billie Eilish,194087,194.09,3.23
"""Wow""",Post Malone,149546,149.55,2.49
"""Happier""",Marshmello and Bastille,180822,180.82,3.01
"""7 Rings""",Ariana Grande,178626,178.63,2.98
"""Talk""",Khalid,197573,197.57,3.29
"""Sicko Mode""",Travis Scott,312820,312.82,5.21
"""Sucker""",Jonas Brothers,181026,181.03,3.02
"""High Hopes""",Panic! at the Disco,190946,190.95,3.18
"""Thank U, Next""",Ariana Grande,207320,207.32,3.46
"""Truth Hurts""",Lizzo,173325,173.32,2.89
"""Dancing with a Stranger""",Sam Smith and Normani,171029,171.03,2.85
"""Señorita""",Shawn Mendes and Camila Cabello,199440,199.44,3.32
"""I Don't Care""",Ed Sheeran and Justin Bieber,219946,219.95,3.67
"""Eastside""","Benny Blanco, Halsey and Khalid",170769,170.77,2.85
"""Going Bad""",Meek Mill featuring Drake,180522,180.52,3.01
"""Shallow""",Lady Gaga and Bradley Cooper,215733,215.73,3.6
"""Better""",Khalid,229320,229.32,3.82
"""No Guidance""",Chris Brown featuring Drake,260640,260.64,4.34
"""Girls Like You""",Maroon 5 featuring Cardi B,235545,235.54,3.93
"""Sweet but Psycho""",Ava Max,187436,187.44,3.12
"""Suge""",DaBaby,163320,163.32,2.72
"""Middle Child""",J. Cole,213593,213.59,3.56
"""Drip Too Hard""",Lil Baby and Gunna,145542,145.54,2.43
"""Someone You Loved""",Lewis Capaldi,182160,182.16,3.04
"""Ransom""",Lil Tecca,131240,131.24,2.19
"""If I Can't Have You""",Shawn Mendes,191466,191.47,3.19
"""Goodbyes""",Post Malone featuring Young Thug,174853,174.85,2.91
"""Zeze""",Kodak Black featuring Travis Scott and Offset,228759,228.76,3.81
"""Better Now""",Post Malone,231266,231.27,3.85
"""Youngblood""",5 Seconds of Summer,203417,203.42,3.39
"""Money in the Grave""",Drake featuring Rick Ross,205426,205.43,3.42
"""Speechless""",Dan + Shay,213386,213.39,3.56
"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,190440,190.44,3.17
"""Please Me""",Cardi B and Bruno Mars,223712,223.71,3.73
"""Money""",Cardi B,183527,183.53,3.06
"""You Need to Calm Down""",Taylor Swift,171360,171.36,2.86
"""Panini""",Lil Nas X,114893,114.89,1.91
"""Look Back at It""",A Boogie wit da Hoodie,179449,179.45,2.99
"""A Lot""",21 Savage,288624,288.62,4.81
"""Me!""",Taylor Swift featuring Brendon Urie,193000,193.0,3.22
"""Mia""",Bad Bunny featuring Drake,210367,210.37,3.51
"""Pop Out""",Polo G featuring Lil Tjay,166560,166.56,2.78
"""Beautiful Crazy""",Luke Combs,193200,193.2,3.22
"""Thotiana""",Blueface,129264,129.26,2.15
"""Lucid Dreams""",Juice Wrld,239835,239.84,4.0
"""Mo Bamba""",Sheck Wes,183906,183.91,3.07
"""Beautiful People""",Ed Sheeran featuring Khalid,197866,197.87,3.3
"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",203161,203.16,3.39
"""Whiskey Glasses""",Morgan Wallen,234346,234.35,3.91
"""God's Country""",Blake Shelton,205106,205.11,3.42
"""Be Alright""",Dean Lewis,196493,196.49,3.27
"""Pure Water""",Mustard and Migos,242983,242.98,4.05
"""The Git Up""",Blanco Brown,200593,200.59,3.34
"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",212500,212.5,3.54
"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,227266,227.27,3.79
"""Envy Me""",Calboy,120133,120.13,2.0
"""You Say""",Lauren Daigle,274693,274.69,4.58
"""Hey Look Ma, I Made It""",Panic! at the Disco,169666,169.67,2.83
"""Circles""",Post Malone,215280,215.28,3.59
"""Beer Never Broke My Heart""",Luke Combs,186733,186.73,3.11
"""The London""","Young Thug, J. Cole and Travis Scott",200186,200.19,3.34
"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,192600,192.6,3.21
"""Murder on My Mind""",YNW Melly,268434,268.43,4.47
"""When the Party's Over""",Billie Eilish,196077,196.08,3.27
"""Act Up""",City Girls,158332,158.33,2.64
"""I Like It""","Cardi B, Bad Bunny and J Balvin",253390,253.39,4.22
"""Trampoline""",Shaed,184280,184.28,3.07
"""Leave Me Alone""",Flipp Dinero,195637,195.64,3.26
"""Breathin""",Ariana Grande,198160,198.16,3.3
"""Bury a Friend""",Billie Eilish,193143,193.14,3.22
"""Close Friends""",Lil Baby,203881,203.88,3.4
"""Baby Shark""",Pinkfong,80927,80.93,1.35
"""My Type""",Saweetie,126446,126.45,2.11
"""Worth It""",YK Osiris,189253,189.25,3.15
"""Only Human""",Jonas Brothers,183000,183.0,3.05
"""Knockin' Boots""",Luke Bryan,200066,200.07,3.33
"""Trip""",Ella Mai,213993,213.99,3.57
"""Rumor""",Lee Brice,198440,198.44,3.31
"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine,189486,189.49,3.16
"""How Do You Sleep?""",Sam Smith,202204,202.2,3.37
"""Baby""",Lil Baby and DaBaby,142417,142.42,2.37
"""Look What God Gave Her""",Thomas Rhett,168960,168.96,2.82
"""Good as You""",Kane Brown,192053,192.05,3.2
"""Clout""",Offset featuring Cardi B,205803,205.8,3.43
"""Love Lies""",Khalid and Normani,200185,200.19,3.34
"""One Thing Right""",Marshmello and Kane Brown,201600,201.6,3.36
"""Cash Shit""",Megan Thee Stallion featuring DaBaby,192539,192.54,3.21
"""Tequila""",Dan + Shay,196746,196.75,3.28
"""Shotta Flow""",NLE Choppa,176631,176.63,2.94
"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,199427,199.43,3.32
"""Talk You Out of It""",Florida Georgia Line,202920,202.92,3.38
"""Beautiful""",Bazzi featuring Camila Cabello,180000,180.0,3.0
"""Eyes on You""",Chase Rice,182493,182.49,3.04
"""All to Myself""",Dan + Shay,169920,169.92,2.83
"""Boyfriend""",Ariana Grande and Social House,228639,228.64,3.81
"""Walk Me Home""",Pink,177390,177.39,2.96
"""Robbery""",Juice Wrld,240050,240.05,4.0
