Title,Artist,Duration_ms,Duration_s,Duration_min
"""Low""",Flo Rida featuring T-Pain,231400,231.4,3.86
"""Bleeding Love""",Leona Lewis,262466,262.47,4.37
"""No One""",Alicia Keys,254523,254.52,4.24
"""Lollipop""",Lil Wayne featuring Static Major,299333,299.33,4.99
"""Apologize""",Timbaland featuring OneRepublic,184400,184.4,3.07
"""No Air""",Jordin Sparks and Chris Brown,263880,263.88,4.4
"""Love Song""",Sara Bareilles,258826,258.83,4.31
"""Love in This Club""",Usher featuring Young Jeezy,259720,259.72,4.33
"""With You""",Chris Brown,252120,252.12,4.2
"""Forever""",Chris Brown,278573,278.57,4.64
"""Sexy Can I""",Ray J featuring Yung Berg,204040,204.04,3.4
"""Take a Bow""",Rihanna,229413,229.41,3.82
"""Viva la Vida""",Coldplay,242373,242.37,4.04
"""I Kissed a Girl""",Katy Perry,179640,179.64,2.99
"""Whatever You Like""",T.I.,249533,249.53,4.16
"""Disturbia""",Rihanna,238626,238.63,3.98
"""Don't Stop the Music""",Rihanna,267080,267.08,4.45
"""Pocketful of Sunshine""",Natasha Bedingfield,202906,202.91,3.38
"""Kiss Kiss""",Chris Brown featuring T-Pain,250666,250.67,4.18
"""Closer""",Ne-Yo,234360,234.36,3.91
"""Bubbly""",Colbie Caillat,196226,196.23,3.27
"""Touch My Body""",Mariah Carey,204733,204.73,3.41
"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland,189693,189.69,3.16
"""So What""",Pink,215160,215.16,3.59
"""Paralyzer""",Finger Eleven,208106,208.11,3.47
"""Clumsy""",Fergie,240426,240.43,4.01
"""I'm Yours""",Jason Mraz,242946,242.95,4.05
"""Leavin'""",Jesse McCartney,216880,216.88,3.61
"""Dangerous""",Kardinal Offishall featuring Akon,246053,246.05,4.1
"""Tattoo""",Jordin Sparks,233466,233.47,3.89
"""See You Again""",Miley Cyrus,190453,190.45,3.17
"""Shake It""",Metro Station,182973,182.97,3.05
"""Stop and Stare""",OneRepublic,223853,223.85,3.73
"""Take You There""",Sean Kingston,236693,236.69,3.94
"""Paper Planes""",M.I.A.,205200,205.2,3.42
"""Hot n Cold""",Katy Perry,220226,220.23,3.67
"""Live Your Life""",T.I. featuring Rihanna,338853,338.85,5.65
"""American Boy""",Estelle featuring Kanye West,284733,284.73,4.75
"""Got Money""",Lil Wayne featuring T-Pain,244626,244.63,4.08
"""Our Song""",Taylor Swift,201106,201.11,3.35
"""Damaged""",Danity Kane,244266,244.27,4.07
"""A Milli""",Lil Wayne,221840,221.84,3.7
"""Sorry""",Buckcherry,228386,228.39,3.81
"""Independent""",Webbie featuring Lil Boosie and Lil Phat,250026,250.03,4.17
"""Can't Believe It""",T-Pain featuring Lil Wayne,273826,273.83,4.56
"""Like You'll Never See Me Again""",Alicia Keys,315360,315.36,5.26
"""Teardrops on My Guitar""",Taylor Swift,203040,203.04,3.38
"""When I Grow Up""",Pussycat Dolls,245680,245.68,4.09
"""Sexual Eruption""",Snoop Dogg,240306,240.31,4.01
"""What You Got""",Colby O'Donis featuring Akon,243013,243.01,4.05
"""It's Not My Time""",3 Doors Down,241960,241.96,4.03
"""Better in Time""",Leona Lewis,234173,234.17,3.9
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,221933,221.93,3.7
"""Shadow of the Day""",Linkin Park,289906,289.91,4.83
"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia",239440,239.44,3.99
"""Miss Independent""",Ne-Yo,232000,232.0,3.87
"""Fall for You""",Secondhand Serenade,183586,183.59,3.06
"""In the Ayer""",Flo Rida featuring will.i.am,220506,220.51,3.68
"""Say""",John Mayer,230213,230.21,3.84
"""One Step at a Time""",Jordin Sparks,205160,205.16,3.42
"""Hate That I Love You""",Rihanna featuring Ne-Yo,218946,218.95,3.65
"""Superstar""",Lupe Fiasco featuring Matthew Santos,289000,289.0,4.82
"""Suffocate""",J. Holiday,220053,220.05,3.67
"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,231173,231.17,3.85
"""Get Like Me""",David Banner featuring Chris Brown and Yung Joc,224546,224.55,3.74
"""Realize""",Colbie Caillat,244106,244.11,4.07
"""Put On""",Young Jeezy featuring Kanye West,321293,321.29,5.35
"""The Time of My Life""",David Cook,216146,216.15,3.6
"""Lolli Lolli (Pop That Body)""",Three 6 Mafia,251373,251.37,4.19
"""Cyclone""",Baby Bash featuring T-Pain,237680,237.68,3.96
"""Love Like This""",Natasha Bedingfield featuring Sean Kingston,222293,222.29,3.7
"""Burnin' Up""",Jonas Brothers,175093,175.09,2.92
"""Love Lockdown""",Kanye West,270306,270.31,4.51
"""I Luv Your Girl""",The-Dream,267866,267.87,4.46
"""Crush""",David Archuleta,213520,213.52,3.56
"""Hypnotized""",Plies featuring Akon,188493,188.49,3.14
"""Big Girls Don't Cry""",Fergie,268120,268.12,4.47
"""Good Life""",Kanye West featuring T-Pain,207000,207.0,3.45
"""Womanizer""",Britney Spears,224400,224.4,3.74
"""Love Story""",Taylor Swift,235766,235.77,3.93
"""Just Fine""",Mary J. Blige,242133,242.13,4.04
"""Piece of Me""",Britney Spears,212106,212.11,3.54
"""The Boss""",Rick Ross featuring T-Pain,225653,225.65,3.76
"""All Summer Long""",Kid Rock,297586,297.59,4.96
"""Can't Help but Wait""",Trey Songz,206413,206.41,3.44
"""In Love with a Girl""",Gavin DeGraw,206000,206.0,3.43
"""My Life""",The Game featuring Lil Wayne,320893,320.89,5.35
"""I Remember""",Keyshia Cole,260040,260.04,4.33
"""Flashing Lights""",Kanye West featuring Dwele,237506,237.51,3.96
"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd,286906,286.91,4.78
"""7 Things""",Miley Cyrus,213453,213.45,3.56
"""You're Gonna Miss This""",Trace Adkins,224960,224.96,3.75
"""Love Remains the Same""",Gavin Rossdale,249440,249.44,4.16
"""Feels Like Tonight""",Daughtry,238733,238.73,3.98
"""The Way I Are""",Timbaland featuring Keri Hilson,179120,179.12,2.99
"""Addicted""",Saving Abel,222826,222.83,3.71
"""Into the Night""",Santana featuring Chad Kroeger,222440,222.44,3.71
"""Heaven Sent""",Keyshia Cole,231653,231.65,3.86
"""She Got It""",2 Pistols featuring T-Pain and Tay Dizm,274053,274.05,4.57
