Title,Artist,Duration_ms,Duration_s,Duration_min
"""Levitating""",Dua Lipa,203064,203.06,3.38
"""Save Your Tears""",The Weeknd and Ariana Grande,224136,224.14,3.74
"""Blinding Lights""",The Weeknd,200040,200.04,3.33
"""Mood""",24kGoldn featuring Iann Dior,140533,140.53,2.34
"""Good 4 U""",Olivia Rodrigo,178146,178.15,2.97
"""Kiss Me More""",Doja Cat featuring SZA,208666,208.67,3.48
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),242096,242.1,4.03
"""Drivers License""",Olivia Rodrigo,242013,242.01,4.03
"""Montero (Call Me by Your Name)""",Lil Nas X,137704,137.7,2.3
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,198081,198.08,3.3
"""Butter""",BTS,164952,164.95,2.75
"""Stay""",The Kid Laroi and Justin Bieber,86983,86.98,1.45
"""Deja Vu""",Olivia Rodrigo,215506,215.51,3.59
"""Positions""",Ariana Grande,172324,172.32,2.87
"""Bad Habits""",Ed Sheeran,230746,230.75,3.85
"""Heat Waves""",Glass Animals,238805,238.81,3.98
"""Without You""",The Kid Laroi,161384,161.38,2.69
"""Forever After All""",Luke Combs,232533,232.53,3.88
"""Go Crazy""",Chris Brown and Young Thug,227280,227.28,3.79
"""Astronaut in the Ocean""",Masked Wolf,132780,132.78,2.21
"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,173710,173.71,2.9
"""What You Know Bout Love""",Pop Smoke,160000,160.0,2.67
"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,139460,139.46,2.32
"""Industry Baby""",Lil Nas X and Jack Harlow,143901,143.9,2.4
"""Therefore I Am""",Billie Eilish,173539,173.54,2.89
"""Up""",Cardi B,156944,156.94,2.62
"""Fancy Like""",Walker Hayes,161853,161.85,2.7
"""Dakiti""",Bad Bunny and Jhay Cortez,237117,237.12,3.95
"""Best Friend""",Saweetie featuring Doja Cat,155883,155.88,2.6
"""Rapstar""",Polo G,165925,165.93,2.77
"""Heartbreak Anniversary""",Giveon,198370,198.37,3.31
"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,190476,190.48,3.17
"""Calling My Phone""",Lil Tjay and 6lack,213333,213.33,3.56
"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,227395,227.4,3.79
"""Holy""",Justin Bieber featuring Chance the Rapper,212093,212.09,3.53
"""On Me""",Lil Baby,135959,135.96,2.27
"""You Broke Me First""",Tate McRae,170226,170.23,2.84
"""Traitor""",Olivia Rodrigo,229226,229.23,3.82
"""Back in Blood""",Pooh Shiesty featuring Lil Durk,184489,184.49,3.07
"""I Hope""",Gabby Barrett featuring Charlie Puth,210772,210.77,3.51
"""Dynamite""",BTS,199053,199.05,3.32
"""Wockesha""",Moneybagg Yo,180930,180.93,3.02
"""You Right""",Doja Cat and the Weeknd,231174,231.17,3.85
"""Laugh Now Cry Later""",Drake featuring Lil Durk,261492,261.49,4.36
"""Need to Know""",Doja Cat,210560,210.56,3.51
"""Wants and Needs""",Drake featuring Lil Baby,192956,192.96,3.22
"""Way 2 Sexy""",Drake featuring Future and Young Thug,271520,271.52,4.53
"""Telepatía""",Kali Uchis,160191,160.19,2.67
"""Whoopty""",CJ,123262,123.26,2.05
"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,195428,195.43,3.26
"""Good Days""",SZA,278480,278.48,4.64
"""Starting Over""",Chris Stapleton,240413,240.41,4.01
"""Body""",Megan Thee Stallion,171067,171.07,2.85
"""Willow""",Taylor Swift,214706,214.71,3.58
"""Bang!""",AJR,170880,170.88,2.85
"""Better Together""",Luke Combs,219573,219.57,3.66
"""You're Mines Still""",Yung Bleu featuring Drake,226220,226.22,3.77
"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,236524,236.52,3.94
"""Essence""",Wizkid featuring Justin Bieber and Tems,248040,248.04,4.13
"""Chasing After You""",Ryan Hurd and Maren Morris,207973,207.97,3.47
"""The Good Ones""",Gabby Barrett,215140,215.14,3.59
"""Leave Before You Love Me""",Marshmello and Jonas Brothers,154983,154.98,2.58
"""Glad You Exist""",Dan + Shay,144533,144.53,2.41
"""Lonely""",Justin Bieber and Benny Blanco,205946,205.95,3.43
"""Beggin'""",Måneskin,211560,211.56,3.53
"""Streets""",Doja Cat,226986,226.99,3.78
"""What's Next""",Drake,178153,178.15,2.97
"""Famous Friends""",Chris Young and Kane Brown,156923,156.92,2.62
"""Lil Bit""",Nelly and Florida Georgia Line,258893,258.89,4.31
"""Thot Shit""",Megan Thee Stallion,184634,184.63,3.08
"""Late at Night""",Roddy Ricch,174549,174.55,2.91
"""Kings & Queens""",Ava Max,162398,162.4,2.71
"""Anyone""",Justin Bieber,190779,190.78,3.18
"""Track Star""",Mooski,199706,199.71,3.33
"""Time Today""",Moneybagg Yo,136899,136.9,2.28
"""Cry Baby""",Megan Thee Stallion featuring DaBaby,137983,137.98,2.3
"""All I Want for Christmas Is You""",Mariah Carey,241106,241.11,4.02
"""No More Parties""",Coi Leray featuring Lil Durk,192880,192.88,3.21
"""What's Your Country Song""",Thomas Rhett,171333,171.33,2.86
"""One Too Many""",Keith Urban and Pink,189495,189.5,3.16
"""Arcade""",Duncan Laurence,183624,183.62,3.06
"""Yonaguni""",Bad Bunny,206710,206.71,3.45
"""Good Time""",Niko Moon,214720,214.72,3.58
"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,212893,212.89,3.55
"""Knife Talk""",Drake featuring 21 Savage and Project Pat,242965,242.97,4.05
"""POV""",Ariana Grande,201882,201.88,3.36
"""Just the Way""",Parmalee and Blanco Brown,193880,193.88,3.23
