Title,Artist,Duration_ms,Duration_s,Duration_min
"""Somebody That I Used to Know""",Gotye featuring Kimbra,244893,244.89,4.08
"""Call Me Maybe""",Carly Rae Jepsen,193400,193.4,3.22
"""We Are Young""",Fun featuring Janelle Monáe,250626,250.63,4.18
"""Payphone""",Maroon 5 featuring Wiz Khalifa,231173,231.17,3.85
"""Lights""",Ellie Goulding,190053,190.05,3.17
"""Glad You Came""",The Wanted,197935,197.94,3.3
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,221946,221.95,3.7
"""We Found Love""",Rihanna featuring Calvin Harris,215226,215.23,3.59
"""Starships""",Nicki Minaj,210626,210.63,3.51
"""What Makes You Beautiful""",One Direction,199986,199.99,3.33
"""Wild Ones""",Flo Rida featuring Sia,232946,232.95,3.88
"""Set Fire to the Rain""",Adele,242973,242.97,4.05
"""Sexy and I Know It""",LMFAO,199480,199.48,3.32
"""Some Nights""",Fun,277040,277.04,4.62
"""Wide Awake""",Katy Perry,220946,220.95,3.68
"""Good Feeling""",Flo Rida,248133,248.13,4.14
"""Whistle""",Flo Rida,224653,224.65,3.74
"""One More Night""",Maroon 5,219546,219.55,3.66
"""Drive By""",Train,195973,195.97,3.27
"""The Motto""",Drake featuring Lil Wayne,181573,181.57,3.03
"""Where Have You Been""",Rihanna,242680,242.68,4.04
"""Everybody Talks""",Neon Trees,177280,177.28,2.95
"""Take Care""",Drake featuring Rihanna,277386,277.39,4.62
"""Titanium""",David Guetta featuring Sia,245040,245.04,4.08
"""I Won't Give Up""",Jason Mraz,240165,240.16,4.0
"""It Will Rain""",Bruno Mars,257720,257.72,4.3
"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",329320,329.32,5.49
"""Boyfriend""",Justin Bieber,171333,171.33,2.86
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,262146,262.15,4.37
"""Too Close""",Alex Clare,256613,256.61,4.28
"""Part of Me""",Katy Perry,216160,216.16,3.6
"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,270586,270.59,4.51
"""We Are Never Ever Getting Back Together""",Taylor Swift,193146,193.15,3.22
"""As Long as You Love Me""",Justin Bieber featuring Big Sean,229466,229.47,3.82
"""Turn Me On""",David Guetta featuring Nicki Minaj,199680,199.68,3.33
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,201493,201.49,3.36
"""Blow Me (One Last Kiss)""",Pink,255586,255.59,4.26
"""Good Time""",Owl City and Carly Rae Jepsen,205647,205.65,3.43
"""Give Your Heart a Break""",Demi Lovato,205346,205.35,3.42
"""Niggas in Paris""",Jay-Z and Kanye West,235933,235.93,3.93
"""The One That Got Away""",Katy Perry,227333,227.33,3.79
"""Feel So Close""",Calvin Harris,206413,206.41,3.44
"""Someone like You""",Adele,285240,285.24,4.75
"""Scream""",Usher,234693,234.69,3.91
"""Rack City""",Tyga,208440,208.44,3.47
"""Domino""",Jessie J,231840,231.84,3.86
"""Gangnam Style""",Psy,219493,219.49,3.66
"""International Love""",Pitbull featuring Chris Brown,227280,227.28,3.79
"""Home""",Phillip Phillips,210173,210.17,3.5
"""Without You""",David Guetta featuring Usher,208133,208.13,3.47
"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,222213,222.21,3.7
"""Wanted""",Hunter Hayes,228840,228.84,3.81
"""Drunk on You""",Luke Bryan,213546,213.55,3.56
"""No Lie""",2 Chainz featuring Drake,237826,237.83,3.96
"""Want U Back""",Cher Lloyd,214013,214.01,3.57
"""Don't Wake Me Up""",Chris Brown,222306,222.31,3.71
"""Dance (A$$)""",Big Sean featuring Nicki Minaj,220293,220.29,3.67
"""Springsteen""",Eric Church,263386,263.39,4.39
"""Brokenhearted""",Karmin,227146,227.15,3.79
"""Not Over You""",Gavin DeGraw,218520,218.52,3.64
"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,210960,210.96,3.52
"""Back in Time""",Pitbull,207760,207.76,3.46
"""Work Out""",J. Cole,235320,235.32,3.92
"""Rumour Has It""",Adele,223266,223.27,3.72
"""Let's Go""",Calvin Harris featuring Ne-Yo,232800,232.8,3.88
"""Good Girl""",Carrie Underwood,205560,205.56,3.43
"""Pontoon""",Little Big Town,212320,212.32,3.54
"""Ho Hey""",The Lumineers,163133,163.13,2.72
"""Paradise""",Coldplay,278719,278.72,4.65
"""Blown Away""",Carrie Underwood,240133,240.13,4.0
"""Rolling in the Deep""",Adele,228093,228.09,3.8
"""Climax""",Usher,232906,232.91,3.88
"""Work Hard, Play Hard""",Wiz Khalifa,219026,219.03,3.65
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,251626,251.63,4.19
"""Pound the Alarm""",Nicki Minaj,205640,205.64,3.43
"""Come Over""",Kenny Chesney,248426,248.43,4.14
"""Heart Attack""",Trey Songz,233146,233.15,3.89
"""Drank in My Cup""",Kirko Bangz,232160,232.16,3.87
"""Birthday Cake""",Rihanna featuring Chris Brown,78200,78.2,1.3
"""So Good""",B.o.B,213253,213.25,3.55
"""50 Ways to Say Goodbye""",Train,247946,247.95,4.13
"""Red Solo Cup""",Toby Keith,223386,223.39,3.72
"""Love You Like a Love Song""",Selena Gomez & the Scene,197993,197.99,3.3
"""Turn Up the Music""",Chris Brown,227973,227.97,3.8
"""Die Young""",Kesha,211920,211.92,3.53
"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,281280,281.28,4.69
"""A Thousand Years""",Christina Perri,285120,285.12,4.75
"""Take a Little Ride""",Jason Aldean,187613,187.61,3.13
"""You da One""",Rihanna,200013,200.01,3.33
"""We Run the Night""",Havana Brown featuring Pitbull,228200,228.2,3.8
"""It's Time""",Imagine Dragons,240306,240.31,4.01
"""Cashin' Out""",Cash Out,238760,238.76,3.98
"""I Don't Want This Night to End""",Luke Bryan,219973,219.97,3.67
"""Diamonds""",Rihanna,225146,225.15,3.75
"""Hard to Love""",Lee Brice,224293,224.29,3.74
"""Somethin' 'Bout a Truck""",Kip Moore,213826,213.83,3.56
"""Adorn""",Miguel,193146,193.15,3.22
"""Fly Over States""",Jason Aldean,218200,218.2,3.64
"""Even If It Breaks Your Heart""",Eli Young Band,220520,220.52,3.68
"""Burn It Down""",Linkin Park,230253,230.25,3.84
