Title,Artist,Duration_ms,Duration_s,Duration_min
"""Uptown Funk""",Mark Ronson featuring Bruno Mars,269666,269.67,4.49
"""Thinking Out Loud""",Ed Sheeran,281560,281.56,4.69
"""See You Again""",Wiz Khalifa featuring Charlie Puth,229525,229.53,3.83
"""Trap Queen""",Fetty Wap,222093,222.09,3.7
"""Sugar""",Maroon 5,235493,235.49,3.92
"""Shut Up and Dance""",Walk the Moon,199080,199.08,3.32
"""Blank Space""",Taylor Swift,231826,231.83,3.86
"""Watch Me""",Silentó,185142,185.14,3.09
"""Earned It""",The Weeknd,277724,277.72,4.63
"""The Hills""",The Weeknd,242253,242.25,4.04
"""Cheerleader (Felix Jaehn Remix)""",OMI,180565,180.56,3.01
"""Can't Feel My Face""",The Weeknd,213520,213.52,3.56
"""Love Me Like You Do""",Ellie Goulding,253520,253.52,4.23
"""Take Me to Church""",Hozier,241688,241.69,4.03
"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,211933,211.93,3.53
"""Lean On""",Major Lazer and DJ Snake featuring MØ,166138,166.14,2.77
"""Want to Want Me""",Jason Derulo,207719,207.72,3.46
"""Shake It Off""",Taylor Swift,219200,219.2,3.65
"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,215253,215.25,3.59
"""Fight Song""",Rachel Platten,204013,204.01,3.4
"""679""",Fetty Wap featuring Remy Boyz,196693,196.69,3.28
"""Lips Are Movin""",Meghan Trainor,181413,181.41,3.02
"""Worth It""",Fifth Harmony featuring Kid Ink,224573,224.57,3.74
"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,226580,226.58,3.78
"""Honey, I'm Good.""",Andy Grammer,199263,199.26,3.32
"""I'm Not the Only One""",Sam Smith,239316,239.32,3.99
"""Good for You""",Selena Gomez featuring ASAP Rocky,221280,221.28,3.69
"""All About That Bass""",Meghan Trainor,187866,187.87,3.13
"""Style""",Taylor Swift,231000,231.0,3.85
"""Hotline Bling""",Drake,267066,267.07,4.45
"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",192560,192.56,3.21
"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,364682,364.68,6.08
"""What Do You Mean?""",Justin Bieber,205680,205.68,3.43
"""Photograph""",Ed Sheeran,258986,258.99,4.32
"""Hello""",Adele,295502,295.5,4.93
"""Stitches""",Shawn Mendes,206880,206.88,3.45
"""Talking Body""",Tove Lo,238426,238.43,3.97
"""Jealous""",Nick Jonas,223106,223.11,3.72
"""Time of Our Lives""",Pitbull and Ne-Yo,252306,252.31,4.21
"""Locked Away""",R. City featuring Adam Levine,227480,227.48,3.79
"""Somebody""",Natalie La Rose featuring Jeremih,189906,189.91,3.17
"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney",267520,267.52,4.46
"""Centuries""",Fall Out Boy,228360,228.36,3.81
"""My Way""",Fetty Wap featuring Monty,213053,213.05,3.55
"""Take Your Time""",Sam Hunt,243706,243.71,4.06
"""Animals""",Maroon 5,231013,231.01,3.85
"""I Don't Fuck with You""",Big Sean featuring E-40,284386,284.39,4.74
"""Bitch Better Have My Money""",Rihanna,219305,219.31,3.66
"""Flex (Ooh, Ooh, Ooh)""",Rich Homie Quan,176744,176.74,2.95
"""Nasty Freestyle""",T-Wayne,142212,142.21,2.37
"""Only""","Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",312026,312.03,5.2
"""Elastic Heart""",Sia,257200,257.2,4.29
"""Cool for the Summer""",Demi Lovato,214739,214.74,3.58
"""Renegades""",X Ambassadors,195200,195.2,3.25
"""I Don't Mind""",Usher featuring Juicy J,251989,251.99,4.2
"""Love Me Harder""",Ariana Grande and The Weeknd,228639,228.64,3.81
"""Wildest Dreams""",Taylor Swift,220440,220.44,3.67
"""Stay with Me""",Sam Smith,172723,172.72,2.88
"""You Know You Like It""",DJ Snake and AlunaGeorge,230786,230.79,3.85
"""Uma Thurman""",Fall Out Boy,211573,211.57,3.53
"""7/11""",Beyoncé,213506,213.51,3.56
"""The Heart Wants What It Wants""",Selena Gomez,227373,227.37,3.79
"""Girl Crush""",Little Big Town,193320,193.32,3.22
"""Slow Motion""",Trey Songz,197854,197.85,3.3
"""Drag Me Down""",One Direction,192120,192.12,3.2
"""Truffle Butter""",Nicki Minaj featuring Drake and Lil Wayne,220466,220.47,3.67
"""One Last Time""",Ariana Grande,197266,197.27,3.29
"""Chains""",Nick Jonas,203106,203.11,3.39
"""All Eyes on You""",Meek Mill featuring Chris Brown and Nicki Minaj,223973,223.97,3.73
"""No Type""",Rae Sremmurd,200080,200.08,3.33
"""Riptide""",Vance Joy,204280,204.28,3.4
"""Classic Man""",Jidenna featuring Roman GianArthur,226000,226.0,3.77
"""Ex's & Oh's""",Elle King,202173,202.17,3.37
"""Dear Future Husband""",Meghan Trainor,184226,184.23,3.07
"""Marvin Gaye""",Charlie Puth featuring Meghan Trainor,190453,190.45,3.17
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,225053,225.05,3.75
"""Habits (Stay High)""",Tove Lo,209160,209.16,3.49
"""The Hanging Tree""",James Newton Howard featuring Jennifer Lawrence,218506,218.51,3.64
"""CoCo""",O.T. Genasis,239573,239.57,3.99
"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",199386,199.39,3.32
"""Lay Me Down""",Sam Smith,253208,253.21,4.22
"""Tuesday""",ILoveMakonnen featuring Drake,321987,321.99,5.37
"""Hit the Quan""",iLoveMemphis,181080,181.08,3.02
"""Downtown""","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster 
Caz",258431,258.43,4.31
"""House Party""",Sam Hunt,190240,190.24,3.17
"""Ayo""",Chris Brown and Tyga,227280,227.28,3.79
"""Kick the Dust Up""",Luke Bryan,190586,190.59,3.18
"""Blessings""",Big Sean featuring Drake and Kanye West,252040,252.04,4.2
"""Budapest""",George Ezra,200733,200.73,3.35
"""Chandelier""",Sia,216120,216.12,3.6
"""Heartbeat Song""",Kelly Clarkson,198733,198.73,3.31
"""Don't""",Ed Sheeran,219840,219.84,3.66
"""Ghost""",Ella Henderson,213213,213.21,3.55
"""Here""",Alessia Cara,199453,199.45,3.32
"""Waves (Robin Schulz Remix)""",Mr Probz,190846,190.85,3.18
"""El Perdón""",Nicky Jam and Enrique Iglesias,235746,235.75,3.93
"""She Knows""",Ne-Yo featuring Juicy J,214725,214.72,3.58
"""Night Changes""",One Direction,226600,226.6,3.78
"""Back to Back""",Drake,170637,170.64,2.84
"""How Deep Is Your Love""",Calvin Harris and Disciples,215226,215.23,3.59
