Title,Artist,Duration_ms,Duration_s,Duration_min
"""Tik Tok""",Kesha,199693,199.69,3.33
"""Need You Now""",Lady Antebellum,236440,236.44,3.94
"""Hey, Soul Sister""",Train,216773,216.77,3.61
"""California Gurls""",Katy Perry featuring Snoop Dogg,234653,234.65,3.91
"""OMG""",Usher featuring will.i.am,269493,269.49,4.49
"""Airplanes""",B.o.B featuring Hayley Williams,180480,180.48,3.01
"""Love the Way You Lie""",Eminem featuring Rihanna,263373,263.37,4.39
"""Bad Romance""",Lady Gaga,294573,294.57,4.91
"""Dynamite""",Taio Cruz,202613,202.61,3.38
"""Break Your Heart""",Taio Cruz featuring Ludacris,185146,185.15,3.09
"""Nothin' on You""",B.o.B featuring Bruno Mars,268320,268.32,4.47
"""I Like It""",Enrique Iglesias featuring Pitbull,231373,231.37,3.86
"""BedRock""",Young Money featuring Lloyd,288133,288.13,4.8
"""In My Head""",Jason Derulo,199026,199.03,3.32
"""Rude Boy""",Rihanna,222920,222.92,3.72
"""Telephone""",Lady Gaga featuring Beyoncé,220626,220.63,3.68
"""Teenage Dream""",Katy Perry,227741,227.74,3.8
"""Just the Way You Are""",Bruno Mars,220734,220.73,3.68
"""Cooler Than Me""",Mike Posner,213293,213.29,3.55
"""Imma Be""",The Black Eyed Peas,257560,257.56,4.29
"""Empire State of Mind""",Jay-Z featuring Alicia Keys,276920,276.92,4.62
"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,214280,214.28,3.57
"""Billionaire""",Travie McCoy featuring Bruno Mars,211160,211.16,3.52
"""Not Afraid""",Eminem,248133,248.13,4.14
"""Replay""",Iyaz,182306,182.31,3.04
"""Sexy Bitch""",David Guetta featuring Akon,195853,195.85,3.26
"""Breakeven""",The Script,261426,261.43,4.36
"""Your Love Is My Drug""",Kesha,187133,187.13,3.12
"""I Gotta Feeling""",The Black Eyed Peas,289133,289.13,4.82
"""Fireflies""",Owl City,228346,228.35,3.81
"""Say Aah""",Trey Songz featuring Fabolous,207546,207.55,3.46
"""Find Your Love""",Drake,208946,208.95,3.48
"""Alejandro""",Lady Gaga,274213,274.21,4.57
"""Ridin' Solo""",Jason Derulo,215746,215.75,3.6
"""Just a Dream""",Nelly,237800,237.8,3.96
"""How Low""",Ludacris,201586,201.59,3.36
"""Like a G6""",Far East Movement featuring The Cataracs and Dev,216893,216.89,3.61
"""Carry Out""",Timbaland featuring Justin Timberlake,232466,232.47,3.87
"""Haven't Met You Yet""",Michael Bublé,244586,244.59,4.08
"""Club Can't Handle Me""",Flo Rida featuring David Guetta,234560,234.56,3.91
"""Down""",Jay Sean featuring Lil Wayne,212506,212.51,3.54
"""Bulletproof""",La Roux,162213,162.21,2.7
"""Whatcha Say""",Jason Derulo,221253,221.25,3.69
"""Baby""",Justin Bieber featuring Ludacris,214240,214.24,3.57
"""Whataya Want from Me""",Adam Lambert,227320,227.32,3.79
"""Mine""",Taylor Swift,231706,231.71,3.86
"""Only Girl (In the World)""",Rihanna,235493,235.49,3.92
"""Live Like We're Dying""",Kris Allen,212506,212.51,3.54
"""Hard""",Rihanna featuring Jeezy,250600,250.6,4.18
"""Young Forever""",Jay-Z featuring Mr Hudson,253906,253.91,4.23
"""Blah Blah Blah""",Kesha featuring 3OH!3,172053,172.05,2.87
"""Bottoms Up""",Trey Songz featuring Nicki Minaj,242013,242.01,4.03
"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,210800,210.8,3.51
"""All the Right Moves""",OneRepublic,238000,238.0,3.97
"""According to You""",Orianthi,200253,200.25,3.34
"""My Chick Bad""",Ludacris featuring Nicki Minaj,216933,216.93,3.62
"""You Belong with Me""",Taylor Swift,231124,231.12,3.85
