No.,Title,Artist,Lyrics_URL
1,"""Levitating""",Dua Lipa,https://genius.com/Dua-lipa-levitating-lyrics
2,"""Save Your Tears""",The Weeknd and Ariana Grande,https://genius.com/The-weeknd-save-your-tears-lyrics
3,"""Blinding Lights""",The Weeknd,https://genius.com/The-weeknd-blinding-lights-lyrics
4,"""Mood""",24kGoldn featuring Iann Dior,https://genius.com/24kgoldn-mood-lyrics
5,"""Good 4 U""",Olivia Rodrigo,https://genius.com/Olivia-rodrigo-good-4-u-lyrics
6,"""Kiss Me More""",Doja Cat featuring SZA,https://genius.com/Doja-cat-kiss-me-more-lyrics
7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),https://genius.com/Silk-sonic-leave-the-door-open-lyrics
8,"""Drivers License""",Olivia Rodrigo,https://genius.com/Olivia-rodrigo-drivers-license-lyrics
9,"""Montero (Call Me by Your Name)""",Lil Nas X,https://genius.com/Lil-nas-x-montero-call-me-by-your-name-lyrics
10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,https://genius.com/Justin-bieber-peaches-lyrics
11,"""Butter""",BTS,https://genius.com/Bts-butter-lyrics
12,"""Stay""",The Kid Laroi and Justin Bieber,https://genius.com/The-kid-laroi-and-justin-bieber-stay-lyrics
13,"""Deja Vu""",Olivia Rodrigo,https://genius.com/Olivia-rodrigo-deja-vu-lyrics
14,"""Positions""",Ariana Grande,https://genius.com/Ariana-grande-positions-lyrics
15,"""Bad Habits""",Ed Sheeran,https://genius.com/Ed-sheeran-bad-habits-lyrics
16,"""Heat Waves""",Glass Animals,https://genius.com/Glass-animals-heat-waves-lyrics
17,"""Without You""",The Kid Laroi,https://genius.com/The-kid-laroi-without-you-lyrics
18,"""Forever After All""",Luke Combs,https://genius.com/Luke-combs-forever-after-all-lyrics
19,"""Go Crazy""",Chris Brown and Young Thug,https://genius.com/Chris-brown-and-young-thug-go-crazy-lyrics
20,"""Astronaut in the Ocean""",Masked Wolf,https://genius.com/Masked-wolf-astronaut-in-the-ocean-lyrics
21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,https://genius.com/Ariana-grande-34-35-lyrics
22,"""What You Know Bout Love""",Pop Smoke,https://genius.com/Pop-smoke-what-you-know-bout-love-lyrics
23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,https://genius.com/Mgk-and-blackbear-my-exs-best-friend-lyrics
24,"""Industry Baby""",Lil Nas X and Jack Harlow,https://genius.com/Lil-nas-x-and-jack-harlow-industry-baby-lyrics
25,"""Therefore I Am""",Billie Eilish,https://genius.com/Billie-eilish-therefore-i-am-lyrics
26,"""Up""",Cardi B,https://genius.com/Cardi-b-up-lyrics
27,"""Fancy Like""",Walker Hayes,https://genius.com/Walker-hayes-fancy-like-lyrics
28,"""Dakiti""",Bad Bunny and Jhay Cortez,https://genius.com/Bad-bunny-and-jhayco-dakiti-lyrics
