No.,Title,Artist,Lyrics_URL
1,"""Last Night""",Morgan Wallen,https://genius.com/Morgan-wallen-last-night-lyrics
2,"""Flowers""",Miley Cyrus,https://genius.com/Miley-cyrus-flowers-lyrics
3,"""Kill Bill""",SZA,https://genius.com/Sza-kill-bill-lyrics
4,"""Anti-Hero""",Taylor Swift,https://genius.com/Taylor-swift-anti-hero-lyrics
5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",https://genius.com/Thehills79-2023-thehills79-listening-log-annotated
6,"""Calm Down""",Rema and Selena Gomez,https://genius.com/Rema-calm-down-lyrics
7,"""Die for You""",The Weeknd and Ariana Grande,https://genius.com/The-weeknd-die-for-you-lyrics
8,"""Fast Car""",Luke Combs,https://genius.com/Luke-combs-fast-car-lyrics
9,"""Snooze""",SZA,https://genius.com/Sza-snooze-lyrics
10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha,https://genius.com/David-guetta-and-bebe-rexha-im-good-blue-lyrics
11,"""Unholy""",Sam Smith and Kim Petras,https://genius.com/Sam-smith-and-kim-petras-unholy-lyrics
12,"""You Proof""",Morgan Wallen,https://genius.com/Morgan-wallen-you-proof-lyrics
13,"""Something in the Orange""",Zach Bryan,https://genius.com/Zach-bryan-something-in-the-orange-lyrics
14,"""Rich Flex""",Drake and 21 Savage,https://genius.com/Drake-and-21-savage-rich-flex-lyrics
15,"""As It Was""",Harry Styles,https://genius.com/Harry-styles-as-it-was-lyrics
16,"""Rock and a Hard Place""",Bailey Zimmerman,https://genius.com/Bailey-zimmerman-rock-and-a-hard-place-lyrics
17,"""Under the Influence""",Chris Brown,https://genius.com/Chris-brown-under-the-influence-lyrics
18,"""Cruel Summer""",Taylor Swift,https://genius.com/Taylor-swift-cruel-summer-lyrics
19,"""Thinkin' Bout Me""",Morgan Wallen,https://genius.com/Morgan-wallen-thinkin-bout-me-lyrics
20,"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,https://genius.com/Pinkpantheress-and-ice-spice-boys-a-liar-pt-2-lyrics
21,"""Favorite Song""",Toosii,https://genius.com/Toosii-favorite-song-lyrics
22,"""Thought You Should Know""",Morgan Wallen,https://genius.com/Morgan-wallen-thought-you-should-know-lyrics
23,"""Thank God""",Kane Brown and Katelyn Brown,https://genius.com/Kane-brown-and-katelyn-brown-thank-god-lyrics
24,"""Sure Thing""",Miguel,https://genius.com/Miguel-sure-thing-lyrics
25,"""All My Life""",Lil Durk featuring J. Cole,https://genius.com/Lil-durk-all-my-life-lyrics
