№,Title,Artist,Lyrics_URL
63,"""SexyBack""",Justin Timberlake featuring Timbaland,https://genius.com/Justin-timberlake-sexyback-lyrics
64,"""Keep Holding On""",Avril Lavigne,https://genius.com/Avril-lavigne-keep-holding-on-lyrics
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,https://genius.com/Keyshia-cole-let-it-go-lyrics
66,"""Apologize""",OneRepublic,https://genius.com/Onerepublic-apologize-lyrics
67,"""Bubbly""",Colbie Caillat,https://genius.com/Colbie-caillat-bubbly-lyrics
68,"""Like a Boy""",Ciara,https://genius.com/Ciara-like-a-boy-lyrics
69,"""Who Knew""",Pink,https://genius.com/P-nk-who-knew-lyrics
70,"""Never Again""",Kelly Clarkson,https://genius.com/Kelly-clarkson-never-again-lyrics
71,"""Promise""",Ciara,https://genius.com/Ciara-promise-lyrics
72,"""Bed""",J. Holiday,https://genius.com/J-holiday-bed-lyrics
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,https://genius.com/Rich-boy-throw-some-ds-lyrics
74,"""Rehab""",Amy Winehouse,https://genius.com/Amy-winehouse-rehab-lyrics
75,"""Big Shit Poppin' (Do It)""",T.I.,https://genius.com/Ti-big-shit-poppin-do-it-lyrics
76,"""No One""",Alicia Keys,https://genius.com/Alicia-keys-no-one-lyrics
77,"""The Great Escape""",Boys Like Girls,https://genius.com/Boys-like-girls-the-great-escape-lyrics
78,"""2 Step""",Unk,https://genius.com/Unk-2-step-lyrics
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,https://genius.com/Paula-deanda-walk-away-remember-me-lyrics
80,"""Go Getta""",Young Jeezy featuring R. Kelly,https://genius.com/Jeezy-go-getta-lyrics
81,"""Here (In Your Arms)""",Hellogoodbye,https://genius.com/Hellogoodbye-here-in-your-arms-lyrics
82,"""On the Hotline""",Pretty Ricky,https://genius.com/Pretty-ricky-on-the-hotline-lyrics
83,"""Wind It Up""",Gwen Stefani,https://genius.com/Gwen-stefani-wind-it-up-lyrics
84,"""Cyclone""",Baby Bash featuring T-Pain,https://genius.com/Baby-bash-cyclone-lyrics
85,"""Break It Off""",Rihanna featuring Sean Paul,https://genius.com/Rihanna-break-it-off-lyrics
86,"""First Time""",Lifehouse,https://genius.com/Lifehouse-first-time-lyrics
87,"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,https://genius.com/50-cent-ayo-technology-lyrics
88,"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,https://genius.com/Bow-wow-outta-my-system-lyrics
89,"""Teardrops on My Guitar""",Taylor Swift,https://genius.com/Taylor-swift-teardrops-on-my-guitar-lyrics
90,"""Shut Up and Drive""",Rihanna,https://genius.com/Rihanna-shut-up-and-drive-lyrics
91,"""Snow (Hey Oh)""",Red Hot Chili Peppers,https://genius.com/Red-hot-chili-peppers-snow-hey-oh-lyrics
92,"""Money Maker""",Ludacris featuring Pharrell,https://genius.com/Ludacris-money-maker-lyrics
93,"""Kiss Kiss""",Chris Brown featuring T-Pain,https://genius.com/Chris-brown-kiss-kiss-lyrics
94,"""Far Away""",Nickelback,https://genius.com/Nickelback-far-away-lyrics
95,"""Rock Yo Hips""",Crime Mob and Lil' Scrappy,https://genius.com/Crime-mob-rock-yo-hips-lyrics
96,"""LoveStoned""",Justin Timberlake,https://genius.com/Justin-timberlake-lovestoned-i-think-she-knows-interlude-lyrics
97,"""Better than Me""",Hinder,https://genius.com/Hinder-better-than-me-lyrics
98,"""Paralyzer""",Finger Eleven,https://genius.com/Finger-eleven-paralyzer-lyrics
99,"""That's That""",Snoop Dogg featuring R. Kelly,https://genius.com/Snoop-dogg-thats-that-shit-lyrics
100,"""Same Girl""",R. Kelly featuring Usher,https://genius.com/R-kelly-same-girl-lyrics
