No.,Title,Artist,Lyrics_URL
1,"""Tik Tok""",Kesha,https://genius.com/Kesha-tik-tok-lyrics
2,"""Need You Now""",Lady Antebellum,https://genius.com/Lady-a-need-you-now-lyrics
3,"""Hey, Soul Sister""",Train,https://genius.com/Train-hey-soul-sister-lyrics
4,"""California Gurls""",Katy Perry featuring Snoop Dogg,https://genius.com/Katy-perry-california-gurls-lyrics
5,"""OMG""",Usher featuring will.i.am,https://genius.com/Usher-omg-lyrics
6,"""Airplanes""",B.o.B featuring Hayley Williams,https://genius.com/Bob-airplanes-lyrics
7,"""Love the Way You Lie""",Eminem featuring Rihanna,https://genius.com/Eminem-love-the-way-you-lie-lyrics
8,"""Bad Romance""",Lady Gaga,https://genius.com/Lady-gaga-bad-romance-lyrics
9,"""Dynamite""",Taio Cruz,https://genius.com/Taio-cruz-dynamite-lyrics
10,"""Break Your Heart""",Taio Cruz featuring Ludacris,https://genius.com/Taio-cruz-break-your-heart-lyrics
11,"""Nothin' on You""",B.o.B featuring Bruno Mars,https://genius.com/Bob-nothin-on-you-lyrics
12,"""I Like It""",Enrique Iglesias featuring Pitbull,https://genius.com/Enrique-iglesias-i-like-it-lyrics
13,"""BedRock""",Young Money featuring Lloyd,https://genius.com/Young-money-bedrock-lyrics
14,"""In My Head""",Jason Derulo,https://genius.com/Jason-derulo-in-my-head-lyrics
15,"""Rude Boy""",Rihanna,https://genius.com/Rihanna-rude-boy-lyrics
16,"""Telephone""",Lady Gaga featuring Beyoncé,https://genius.com/Lady-gaga-telephone-lyrics
17,"""Teenage Dream""",Katy Perry,https://genius.com/Katy-perry-teenage-dream-lyrics
18,"""Just the Way You Are""",Bruno Mars,https://genius.com/Bruno-mars-just-the-way-you-are-lyrics
19,"""Cooler Than Me""",Mike Posner,https://genius.com/Mike-posner-cooler-than-me-lyrics
20,"""Imma Be""",The Black Eyed Peas,https://genius.com/Gucci-mane-dats-my-life-lyrics
21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,https://genius.com/Jay-z-empire-state-of-mind-lyrics
