No.,Title,Artist,Lyrics_URL
1,"""Lose Control""",Teddy Swims,https://genius.com/Teddy-swims-lose-control-lyrics
2,"""A Bar Song (Tipsy)""",Shaboozey,https://genius.com/Shaboozey-a-bar-song-tipsy-lyrics
3,"""Beautiful Things""",Benson Boone,https://genius.com/Benson-boone-beautiful-things-lyrics
4,"""I Had Some Help""",Post Malone featuring Morgan Wallen,https://genius.com/Post-malone-i-had-some-help-lyrics
5,"""Lovin on Me""",Jack Harlow,https://genius.com/Jack-harlow-lovin-on-me-lyrics
6,"""Not Like Us""",Kendrick Lamar,https://genius.com/Kendrick-lamar-not-like-us-lyrics
7,"""Espresso""",Sabrina Carpenter,https://genius.com/Sabrina-carpenter-espresso-lyrics
8,"""Million Dollar Baby""",Tommy Richman,https://genius.com/Tommy-richman-million-dollar-baby-lyrics
9,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,https://genius.com/Zach-bryan-i-remember-everything-lyrics
10,"""Too Sweet""",Hozier,https://genius.com/Hozier-too-sweet-lyrics
11,"""Stick Season""",Noah Kahan,https://genius.com/Noah-kahan-stick-season-lyrics
12,"""Cruel Summer""",Taylor Swift,https://genius.com/Taylor-swift-cruel-summer-lyrics
13,"""Greedy""",Tate McRae,https://genius.com/Tate-mcrae-greedy-lyrics
14,"""Like That""","Future, Metro Boomin and Kendrick Lamar",https://genius.com/Future-metro-boomin-and-kendrick-lamar-like-that-lyrics
15,"""Birds of a Feather""",Billie Eilish,https://genius.com/Billie-eilish-birds-of-a-feather-lyrics
16,"""Please Please Please""",Sabrina Carpenter,https://genius.com/Sabrina-carpenter-please-please-please-lyrics
17,"""Agora Hills""",Doja Cat,https://genius.com/Doja-cat-agora-hills-lyrics
18,"""Good Luck, Babe!""",Chappell Roan,https://genius.com/Chappell-roan-good-luck-babe-lyrics
19,"""Saturn""",SZA,https://genius.com/Sza-saturn-lyrics
20,"""Snooze""",SZA,https://genius.com/Sza-snooze-lyrics
21,"""Paint the Town Red""",Doja Cat,https://genius.com/Doja-cat-paint-the-town-red-lyrics
22,"""Fortnight""",Taylor Swift featuring Post Malone,https://genius.com/Taylor-swift-fortnight-lyrics
23,"""Fast Car""",Luke Combs,https://genius.com/Luke-combs-fast-car-lyrics
24,"""Water""",Tyla,https://genius.com/Tyla-water-lyrics
25,"""Feather""",Sabrina Carpenter,https://genius.com/Sabrina-carpenter-feather-lyrics
26,"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,https://genius.com/Ariana-grande-we-cant-be-friends-wait-for-your-love-lyrics
27,"""Austin""",Dasha,https://genius.com/Brotxer-and-astin-and-dashxx-head-rides-lyrics
28,"""Last Night""",Morgan Wallen,https://genius.com/Morgan-wallen-last-night-lyrics
29,"""Cowgirls""",Morgan Wallen featuring Ernest,https://genius.com/Morgan-wallen-cowgirls-lyrics
30,"""Pink Skies""",Zach Bryan,https://genius.com/Zach-bryan-pink-skies-lyrics
31,"""Thinkin' Bout Me""",Morgan Wallen,https://genius.com/Morgan-wallen-thinkin-bout-me-lyrics
32,"""Texas Hold 'Em""",Beyoncé,https://genius.com/Beyonce-texas-hold-em-lyrics
33,"""Is It Over Now?""",Taylor Swift,https://genius.com/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-lyrics
34,"""Miles on It""",Marshmello and Kane Brown,https://genius.com/Marshmello-and-kane-brown-miles-on-it-lyrics
35,"""I Can Do It with a Broken Heart""",Taylor Swift,https://genius.com/Taylor-swift-i-can-do-it-with-a-broken-heart-lyrics
36,"""Wild Ones""",Jessie Murph and Jelly Roll,https://genius.com/Jessie-murph-and-jelly-roll-wild-ones-lyrics
37,"""Ain't No Love in Oklahoma""",Luke Combs,https://genius.com/Luke-combs-aint-no-love-in-oklahoma-lyrics
38,"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti,https://genius.com/Kanye-west-and-ty-dolla-sign-and-rich-the-kid-carnival-lyrics
39,"""Houdini""",Eminem,https://genius.com/Eminem-houdini-lyrics
40,"""Wanna Be""",GloRilla and Megan Thee Stallion,https://genius.com/Glorilla-and-megan-thee-stallion-wanna-be-lyrics
41,"""Slow It Down""",Benson Boone,https://genius.com/Benson-boone-slow-it-down-lyrics
42,"""Redrum""",21 Savage,https://genius.com/21-savage-redrum-lyrics
43,"""Houdini""",Dua Lipa,https://genius.com/Dua-lipa-houdini-lyrics
44,"""Yeah Glo!""",GloRilla,https://genius.com/Glorilla-yeah-glo-lyrics
45,"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,https://genius.com/Drake-rich-baby-daddy-lyrics
46,"""What Was I Made For?""",Billie Eilish,https://genius.com/Billie-eilish-what-was-i-made-for-lyrics
47,"""End of Beginning""",Djo,https://genius.com/Djo-end-of-beginning-lyrics
48,"""Lunch""",Billie Eilish,https://genius.com/Billie-eilish-lunch-lyrics
49,"""Never Lose Me""",Flo Milli,https://genius.com/Flo-milli-never-lose-me-lyrics
50,"""Lies Lies Lies""",Morgan Wallen,https://genius.com/Morgan-wallen-lies-lies-lies-lyrics
51,"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti",https://genius.com/Future-metro-boomin-travis-scott-and-playboi-carti-type-shit-lyrics
52,"""Gata Only""",FloyyMenor and Cris MJ,https://genius.com/Floyymenor-and-cris-mj-gata-only-lyrics
53,"""Hot to Go!""",Chappell Roan,https://genius.com/Chappell-roan-hot-to-go-lyrics
54,"""All I Want for Christmas Is You""",Mariah Carey,https://genius.com/Mariah-carey-all-i-want-for-christmas-is-you-lyrics
55,"""Get It Sexyy""",Sexyy Red,https://genius.com/Sexyy-red-get-it-sexyy-lyrics
56,"""Made for Me""",Muni Long,https://genius.com/Muni-long-made-for-me-lyrics
57,"""Vampire""",Olivia Rodrigo,https://genius.com/Olivia-rodrigo-vampire-lyrics
58,"""Whatever She Wants""",Bryson Tiller,https://genius.com/Bryson-tiller-whatever-she-wants-lyrics
59,"""Rockin' Around the Christmas Tree""",Brenda Lee,https://genius.com/Brenda-lee-rockin-around-the-christmas-tree-lyrics
60,"""Pretty Little Poison""",Warren Zeiders,https://genius.com/Warren-zeiders-pretty-little-poison-lyrics
61,"""First Person Shooter""",Drake featuring J. Cole,https://genius.com/Drake-first-person-shooter-lyrics
62,"""Die with a Smile""",Lady Gaga and Bruno Mars,https://genius.com/Lady-gaga-and-bruno-mars-die-with-a-smile-lyrics
63,"""I Like the Way You Kiss Me""",Artemas,https://genius.com/Artemas-i-like-the-way-you-kiss-me-lyrics
64,"""Need a Favor""",Jelly Roll,https://genius.com/Jelly-roll-need-a-favor-lyrics
65,"""Save Me""",Jelly Roll featuring Lainey Wilson,https://genius.com/Jelly-roll-save-me-lyrics
66,"""Euphoria""",Kendrick Lamar,https://genius.com/Kendrick-lamar-euphoria-lyrics
67,"""Truck Bed""",Hardy,https://genius.com/Hardy-truck-bed-lyrics
68,"""Jingle Bell Rock""",Bobby Helms,https://genius.com/Bobby-helms-jingle-bell-rock-lyrics
69,"""Flowers""",Miley Cyrus,https://genius.com/Miley-cyrus-flowers-lyrics
70,"""Where the Wild Things Are""",Luke Combs,https://genius.com/Luke-combs-where-the-wild-things-are-lyrics
71,"""Everybody""",Nicki Minaj featuring Lil Uzi Vert,https://genius.com/Nicki-minaj-everybody-lyrics
72,"""La Diabla""",Xavi,https://genius.com/Xavi-mex-la-diabla-lyrics
73,"""Stargazing""",Myles Smith,https://genius.com/Myles-smith-stargazing-lyrics
74,"""Last Christmas""",Wham!,https://genius.com/Wham-last-christmas-lyrics
75,"""I Am Not Okay""",Jelly Roll,https://genius.com/Jelly-roll-i-am-not-okay-lyrics
76,"""Pour Me a Drink""",Post Malone featuring Blake Shelton,https://genius.com/Post-malone-pour-me-a-drink-lyrics
77,"""White Horse""",Chris Stapleton,https://genius.com/Chris-stapleton-white-horse-lyrics
78,"""Lil Boo Thang""",Paul Russell,https://genius.com/Paul-russell-lil-boo-thang-lyrics
79,"""Good Good""","Usher, Summer Walker and 21 Savage",https://genius.com/Usher-21-savage-and-summer-walker-good-good-lyrics
80,"""Act II: Date @ 8""",4Batz and Drake,https://genius.com/4batz-act-ii-date-at-8-lyrics
81,"""High Road""",Koe Wetzel featuring Jessie Murph,https://genius.com/Koe-wetzel-and-jessie-murph-high-road-lyrics
82,"""Monaco""",Bad Bunny,https://genius.com/Bad-bunny-monaco-lyrics
83,"""IDGAF""",Drake featuring Yeat,https://genius.com/Drake-idgaf-lyrics
84,"""Burn It Down""",Parker McCollum,https://genius.com/Parker-mccollum-burn-it-down-lyrics
85,"""FukUMean""",Gunna,https://genius.com/Gunna-fukumean-lyrics
86,"""Taste""",Sabrina Carpenter,https://genius.com/Sabrina-carpenter-taste-lyrics
87,"""Where It Ends""",Bailey Zimmerman,https://genius.com/Bailey-zimmerman-where-it-ends-lyrics
88,"""FTCU""",Nicki Minaj,https://genius.com/Nicki-minaj-ftcu-lyrics
89,"""Wildflower""",Billie Eilish,https://genius.com/Billie-eilish-wildflower-lyrics
90,"""World on Fire""",Nate Smith,https://genius.com/Nate-smith-world-on-fire-lyrics
91,"""On My Mama""",Victoria Monét,https://genius.com/Victoria-monet-on-my-mama-lyrics
92,"""Yes, And?""",Ariana Grande,https://genius.com/Ariana-grande-yes-and-lyrics
93,"""Exes""",Tate McRae,https://genius.com/Tate-mcrae-exes-lyrics
94,"""A Holly Jolly Christmas""",Burl Ives,https://genius.com/Burl-ives-a-holly-jolly-christmas-lyrics
95,"""Wind Up Missin' You""",Tucker Wetmore,https://genius.com/Tucker-wetmore-wind-up-missin-you-lyrics
96,"""Bulletproof""",Nate Smith,https://genius.com/Nate-smith-bulletproof-lyrics
97,"""Fe!n""",Travis Scott featuring Playboi Carti,https://genius.com/Travis-scott-fe-n-lyrics
98,"""The Painter""",Cody Johnson,https://genius.com/Cody-johnson-the-painter-lyrics
99,"""Down Bad""",Taylor Swift,https://genius.com/Taylor-swift-down-bad-lyrics
100,"""Dance the Night""",Dua Lipa,https://genius.com/Dua-lipa-dance-the-night-lyrics
