Title,Artist,Harmony,Intervals,Interval_Variance
"""Boom Boom Pow""",The Black Eyed Peas,"[1, 7, 1, 7, 0, 3, 0, 3, 0, 3, 0, 3, 3, 7, 5, 6, 1, 5, 2, 5, 4, 5, 4, 5, 4, 2, 0, 7, 4, 1, 0, 7, 1, 7, 1, 7, 0, 3, 0, 3, 0, 3, 0, 3, 7, 6, 1, 6, 0, 0, 3, 0, 3, 0, 3, 0, 3]","[-2, 2, -2, -6, -1, 1, -1, 1, -1, 1, -1, 0, -5, -3, 1, 4, -5, -5, 5, -2, 2, -2, 2, -2, -3, 2, -6, -5, -5, 4, -6, 2, -2, 2, -2, -6, -1, 1, -1, 1, -1, 1, -1, -5, -2, 4, -4, 1, -5, -1, 1, -1, 1, -1, 1, -1]",7.981823979591837
"""Poker Face""",Lady Gaga,"[1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]","[-4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5]",8.618699780861942
"""Just Dance""",Lady Gaga featuring Colby O'Donis,"[1, 7, 1, 7, 1, 7, 1, 7, 6, 1, 6, 1, 7, 1, 6, 5, 7, 1, 6, 4, 7, 1, 6, 7, 5, 1, 7, 1, 7]","[-2, 2, -2, 2, -2, 2, -2, -2, 4, -4, 4, -2, 2, -4, -1, 3, 2, -4, -3, 5, 2, -4, 2, -3, 5, -2, 2, -2]",8.494897959183673
"""I Gotta Feeling""",The Black Eyed Peas,"[1, 4, 6, 4, 1, 4, 6, 4, 1, 1, 1, 4, 4, 6, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 4, 6, 1, 1, 1, 1, 4, 4, 6, 6, 4, 4]","[5, 4, -4, -5, 5, 4, -4, -5, 0, 0, 5, 0, 4, 0, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 0, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 0, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, -4, -5, 5, 4, 3, 0, 0, 0, 5, 0, 4, 0, -4, 0]",17.796438983756765
"""Love Story""",Taylor Swift,"[1, 5, 6, 4, 1, 4, 6, 4, 1, 4, 6, 5, 4, 5, 6, 1, 4, 5, 6, 4, 5, 1, 5, 6, 4, 5, 1, 1, 4, 6, 5, 4, 5, 6, 1, 4, 5, 6, 4, 5, 1, 5, 6, 4, 5, 1, 5, 6, 4, 5, 1, 1, 5, 5, 6, 6, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5, 1, 5, 6, 4, 5, 2, 6, 7, 5, 6, 2, 6, 7, 5, 2]","[-5, 2, -4, -5, 5, 4, -4, -5, 5, 4, -2, -2, 2, 2, 3, 5, 2, 2, -4, 2, 5, -5, 2, -4, 2, 5, 0, 5, 4, -2, -2, 2, 2, 3, 5, 2, 2, -4, 2, 5, -5, 2, -4, 2, 5, -5, 2, -4, 2, 5, 0, -5, 0, 2, 0, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 5, -5, 2, -4, 2, -5, -5, 2, -4, 2, 5, -5, 2, -4, -5]",13.659375
"""Right Round""",Flo Rida,"[1, 6, 7, 1, 6, 1, 7, 1, 1, 6, 7, 1, 6, 1, 7, 1, 1, 6, 1, 6, 1, 6, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 6, 7, 1, 1, 6, 7, 1, 6, 1, 7, 1, 1, 6, 7, 1, 6, 1, 7, 1]","[-4, 2, 2, -4, 4, -2, 2, 0, -4, 2, 2, -4, 4, -2, 2, 0, -4, 4, -4, 4, -4, 4, -4, 2, 2, -4, 2, 2, -4, 2, 2, -4, 2, 2, 0, -4, 2, 2, -4, 4, -2, 2, 0, -4, 2, 2, -4, 4, -2, 2]",8.96
"""I'm Yours""",Jason Mraz,not found,not found,not found
"""Single Ladies (Put a Ring on It)""",Beyoncé,not found,not found,not found
"""Heartless""",Kanye West,"[1, 4, 6, 5, 1, 4, 1, 4, 1, 7, 1, 1, 7, 1, 1, 7, 1, 1, 4, 6, 5, 1, 7, 1, 7, 1, 1, 7, 1, 7, 1, 1, 7, 1, 1, 4, 6, 5, 1, 7, 1, 7, 1, 1, 7, 1, 1, 4, 6, 5, 1, 7, 1, 7, 1, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6, 1, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6]","[5, 3, -1, 5, 5, -5, 5, -5, -2, 2, 0, -2, 2, 0, -2, 2, 0, 5, 3, -1, 5, -2, 2, -2, 2, 0, -2, 2, -2, 2, 0, -2, 2, 0, 5, 3, -1, 5, -2, 2, -2, 2, 0, -2, 2, 0, 5, 3, -1, 5, -2, 2, -2, 2, 0, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 5, -4, -3, 2, 1, 4, 5, 2, 5, -4, -3, 2, 5, -4, -3, 2, 1]",9.286827850442595
"""Gives You Hell""",The All-American Rejects,"[1, 4, 2, 1, 6, 4, 1, 4, 6, 4, 3, 1, 6, 4, 1, 6, 4, 3, 1, 4, 2, 1, 6, 4, 3, 6, 4, 4, 1, 6, 4, 5, 6, 5, 5, 1, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 5, 4, 1, 6, 4, 6, 4, 5, 5, 6, 5, 5, 1, 4, 5, 6, 4, 1, 3, 1, 2, 5]","[5, -3, -2, -3, -4, -5, 5, 4, -4, -1, -4, -3, -4, -5, -3, -4, -1, -4, 5, -3, -2, -3, -4, -1, 5, -4, 0, -5, -3, -4, 2, 2, -2, 0, 5, 5, -5, -3, -4, -5, -3, -4, -5, -3, -4, -5, -5, -2, -5, -3, -4, 4, -4, 2, 0, 2, -2, 0, 5, 5, 2, 2, -4, -5, 4, -4, 2, 5]",11.948745674740485
