Title,Artist,Harmony,Intervals,Interval_Variance
"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,"[1, 3, 4, 1, 1, 1, 3, 4, 5, 7, 1, 1, 1, 3, 4, 5, 7, 1, 1, 3, 4, 3, 4, 1, 3, 4, 3, 4, 1, 3, 4, 5, 7]","[3, 2, -5, 0, 0, 3, 2, 2, 3, 2, 0, 0, 3, 2, 2, 3, 2, 0, 3, 2, -2, 2, -5, 3, 2, -2, 2, -5, 3, 2, 2, 3]",5.62109375
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,"[1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4, 1, 3, 6, 4]","[4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4, -5, 4, 5, -4]",20.38182801514332
"""Radioactive""",Imagine Dragons,"[1, 2, 4, 1, 1, 2, 4, 1, 5, 2, 4, 1, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]","[2, 3, -5, 0, 2, 3, -5, -5, -5, 3, -5, 2, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5]",12.740490278951818
"""Harlem Shake""",Baauer,not found,not found,not found
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,"[1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 3, 7, 1, 1, 3, 7, 1, 1, 3, 7, 1, 1, 3, 7, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 1, 3, 7, 1, 1, 3, 7, 1, 1, 3, 7, 1, 1, 3, 7, 1, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5, 6, 1, 7, 7, 5]","[-2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, 3, -5, 2, 0, 3, -5, 2, 0, 3, -5, 2, 0, 3, -5, 2, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 5, 3, -5, 2, 0, 3, -5, 2, 0, 3, -5, 2, 0, 3, -5, 2, 0, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3, 1, 4, -2, 0, -3]",6.886889334441782
"""Mirrors""",Justin Timberlake,"[1, 4, 1, 5, 4, 6, 5, 4, 4, 6, 5, 4, 3, 6, 5, 4, 4, 6, 5, 4, 3, 6, 5, 4, 4, 6, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 5, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 3, 6, 5, 4, 4, 6, 5, 4, 4, 3, 6, 5, 4, 4, 6, 0, 4, 4, 3, 6, 5, 4, 4, 6, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 5, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 4, 3, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4]","[5, -5, -5, -2, 4, -2, -2, 0, 4, -2, -2, -1, 5, -2, -2, 0, 4, -2, -2, -1, 5, -2, -2, 0, 4, -2, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, 2, 5, -5, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, -1, 5, -2, -2, 0, 4, -2, -2, 0, -1, 5, -2, -2, 0, 4, -3, -1, 0, -1, 5, -2, -2, 0, 4, -2, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, 2, 5, -5, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, -5, -5, -2, -1, 1, 4, -2, -2, 4, -2, -2, 4, -2, -2, 0, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2]",9.612366230677765
"""Just Give Me a Reason""",Pink featuring Nate Ruess,"[1, 7, 4, 7, 3, 6, 3, 4, 3, 3, 6, 1, 6, 3, 3, 6, 1, 6, 3, 1, 7, 4, 7, 7, 1, 7, 4, 7, 7, 1, 7, 4, 7, 3, 6, 3, 7, 7, 3, 7, 1, 5, 7, 3, 7, 1, 5, 7, 3, 3, 6, 1, 6, 3, 3, 6, 1, 6, 3, 1, 7, 4, 7, 7, 1, 7, 4, 7, 7, 1, 7, 4, 7, 3, 6, 3, 4, 6, 3, 7, 7, 3, 7, 1, 5, 7, 3, 7, 1, 5, 7, 1, 1, 5, 6, 7, 1, 5, 6, 4, 7, 7, 3, 7, 1, 5, 7, 3, 7, 1, 5, 7, 3, 7, 1, 5, 7, 3, 7, 1, 5, 7, 1, 7, 4, 7, 3, 6, 3, 4, 3]","[-2, -5, 5, 5, 5, -5, 2, -2, 0, 5, 4, -4, -5, 0, 5, 4, -4, -5, -3, -2, -5, 5, 0, 2, -2, -5, 5, 0, 2, -2, -5, 5, 5, 5, -5, -5, 0, 5, -5, 2, -5, 3, 5, -5, 2, -5, 3, 5, 0, 5, 4, -4, -5, 0, 5, 4, -4, -5, -3, -2, -5, 5, 0, 2, -2, -5, 5, 0, 2, -2, -5, 5, 5, 5, -5, 2, 3, -5, -5, 0, 5, -5, 2, -5, 3, 5, -5, 2, -5, 3, 2, 0, -5, 1, 2, 2, -5, 1, -3, 5, 0, 5, -5, 2, -5, 3, 5, -5, 2, -5, 3, 5, -5, 2, -5, 3, 5, -5, 2, -5, 3, 2, -2, -5, 5, 5, 5, -5, 2, -2]",15.607159763313609
"""When I Was Your Man""",Bruno Mars,"[1, 1, 0, 1, 1, 0, 4, 5, 0, 1, 4, 4, 0, 2, 5, 0, 1, 4, 0, 2, 5, 2, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 4, 5, 1, 0, 0, 0, 0, 0, 2, 5, 0, 1, 4, 4, 0, 2, 5, 0, 1, 4, 0, 2, 5, 2, 0, 0, 4, 0, 4, 0, 0, 4, 0, 0, 4, 5, 1, 0, 0, 0, 0, 4, 0, 4, 5, 2, 1, 1, 4, 0, 4, 0, 0, 4, 0, 0, 4, 5, 1, 0, 0, 0, 1, 0, 0, 0]","[0, -2, 2, 0, -2, -5, 2, 3, 2, 5, 0, 5, 4, 5, 3, 2, 5, 5, 4, 5, -5, -6, 2, -5, -2, 2, 5, 5, 2, 5, 5, 2, 2, 5, 3, 0, -5, 5, -5, 4, 5, 3, 2, 5, 0, 5, 4, 5, 3, 2, 5, 5, 4, 5, -5, -6, 2, -5, -2, 2, 5, 5, 2, 5, 5, 2, 2, 5, 3, 0, -5, 5, 2, 5, -5, 2, -5, -2, 0, 5, -2, 2, 5, 5, 2, 5, 5, 2, 2, 5, 3, 0, -5, 2, 3, 0, -5]",11.916675523435009
"""Cruise""",Florida Georgia Line featuring Nelly,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1]","[-5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, 3, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5]",8.837353497164461
"""Roar""",Katy Perry,"[1, 1, 1, 1, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 1, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 5, 5, 5, 5, 5, 5, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1]","[0, 0, 0, 0, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 0, 0, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -2, 0, 0, 0, 0, 0, 5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5, 2, -5, -4, -5]",8.985334918747522
