Title,Artist,Harmony,Intervals,Interval_Variance
"""Levitating""",Dua Lipa,"[1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1]","[5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, -5, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7, 0, 5, 2, -7]",19.804878048780488
"""Save Your Tears""",The Weeknd and Ariana Grande,not found,not found,not found
"""Blinding Lights""",The Weeknd,"[1, 5, 7, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 1, 5, 7, 4, 1, 5, 7, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 1, 5, 7, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4, 4, 4, 4, 1, 5, 7, 4]","[-7, 9, -7, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 5, -7, 9, -7, 5, -7, 9, -2, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 5, -7, 9, -2, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7, 0, 0, 0, 5, -7, 9, -7]",35.899220226843106
"""Mood""",24kGoldn featuring Iann Dior,"[1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2, 1, 3, 5, 2]","[-4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5, 2, -4, -3, 5]",13.595551474339352
"""Good 4 U""",Olivia Rodrigo,"[1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 6, 5, 1, 7, 1, 7, 1, 7, 6, 5, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 1, 7, 4, 1, 7, 4, 7, 1, 7, 1, 7, 6, 5, 1, 7, 1, 7, 1, 7, 6, 5, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 1, 7, 4, 1, 7, 4, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1, 7, 4, 6, 3, 7, 1, 7, 6, 3, 7, 6, 3, 7, 1, 7, 6, 3, 7, 1, 7, 1, 7, 4, 1, 7, 4, 1, 7, 4, 1]","[2, -2, 2, -2, 2, -2, 2, -2, 2, 2, 1, -5, 2, -2, 2, -2, 2, 2, 1, -1, -7, 5, -2, 2, 2, -7, 5, -2, 2, 2, -7, 5, -2, 2, 2, -7, 5, -2, 2, -2, 2, -7, 5, 2, -7, 7, -2, 2, -2, 2, 2, 1, -5, 2, -2, 2, -2, 2, 2, 1, -1, -7, 5, -2, 2, 2, -7, 5, -2, 2, 2, -7, 5, -2, 2, 2, -7, 5, -2, 2, -2, 2, -7, 5, 2, -7, 9, -7, 5, -2, 2, 2, -7, 5, -2, 2, -2, 2, -7, 5, 2, -7, 5, 2, -7, 5, 2, -7, 5, 2, -7, 5, 2, -7, 5, 2, -7, 5, 2, -7, 9, -7, 5, -2, 2, 2, -7, 5, 2, -7, 5, -2, 2, 2, -7, 5, -2, 2, -2, 2, -7, 5, 2, -7, 5, 2, -7, 5]",18.013513513513512
"""Kiss Me More""",Doja Cat featuring SZA,"[1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2, 1, 4, 7, 3, 2]","[7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11, 2, 7, -5, 7, -11]",49.999692212988606
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),not found,not found,not found
"""Drivers License""",Olivia Rodrigo,"[1, 6, 1, 4, 1, 1, 6, 4, 1, 4, 1, 4, 1, 4, 4, 1, 4]","[-9, 9, -5, 5, 0, -9, 4, 5, -5, 5, -5, 5, -5, 0, 5, -5]",31.71484375
"""Montero (Call Me by Your Name)""",Lil Nas X,"[7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 7, 1, 1, 7, 7, 1, 1, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 7, 1, 1, 7, 1, 1, 7, 7, 1, 1, 7]","[-1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 1, -1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, -1, 0, 1, 0, -1, 0, 1]",0.5360824742268041
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,"[1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5, 1, 7, 6, 5]","[1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2, -5, 1, 2, 2]",8.248162174203607
