Title,Artist,Harmony,Intervals,Interval_Variance
"""Heat Waves""",Glass Animals,"[1, 1, 7, 5, 4, 1, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 3, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 1, 7, 5, 4, 3, 4, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 3, 3, 4, 4, 5, 5, 7, 7, 7, 7, 3, 4, 5, 2, 3, 4, 5, 7, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 7, 5, 4, 1, 7, 5, 4, 3, 5, 1, 4]","[0, -10, 3, 2, 5, 0, -10, 3, 2, 5, -10, 3, 2, 5, -10, 3, 2, 5, -10, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 2, -7, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 5, -10, 3, 2, 5, -10, 3, 2, 2, -2, -2, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 2, 0, -2, 0, -2, 0, -3, 0, 0, 0, 7, -2, -2, 5, -1, -2, -2, -3, 10, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -7, 3, 2, 5, -10, 3, 2, 2, -4, 7, -5]",24.521023693683002
"""As It Was""",Harry Styles,"[1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 3, 1, 4, 7, 1, 4, 7, 3, 1, 4, 7]","[7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, 7, -9, 7, -5, -2, 7, -5, 7, -9, 7, -5]",49.055179779280884
"""Stay""",The Kid Laroi and Justin Bieber,"[1, 1, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 1, 1, 2, 3, 7, 1, 1, 2, 3, 7, 1, 1, 1, 3, 7, 1, 1, 1, 2, 1, 1, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 3, 7, 1, 2, 3, 7, 1, 2, 3, 7, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 1, 1, 1, 2, 3, 7, 1, 2, 3, 7, 1, 2, 3, 7]","[0, 0, -2, -2, 5, -1, 0, 0, -2, -2, 5, -1, 0, -2, -2, 5, -1, 0, -2, -2, 5, -1, 0, 0, -4, 5, -1, 0, 0, -2, 2, 0, 0, -2, -2, 5, -1, 0, 0, -2, -2, 5, -1, 0, 0, -2, -2, 5, -1, 0, 0, -2, -2, 5, -5, 5, -1, -2, -2, 5, -1, -2, -2, 5, -1, -2, -2, 5, -1, 0, 0, -2, -2, 5, -1, 0, 0, -2, -2, 5, -1, -2, -2, 5, -1, -2, -2, 5]",6.920325413223139
"""Easy on Me""",Adele,"[1, 6, 3, 4, 5, 1, 6, 3, 4, 4, 4, 5, 1, 6, 5, 3, 2, 1, 4, 5, 1, 6, 5, 3, 2, 1, 4, 1, 6, 3, 4, 5, 1, 6, 3, 4, 5, 1, 6, 3, 4, 4, 5, 1, 6, 5, 3, 2, 1, 4, 1, 6, 5, 3, 2, 1, 4, 1, 6, 3, 4, 1, 6, 3, 4, 4, 5, 1, 6, 5, 3, 2, 1, 4, 1, 6, 5, 3, 2, 1, 4, 1, 6, 3, 4]","[-9, 5, -1, -2, 7, -9, 5, -1, 0, 0, -2, 7, -9, 2, 3, 2, 2, -5, -2, 7, -9, 2, 3, 2, 2, -5, 5, -9, 5, -1, -2, 7, -9, 5, -1, -2, 7, -9, 5, -1, 0, -2, 7, -9, 2, 3, 2, 2, -5, 5, -9, 2, 3, 2, 2, -5, 5, -9, 5, -1, 5, -9, 5, -1, 0, -2, 7, -9, 2, 3, 2, 2, -5, 5, -9, 2, 3, 2, 2, -5, 5, -9, 5, -1]",25.460742630385486
"""Shivers""",Ed Sheeran,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]","[4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7]",23.80851599899219
"""First Class""",Jack Harlow,"[1, 6, 6, 1, 1, 6, 6, 1, 1, 6, 6, 1, 1, 6, 6, 6, 6, 6, 6, 1, 1, 1, 6, 1, 1, 6, 6, 6, 6, 6, 6, 1, 1, 6, 6, 1, 1, 1]","[4, 0, -4, 0, 4, 0, -4, 0, 4, 0, -4, 0, 4, 0, 0, 0, 0, 0, -4, 0, 0, 4, -4, 0, 4, 0, 0, 0, 0, 0, -4, 0, 4, 0, -4, 0, 0]",6.054054054054054
"""Big Energy""",Latto,"[1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6, 1, 2, 6]","[-2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5, -3, -2, 5]",12.700148484583806
"""Ghost""",Justin Bieber,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 5, 6, 6, 1, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 5, 6, 6, 1, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]","[4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, 5, -2, -1, 0, -4, 2, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, 7, -7, -2, 4, 5, -7, -2, 4, 5, -7, 5, -2, -1, 0, -4, 2, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7, -2, 4, 5, -7]",22.246686024491858
"""Super Gremlin""",Kodak Black,not found,not found,not found
"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,"[1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5]","[7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1, -1, 1, -5, 7, -3, 1, -5, 7, -3, 1, -5, 7, -3, 1]",20.54373472207461
