Title,Artist,Harmony,Intervals,Interval_Variance
"""Love Yourself""",Justin Bieber,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 6, 4, 1, 6, 4, 1, 6, 4, 1, 5, 6, 4, 5, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 6, 4, 1, 6, 4, 1, 6, 4, 1, 5, 6, 4, 5, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 4, 1, 1, 5, 6, 4, 1, 4, 1]","[-5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 2, -4, -5, -3, -4, -5, -3, -4, -5, -5, 2, -4, 2, 5, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, 5, -5, 0, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 2, -4, -5, -3, -4, -5, -3, -4, -5, -5, 2, -4, 2, 5, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, -5, 5, 0, -5, 2, -4, -5, -5, 5, 0, -5, 2, 5, -2, -5, 5, -5, 2, 5, -2, -5, 5, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, 5, -5, 0, -5, 2, -4, -5, 5, -5]",15.67850156087409
"""Sorry""",Justin Bieber,"[1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 3, 2, 1, 3, 2]","[4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -5, 3, 2, -2, 4, -2, -2, 4, -2]",8.721042730448804
"""One Dance""",Drake featuring Wizkid and Kyla,"[1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 4, 4, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 4, 4]","[3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 3, 2, 0, -5, 0, 0, 0, 0, 0, 3, 0, 0, -3, 3, 2, 0]",8.397415905546891
"""Work""",Rihanna featuring Drake,"[1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4, 1, 7, 3, 4]","[-2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2, -5, -2, 5, 2]",14.432973379217593
"""Stressed Out""",Twenty One Pilots,"[1, 3, 4, 5, 5, 6, 7, 6, 4, 1, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 5, 1, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 6, 4, 1, 6, 4, 1, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 5, 1, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 6, 5, 1, 5, 1, 7, 3, 5, 1, 7, 3, 5, 1, 7, 3, 5, 6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 4, 1]","[3, 2, 2, 0, 1, 2, -2, -3, -5, 0, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -1, 5, -5, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 1, -3, -5, -4, -3, -5, 0, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5, -4, -1, 5, -5, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 1, -1, 5, -5, 5, -2, 5, 4, 5, -2, 5, 4, 5, -2, 5, 4, 1, -3, -5, -4, -3, -5, -4, -3, -5, -4, -3, -5]",15.537414965986395
"""Panda""",Desiigner,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 1, 5, 6, 4, 1, 5, 6, 4]","[-5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, 0, -5, 2, -4, -5, -5, 2, -4]",8.539930555555555
"""Hello""",Adele,"[1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 7, 5, 6, 1, 7, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 7, 5, 6, 1, 7, 6, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 3, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 3, 7, 6, 1]","[3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, -2, -3, 1, 4, -2, -2, 4, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, 3, -5, -2, 4, -2, -3, 1, 4, -2, -2, 4, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, 2, 5, -3, -4, 2, 5, -3, -4, 2, 5, -3, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, 3, -5, -2, 4]",12.625157048940833
"""Don't Let Me Down""",The Chainsmokers featuring Daya,not found,not found,not found
"""Can't Stop the Feeling!""",Justin Timberlake,"[1, 0, 6, 1, 4, 0, 1, 0, 0, 4, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 0, 1, 0, 1, 0, 0, 4, 0, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 0, 1, 0, 1, 0, 0, 4, 0, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 6, 1, 6, 4, 1]","[-2, -1, 3, 5, 5, 2, -4, 2, -5, -5, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 1, 2, -2, 2, -4, 2, -5, 3, 4, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 1, 2, -2, 2, -4, 2, -5, 3, 4, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, 4, 3, -3, -4, -5]",12.254209413423135
"""Closer""",The Chainsmokers featuring Halsey,"[1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2]","[2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2, -2, 2, 2, -2]",3.999856574276596
