Title,Artist,Harmony
"""Happy""",Pharrell Williams,"[1, 4, 4, 4, 7, 1, 7, 4, 4, 7, 1, 7, 4, 4, 7, 1, 7, 4, 4, 1, 7, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 4, 4, 7, 1, 7, 4, 4, 7, 1, 7, 4, 4, 1, 3, 7, 4, 4, 7, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7, 0, 0, 1, 1, 7]"
"""Dark Horse""",Katy Perry featuring Juicy J,"[1, 5, 3, 2, 1, 5, 3, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 3, 2, 1, 3, 2, 1, 3, 2, 3, 2, 1, 1, 5, 3, 2, 1, 5, 3, 2, 1, 1, 3, 2, 7, 3, 2, 1, 3, 2, 1, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 3, 2, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1]"
"""All of Me""",John Legend,"[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 4, 3, 7, 4, 3, 7, 3, 1, 4, 6, 7, 3, 1, 4, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 4, 3, 7, 4, 3, 7, 3, 1, 4, 6, 7, 3, 1, 4, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 4, 3, 7, 4, 4, 3, 7, 3, 1, 4, 6, 7, 3, 1, 4, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7]"
"""Fancy""",Iggy Azalea featuring Charli XCX,"[1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6, 1, 3, 6]"
"""Counting Stars""",OneRepublic,"[1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 6, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 6, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 6, 4, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6]"
"""Talk Dirty""",Jason Derulo featuring 2 Chainz,not found
"""Rude""",Magic!,"[1, 2, 3, 2, 1, 3, 2, 1, 1, 2, 5, 2, 1, 2, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 1, 5, 1, 2, 1, 1, 5, 3, 1, 5, 1, 3, 1, 5, 1, 5]"
"""All About That Bass""",Meghan Trainor,"[1, 1, 2, 5, 1, 1, 2, 5, 1, 1, 2, 2, 5, 1, 4, 1, 1, 2, 5, 1, 1, 2, 5, 4, 1, 1, 1, 2, 5, 1, 1, 2, 5, 1, 5, 1, 1, 2, 5, 1, 1, 2, 5, 4, 1, 1, 1, 2, 5, 1, 1, 1, 2, 5, 1, 1, 1, 2, 5, 1]"
"""Problem""",Ariana Grande featuring Iggy Azalea,"[1, 2, 5, 1, 2, 3, 1, 2, 5, 1, 2, 3, 1, 2, 5, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 5, 1, 2, 3, 1, 2, 5, 1, 2, 3, 1, 2, 5, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 5, 1, 2, 3, 1, 2, 5, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"""Stay with Me""",Sam Smith,"[1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 7, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 0, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 6, 3, 1, 7, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 0, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 0, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 0, 1, 6, 3, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 0, 1, 6, 3]"
"""Timber""",Pitbull featuring Kesha,"[1, 3, 7, 6, 1, 1, 3, 7, 6, 1, 3, 7, 6, 1, 3, 7, 6]"
"""Pompeii""",Bastille,"[1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 2, 1, 5, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 3, 2, 1, 5, 2, 1, 5, 2, 1, 5, 3, 2]"
"""Shake It Off""",Taylor Swift,"[1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 1, 2, 4, 1, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1, 2, 4, 1]"
"""Am I Wrong""",Nico & Vinz,not found
"""Turn Down for What""",DJ Snake and Lil Jon,not found
