№,Title,Artist,Lyrics_URL,Lyrics
11,"""Don't Matter""",Akon,https://genius.com/Akon-dont-matter-lyrics,oh-oh oh-oh-oh-oh-oh-oh oh-oh oh-oh-oh-oh-oh-oh nobody wan na see u together matter nobody wan na see u together matter 'cause gon fight oh yes gon fight believe gon fight fight right love yeah nobody wan na see u together matter nobody wan na see u together nobody thought last forever feel hoping praying thing u get better men steady comin woman steady comin seems like everybody wan na go self wan na respect boundary tellin lie get yo side must admit couple secret held inside know try always apologize i'ma first always heart keep satisfied nobody wan na see u together matter nobody wan na see u together matter 'cause gon fight oh yes gon fight believe gon fight fight right love yeah nobody wan na see u together matter got every right wan na leave got every right wan na go got every right hit road never talk even call even check 'cause way actin lately wall especially towards puttin girl watchin everything doin hurt true wo show much queen love baby nobody wan na see u together matter nobody wan na see u together matter 'cause gon fight oh yes gon fight believe gon fight fight right love yeah nobody wan na see u together matter oh-oh oh-oh-oh-oh-oh-oh 'cause got babe oh-oh oh-oh-oh-oh-oh-oh 'cause got babe 'cause got babe 'cause got babe nobody wan na see u together matter nobody wan na see u together matter 'cause gon fight oh yes gon fight believe gon fight fight right love yeah nobody wan na see u together matter nobody wan na see u together matter nobody wan na see u together matter 'cause gon fight oh yes gon fight believe gon fight fight right love yeah nobody wan na see u together matter 'cause got babe
12,"""Girlfriend""",Avril Lavigne,https://genius.com/Avril-lavigne-girlfriend-lyrics,hey hey like girlfriend way way think need new one hey hey could girlfriend hey hey know like way way know secret hey hey want girlfriend fine want mine delicious think time addictive know make feel alright pretend think know damn precious hell yeah motherfuckin princess tell like know right like whatever could much better think get together everyone talkin hey hey like girlfriend way way think need new one hey hey could girlfriend hey hey know like way way know secret hey hey want girlfriend see way see way look even look away know think know talk time come tell wan na hear better yet make girlfriend disappear wan na hear say name ever like whatever could much better think get together everyone talkin hey hey like girlfriend way way think need new one hey hey could girlfriend hey hey know like way way know secret hey hey want girlfriend second wrapped around finger 'cause 'cause better gon na sink stupid hell thinkin second wrapped around finger 'cause 'cause better gon na sink stupid hell thinkin hey hey like girlfriend way way think need new one hey hey could girlfriend hey hey know like way way know secret hey hey want girlfriend hey hey like girlfriend way way think need new one hey hey could girlfriend hey way hey way way hey hey
13,"""Makes Me Wonder""",Maroon 5,https://genius.com/Maroon-5-makes-me-wonder-lyrics,wake blood-shot eye struggle memorize way felt thigh pleasure made cry feel good bad worth aftermath tried get back still reason time really make wonder ever gave fuck give somethin believe 'cause believe anymore anymore wonder even make difference try yeah goodbye god damn spinning head decision made bed must lay deal thing left unsaid want dive forget goin get behind make move forget truth still reason time really make wonder ever gave fuck give somethin believe 'cause believe anymore anymore wonder even make difference even make difference try yeah tell feeling believe true anymore anymore wonder even make difference cry goodbye one day wake wo hurt anymore caught lie alibi word say meaning 'cause still reason time really make wonder ever gave fuck goodbye give somethin believe 'cause believe anymore anymore wonder even make difference even make difference try yeah tell feeling believe true anymore anymore wonder even make difference cry goodbye goodbye yeah goodbye yeah goodbye
14,"""Party Like a Rockstar""",Shop Boyz,https://genius.com/Shop-boyz-party-like-a-rockstar-lyrics,yeah p-p-p-i-t production y-y-yeah y-y-yeah y-y-yeah t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude money makin mission party like rockstar flyin 20 lookin good hot car know hoe show grabbin chain go tryna rap hold pant ho wo let thang go yuu like yuu 'cause know hoe tryin oh know fuck fine dime look like pamela fine hot bruh spot bruh party like rockstar party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude ha ha party like rock star black white like cop car yeah band man yacht marilyn manson gettin tan man yuu know skull belt wallet chain shop boyz rockstars yeah bout change game change game uh-oh know star make rain center guitar party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude soon came womb mama knew star born golf course trippin osbournes seen show travis barker rockstar mentality jumpin crowd see carry ayy white bitch wan na marry see might panic ice make 'em go quick like titanic yeah shop boyz know surfin screamin cowabonga totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude party like rock party like rockstar party like rock party like rockstar party like rock party like rockstar party like rockstar t-t-totally dude
15,"""Smack That""",Akon featuring Eminem,https://genius.com/Akon-smack-that-lyrics,intro akon eminem shady konvict upfront akon slim shady see one could lady ayy feel creepin see shadow wan na jump lamborghini gallardo maybe go place kick like tae bo possibly bend look back watch smack floor smack give smack 'til get sore smack oh smack floor smack give smack 'til get sore smack oh upfront style ready attack pull parking lot slow 'lac konvict got whole thing packed step club wardrobe intact feel dawnin cracked ooh see dull backed i'ma call put mack money problem pocket full feel creepin see shadow wan na jump lamborghini gallardo maybe go place kick like tae bo possibly bend look back watch smack floor smack give smack 'til get sore smack oh smack floor smack give smack 'til get sore smack oh oh look like another club banger better hang throw thang get little drink gon flip akon shit bank pedicure manicure kitty-cat claw way climb pole lookin like one putty-cat doll tryin hold woodie back drawer step stage think saw creep behind like you're— like know let cut chase time waste back place plus club crib like mile away like palace shall say plus got pal gal game fact one singin song playin feel creepin see shadow wan na jump lamborghini gallardo maybe go place kick like tae bo possibly bend look back watch smack floor smack give smack 'til get sore smack oh smack floor smack give smack 'til get sore smack oh eminem rollin 'em rollin bu marvelous rollin woman ho-in big booty rollin soon throwin hittin less three block wheel style like whee girl tell want 'cause lately feel creepin see shadow wan na jump lamborghini gallardo maybe go place kick like tae bo possibly bend look back watch smack floor smack give smack 'til get sore smack oh smack floor smack give smack 'til get sore smack oh
16,"""This Is Why I'm Hot""",Mims,https://genius.com/Mims-this-is-why-im-hot-lyrics,hot hot hot hot hot hot hot 'cause fly 'cause hot hot 'cause fly 'cause hot hot got ta rap could sell mill sayin nothin track represent new york got back nigga say lost i'ma bring back love dirty dirty 'cause nigga show love lady start bounce soon hit club midwest love take slow hit h watch 'em get flo need hyphy take bay 'frisco sac-town erryday compton hollywood soon hit l.a low-low cali way hit chi people say fly love way dress like attire love move crowd side-to-side ask simply reply hot hot hot hot hot hot hot 'cause fly 'cause hot hot 'cause fly 'cause hot hot catch block every day another bitch another drop sixteen bar twenty-four pop forty-four song nigga gim got drivin car fresh lot shuttin store could shop need bird could get chopped tell whachu need know get 'em flock call homie black meet ave hit wash height wit money bag big spendin see pimpin never drag find different woman nigga never say know know focused cream player come better focus beam keep mean way seen lean say hot nigga mean hot hot hot hot hot hot hot 'cause fly 'cause hot hot 'cause fly 'cause hot hot shorty see drop asked paid say yeah paid guap hit switch take away top chick around way call cream crop hop car tell 'em aboard hit studio say like record gave 'em black train wrong every time see man tell song say bomb love way charm hangin neck compliment arm compliment ear come gear hit room shorties stop stare nigga start hate rearrange face little know keep thing waist side reply nobody got die similar lil weez 'cause got fire hot hot hot hot hot hot hot 'cause fly 'cause hot hot 'cause fly 'cause hot
17,"""It's Not Over""",Daughtry,https://genius.com/Daughtry-its-not-over-lyrics,blown away could say seemed make sense taken away everything ca deal try see good life good thing life hard find blow away blow away make something good well try right time around let start try right time around 'cause part dead ground love killing one taken could take wait wasting much time strong holding ca let bring u life mean everything wo give easily blow away blow away make something good 'cause misunderstood well try right time around let start try right time around 'cause part dead ground love killing one ca let get away let let get caught let let start try right time around 'cause part dead ground love killing one let start yeah yeah love killing one
18,"""The Way I Are""",Timbaland featuring Keri Hilson,https://genius.com/Timbaland-the-way-i-are-lyrics,intro timbaland demacio “ demo ” castellon state emergency yeah yeah yeah yeah remember time baby yeah yeah got money got car take date ca even buy flower together perfect soulmates talk girl baby right got ta flaunt go dutch still touch love free work without perk thug 'til get right chorus keri hilson timbaland keri hilson timbaland baby strip get tip 'cause like way strip well-equipped handle way need g car key boy like way let see ya strip get tip 'cause like like like got visa got red american express ca go nowhere exotic matter 'cause one love best talk girl baby right got ta flaunt go dutch still touch love free work without perk thug 'til get right chorus keri hilson timbaland keri hilson timbaland baby strip get tip 'cause like way strip well-equipped handle way need g car key boy like way let see ya strip get tip 'cause like way yeah baby girl got huge ol house rent room house listen baby girl got motorboat float ya boat listen baby girl get dose d.o.e. gon want mo listen baby girl make want want yeah
19,"""Fergalicious""",Fergie featuring will.i.am,https://genius.com/Fergie-fergalicious-lyrics,intro will.i.am derrick rahming four tres two uno listen y'all 'cause beat banging delicious fergalicious definition make boy go loco want treasure get pleasure photo see ca squeeze easy sleazy got reason tease 'em boy come go like season pre-chorus 1 fergie will.i.am derrick rahming fergalicious delicious promiscuous suspicious shit fictitious blow kiss put boy rock rock lining block watch got four tres two uno delicious delicious delicious fergalicious fergalicious def- fergalicious def- fergalicious def- verse 2 fergie will.i.am fergalicious definition make boy go crazy always claim know comin call stacy hey stacy f e-r-g e ca lady put like pre-chorus 2 fergie will.i.am derrick rahming fergalicious delicious body stay vicious gym workin fitness witness ooh wee put boy rock rock lining block watch got four tres two uno delicious delicious delicious fergalicious h-h-h-h-hold check baby baby baby really want honey get patience maybe get taste tasty tasty laced lacey tasty tasty make crazy s-t-e-y girl tasty s-t-e-y girl tasty e l-i-c-i-o-u-s e ... time turn around brothas gather 'round always looking looking uh wan na say trying 'round drama little mama wan na take man know coming little bit conceited keep repeatin boy wan na eat tryna tell ca treated like clientele pre-chorus 1 fergie will.i.am derrick rahming 'cause say delicious delicious promiscuous suspicious shit fictitious blow kiss put boy rock rock lining block watch got-got-got-got four tres two uno pre-chorus 2 fergie will.i.am derrick rahming body stay vicious gym working fitness witness ooh wee put boy rock rock lining block watch got four tres two uno delicious delicious delicious fergalicious delicious delicious delicious fergalicious refrain will.i.am fergie s-t-e-y girl tasty s-t-e-y girl tasty s-t-e-y girl tasty four tres two uno e l-i-c-i-o-u-s e l-i-c-i-o-u-s e l-i-c-i-o-u-s e four tres two uno s-t-e-y girl tasty s-t-e-y girl tasty s-t-e-y girl tasty four tres two uno e l-i-c-i-o-u-s e l-i-c-i-o-u-s e l-i-c-i-o-u-s e ...
20,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,https://genius.com/Glitzy-know-your-meme-music-annotated,click letter jump term selected letter b c e f g h j k l n p q r u v w x z sybyr africa toto aicha outlandish got rhythm phineas ferb fella frizk star smash mouth axel crazy frog b baby justin bieber baby breakbot bad boujee migos baka mitai mitsuharu fukuyama ballin mustard roddy ricch banana dance dr. jean feldman banana song onision banana phone raffi barbie girl aqua beep beep sheep lildeucedeuce big enough kirin j. callinan bill nye science guy mike greene bitch lasagna pewdiepie party backyard blue eiffel 65 bring life evanescence c call maybe carly rae jepsen feel heart bring horizon caramelldansen caramella girl careless whisper wham catallena orange caramel chocolate rain tay zonday come get rae sremmurd cooking book lazy town crank soulja boy tell 'em crawling linkin park despacito luis fonsi dragostea din teï o-zone dreamscape 009 sound system drop like hot snoop dogg duck song bryant oden e everytime touch cascada eye tiger survivor f fabulous secret power slackcircus fergalicious fergie firefly owl city fox ylvis fresh prince bel air dj jazzy jeff fresh prince friday rebecca black fruit salad wiggle fuck tha police n.w.a g gangnam style psy gitchee gitchee goo phineas ferbtones goofy goober rock tom rothrock h harlem shake baauer hello adele hello lionel richie hide seek imogen heap hoe mad famous dex hotline bling drake feeling drake summertime mungo jerry believer smash mouth gummy bear gummibär everyday bro jake paul j juju beat zay hilfigerrr k kazoo kid kazoo kid kung fu fighting carl douglas l look xxxtentacion lose eminem mad world michael andrew man hot big shaq marilyn monroe danielle cohn mine diamond minecraft awesome parody mo bamba sheck wes moskau dschinghis khan move bitch ludacris mr. boombastic biggie cheese n nyan cat theme nyan cat never gon na give rick astley fortuna carl orff ocean man ween p pen pineapple apple pen pikotaro photograph nickelback pokemon go song mishovy silenosti pokémon theme song pokémon q r r.i.p roach ki mask slump god ram ranch grant macdonald rasputin boney m. ridin chamillionaire roundabout yes running 90 max coveri revolution kirk franklin sandstorm darude scatman scatman john shooting star bag raider sicko mode travis scott drake spooky scary skeleton living tombstone straight outta compton n.w.a sweatshirt jacob sartorius suge dababy take a-ha justin bieber fire flame dragonforce time john cena tha trademarc treasure bruno mar ਤੁਨਕ ਤੁਨਕ ਤੁਨ daler mehndi turn dj snake yarichin bitch club ヤリチン☆ビッチ部 touch u ultimate denzel curry v w wake go-go wham like party vengaboys speak americano yolanda cool dcup rock queen love haddaway let dog baha men always lying nicholas fraser work iggy azalea worth fifth harmony x reposted wrong neighborhood shokk z 7th element витас
