№,Title,Artist,Lyrics_URL,Lyrics
21,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,https://genius.com/Timbaland-give-it-to-me-lyrics,goin goin goin going know lookin oh yeah boy come type girl look dead eye eye real come know fly seen try switch girl dope wonder woman let go get rope supermodel mommy — sí mami amnesty international got bangkok montauk lock love as ab video promiscuous style ri-dic-dic-diculous-ulous-ulous see u club actin real nice see u floor watchin night hurt nobody wan na see work body timbo party everybody put hand get half mil beat get couple grand never gon see day got upper hand respected californ-i-a way japan real producer piano man song top chart — heard 'em fan nigga talkin greedy one gave chance somebody need tell 'em ca like see u club actin real nice see u floor watchin night hurt nobody wan na see work body could speak stop mu-mumbling think came clear sittin top hard hear way saw tryna act cute tv let clear air ... missed chart last week — damn right s-sexy never left everybody shit hate come see u club go walk way 'cause run never — least say see u club actin real nice see u floor watchin night hurt nobody wan na see work body break nelly furtado nelly furtado justin timberlake oh ... damn improve oh ... damn improve oh ... damn improve oh ... damn improve oh ... damn improve oh ... damn improve oh ... damn improve oh ... damn improve see u club actin real nice see u floor watchin night hurt nobody wan na see work body see u club actin real nice see u floor watchin night hurt nobody wan na see work body
22,"""What Goes Around... Comes Around""",Justin Timberlake,https://genius.com/Justin-timberlake-what-goes-around-comes-around-lyrics,hey girl everything wanted man know gave world palm hand love went away ca seem understand thought baby end guess wrong uh wan na think wan na talk sick ca believe endin way confused feelin blue ca without ya tell fair way really goin say goodbye known better came around gon na make cry breakin heart watch run around 'cause know livin lie okay baby 'cause time find go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around girl remember everything claimed said movin maybe funny thing ready give name thought baby shame guess wrong uh wan na think wan na talk sick ca believe endin way confused feelin blue ca without ya tell fair way really goin say goodbye known better came around known better gon na make cry breakin heart watch run around 'cause know livin lie okay baby 'cause time find go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around go around come around yeah go around come around know go around come around yeah go around come around know wan na think wan na talk sick ca believe endin way confused feelin blue ca without ya tell fair way really goin say goodbye known better came around known better gon na make cry breakin heart watch run around 'cause know livin lie okay baby 'cause time find go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around go around go around go around come way back around yeah yep yep yep let paint picture baby yep spend night alone never come home every time call get busy tone heard found doin way go cheated girl heart bleeded girl go without sayin left feelin hurt classic case scenario tale old time girl got deserved want somebody cure lonely night wish somebody could come make right girl somebody lot sympathy see see chorus justin timberlake timbaland go around come back around thought told ya hey go around come back around thought told ya hey go around come back around thought told ya hey go around come back around thought told ya hey take 'em hey hey hey hey outro justin timberlake timbaland ha-ha-ha-ha hey hey hey hey take 'em see listened baby hey hey hey hey hey hey take 'em hey hey hey hey hey hey hey hey hey hey hey take 'em hey hey hey hey girl go around come back around hahahaha
23,"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,https://genius.com/Apologetix-stupids-stronghold-reckless-in-america-lyrics,parody cupid chokehold gym class hero ba ba da da ba ba da da ba ba da da ba ba da da ba ba da da take look world friend see news 10 o'clock watchin world trend never cease get shock guy lasso visiting mountain back broke someone else found true love hugh hefner say three new girlfriend network bold snoop probably get show afraid might tune find donald trump rosie fightin hulk hogan used ludacris land sake man filthy justin timberlake akon rap guy know love kid developing fan base meetin total stranger myspace know fun new daughter son would still let 'em play gun take look world friend see news 10 o'clock watchin world trend never cease get shock take look world friend even though wan na gawk watch doorstep better go get lock wild scene borat kinda hard ignore nativity movie made well done though girl playing virgin one know heard bad talk girl pussycat doll tryin fix unemployment rate find lady train know davinci code jive though seems america think go get plugged gon na read family bible know seen family guy though told 'em oughta know wolf pack door practicing art war drawn sword nah na na na na na chorus girl gone-a wild think teen dirty old men find fun got guy probably go saw 5 say even scary got source insistin sport infested guy cheat try grow strong got crudest gag ever heard seen comedian go full hour could still perish moment yet joke future like dave conan call dumb call nut call chump better shout 'cause everyone goin sleep hot 2 timothy 3:1-5 mark terrible time last day people lover lover money boastful proud abusive disobedient parent ungrateful unholy without love unforgiving slanderous without self-control brutal lover good treacherous rash conceited lover pleasure rather lover god form godliness denying power nothing
24,"""How to Save a Life""",The Fray,https://genius.com/The-fray-how-to-save-a-life-lyrics,step one say need talk walk say sit talk smile politely back stare politely right sort window right go left stay right line fear blame begin wonder came go wrong lost friend somewhere along bitterness would stayed night known save life let know know best 'cause know best try slip past defense without granting innocence lay list wrong thing told along pray god hears pray god hears go wrong lost friend somewhere along bitterness would stayed night known save life begin raise voice lower grant one last choice drive lose road break one followed one two thing admit everything say begin wonder came go wrong lost friend somewhere along bitterness would stayed night known save life go wrong lost friend somewhere along bitterness would stayed night known save life save life save life go wrong lost friend somewhere along bitterness would stayed night known save life go wrong lost friend somewhere along bitterness would stayed night known save life save life save life
25,"""Home""",Daughtry,https://genius.com/Daughtry-home-lyrics,staring night trying hide pain going place love feeling good ever cost thing pain feel different kind pain well going home place belong love always enough running think got wrong regret life chose place face getting old going home well going home mile getting longer seems closer get always best man friend love remains true know always seem give another try going home place belong love always enough running think got wrong regret life chose place face getting old careful wish 'cause might get might get want careful wish 'cause might get might get yeah going home place belong love always enough running think got wrong regret life chose place face getting old said place face getting old going home well going home
26,"""My Love""",Justin Timberlake featuring T.I.,https://genius.com/Justin-timberlake-my-love-lyrics,another woman take spot my— wrote symphony say much mean told beautiful would date regular well baby around world seen another girl ring represents heart one thing need see u holdin hand walkin beach toe sand see u countryside sittin grass layin side side baby let make lady girl amaze got ta nothin crazy chorus justin timberlake timbaland see want love give away love give away love give away another woman could take spot love give away love give away love give away another woman could take spot love girl love love wrote love note made smile every word wrote would make wan na change scene wan na one team see point waitin anymore 'cause girl never sure ring represents heart everything waitin see u holdin hand walkin beach toe sand see u countryside sittin grass layin side side baby let make lady girl amaze got ta nothin crazy chorus justin timberlake timbaland see want love give away love give away love give away another woman could take spot love give away love give away love give away another woman could take spot love girl love love aight time get jt know hesitatin man ay ay ay shawty cool fan move still fan peru japan hey listen baby wan na ruin plan got man try lose 'cause girl worldwide throw hand high wan na come kick stand-up guy really wan na let chance go 'cause seen man fly babe friend fly go fly private 'cause handle b.i call candle guy simply 'cause fire hate cancel vacation ca deny patient gon try come gon die hold mean ca go boyfriend tie say wan na kick high well baby obvious yo guy gon lie fill space forget face swear st. bart anguilla anywhere chill bring pair see u holdin hand walkin beach toe sand see u countryside sittin grass layin side side baby let make lady girl amaze got ta nothin crazy see want love love love another woman could take spot love love love another woman could take spot love girl love love
27,"""Stronger""",Kanye West,https://genius.com/Kanye-west-stronger-lyrics,work make make u harder better faster stronger chorus kanye west daft punk nah-nah-nah kill make stronger need hurry 'cause ca wait much longer know got right 'cause ca get much wronger man waitin night long ya work harder make better faster make u stronger ever hour hour work— let get lost tonight could black kate moss tonight play secretary bos tonight give fuck say right awesome christian christian dior damn make 'em like anymore ask 'cause sure anybody make real shit anymore bow presence greatness 'cause right thou hast forsaken u honored lateness would even show fake shit go ahead go nut go apeshit 'specially pastellé bape shit act like ca tell made new gospel homie take six take hater chorus kanye west daft punk nah-nah-nah kill make stronger need hurry 'cause ca wait much longer know got right 'cause ca get much wronger man waitin night long ya work harder make better faster make u stronger ever hour hour work— likey verse 2 kanye west daft punk know got man made plan god put plan trippin drink got sayin lot know god put front hell could front thousand one trippin caught moment right 'cause louis vuitton night gon everything kan like heard anything klondike well anything blonde dyke anything limelight anything time right uh baby makin harder better faster stronger chorus kanye west daft punk nah-nah-nah kill make stronger need hurry 'cause ca wait much longer know got right 'cause ca get much wronger man waitin night long ya work harder make better faster make u stronger ever hour hour work never bridge kanye west daft punk know long ya since prince apollonia since o.j isotoners act like never told ya work work never act like never told ya harder work never uh act like never told ya act like never told ya act like never told ya uh baby makin harder better faster stronger chorus kanye west daft punk nah-nah-nah kill make stronger need hurry 'cause ca wait much longer know got right 'cause ca get much wronger man waitin night long ya work harder make better faster make u stronger ever hour hour work never work harder make better faster make u stronger ever hour hour work never know long ya since prince apollonia since o.j isotoners act like never told ya know long ya since prince apollonia since o.j isotoners act like never told ya outro kanye west daft punk told ya told ya never told ya told ya told ya never told ya told ya told ya never told ya told ya told ya never told ya never never never never never never never harder better faster stronger work harder make better faster make u stronger ever hour hour work never work harder make better faster make u stronger ever hour hour work never work harder make better faster make u stronger ever hour hour work never work harder make better faster make u stronger ever hour hour work never
28,"""We Fly High""",Jim Jones,https://genius.com/Jim-jones-we-fly-high-lyrics,intro bruce butler jim jones wear mean dark pair shade ca see eye unless head bent dig uh-huh chorus jim jones karen civil cam'ron fly high lie hear know let ride… ballin foreign ride outside yessir like showbiz stay fly lie know hip thigh oh stay focused ya boy gettin paper buy big car eight fly ride drive garage stay sky high fly star g4 flight 80 grand large lean pop 'vertible jones mean top missin flossin sittin clean bottom kitted hopped saggy jean rock glistened spent 8 grand mami stage doin rain dance let hit floor made pop got pedal floor screamin fuck cop chorus jim jones karen civil fly high lie know foreign ride outside like showbiz stay fly lie know hip thigh oh stay focused slow tonight could gone tomorrow speed life like tomorrow hundred g worth ice audemars street life 'til call law made whip get naked switch gear bitch lookin bracelet step show flashback last night ballin 1 club 2 ten bottle bub 3-somethin thinkin 'bout grub stumbled car due drink drug chorus jim jones karen civil fly high lie know foreign ride outside like showbiz stay fly lie know hip thigh oh stay focused keep 20 pocket talkin buck 80 bentley topic course got ta fly spur hood roll dice side curb know g bet may sound absurd drive 80 lenox 'cause got urge rap game like crack game lifestyle rich famous livin fast lane bleep shorty bleep back lou vuitton belt keepin heat strapped beat trial rucker gun loaded back motherfucker chorus jim jones karen civil fly high lie know foreign ride outside like showbiz fly high lie know foreign ride outside like showbiz stay fly lie know hip thigh oh stay focused chea nigga need stay focused dealin motherfuckin g know name jones one eye capo status motherfucka dipset byrdgang born fly y'all know rule fall back fall back someone tell bitch summer lookin ya dig another day another dollar fast life fucka dipset stay fly lie know hip thigh oh stay focused
29,"""U + Ur Hand""",Pink,https://genius.com/P-nk-u-ur-hand-lyrics,uh-uh-uh-uh ah uh-uh ah oh uh-uh-uh-uh ah uh-uh ah oh check goin late night lookin tight feelin nice cock fight tell know going tonight door wait 'cause know bar six shot beginnin dickhead put hand see entertainment really wan na mess tonight stop take second fine walked life 'cause know began keep drink give money hand tonight uh-uh-uh-uh ah uh-uh ah oh uh-uh-uh-uh ah uh-uh ah oh midnight drunk give fuck wan na dance guess outta luck touch back one a-buh-bye listen happening say want boyfriend let fun tonight aight entertainment really wan na mess tonight stop take second fine walked life 'cause know began keep drink give money hand tonight uh-uh-uh-uh ah uh-uh ah oh uh-uh-uh-uh ah uh-uh ah oh break-break-break-break-break corner boy bet 'em five buck get girl walked think suck get dressed see quit spilling drink yeah know high fivin talking shit goin home alone ya 'cause entertainment really wan na mess tonight stop take second fine walked life 'cause know began keep drink give money hand tonight entertainment really wan na mess tonight stop take second fine walked life 'cause know began keep drink give money hand tonight
30,"""Walk It Out""",Unk,https://genius.com/Unk-walk-it-out-lyrics,ayy walk walk walk walk westside walk southside walk eastside walk northside walk go walk walk walk walk westside walk southside walk eastside walk northside walk hit danceflo ya back low hand stop pop roll smokin bubble ho yeah trouble ho like way move undercover ho everybody leanin made crowd rock 'gwan walk see jock want bubblegum doublemint twin two hoe choosin know i'mma win patron threw hair back froze like wind westside walk southside walk eastside walk northside walk walk walk walk walk westside walk southside walk eastside walk northside walk walk walk walk walk westside walk southside walk eastside walk northside walk walk east walk west southside got northside stuck club deuce big stack flex sucker wan na try tell 'em tool deck walkin one steady smokin fruit walk friend snow boot go walk flo grey goose double shot let body go nigga side hater hate think funny walked nigga gettin money froze hoe talkin 'bout dancin ho count 'pon charm diamond steady stead enhancin walk walk walk walk westside walk southside walk eastside walk northside walk walk walk walk walk westside walk southside walk eastside walk northside walk okay 'gwan walk said 'gwan walk okay 'gwan walk said 'gwan walk walk walk walk walk walk walk walk walk walk walk walk walk said 'gwan walk aye
31,"""Beautiful Girls""",Sean Kingston,https://genius.com/Sean-kingston-beautiful-girls-lyrics,j.r. sean kingston way beautiful girl never work suicidal suicidal say damn beautiful girl wan na dirt suicidal suicidal say see started park used chill dark oh took heart fell apart 'cause thought love last forever say young get sprung oh care made clear also said could last together see defined one kind mash mind haffi get declined oh lord baby drivin crazy way beautiful girl never work suicidal suicidal say damn beautiful girl wan na dirt suicidal suicidal say back '99 watchin movie time oh went away doin first crime never thought gon na see came mami moved south oh girl thought world came girl see defined one kind mash mind haffi get declined oh lord baby drivin crazy way beautiful girl never work suicidal suicidal say damn beautiful girl wan na dirt suicidal suicidal say fussin fighting please tell feelin slighted know make better dating guy telling lie oh ca believe seein eye losin mind think clever way beautiful girl never work suicidal suicidal suicidal
32,"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,https://genius.com/Fall-out-boy-this-aint-a-scene-its-an-arms-race-lyrics,arm dealer fitting weapon form word really care side win long room keep singing business scene goddamn arm race scene goddamn arm race scene goddamn arm race shoulder cry digress leading man lie weave oh intricate oh intricate yeah leading man lie weave oh intricate oh intricate yeah wrote gospel giving looking pretty sinking real bombshell already sunk prima donna gutter night painting trash gold sleep crashing like hip car like p-p-p-parties scene goddamn arm race scene goddamn arm race scene goddamn arm race bandwagon full please catch another leading man lie weave oh intricate oh intricate yeah leading man lie weave oh intricate oh intricate yeah woah-oh oh-oh-oh-oh-oh whoo boy dance floor love girl whose lip could move fast enough sing lung give scene goddamn arm race scene goddamn arm race scene goddamn arm race wear groove scene goddamn arm race sing loud scene goddamn arm race oh oh scene goddamn arm race leading man lie weave oh intricate oh intricate yeah leading man lie weave oh intricate oh intricate
33,"""Bartender""",T-Pain featuring Akon,https://genius.com/T-pain-bartender-lyrics,yeah uh-huh yeah yeah broke girl last night went club put fresh white suit mini-coupe sittin dub lookin somebody talk show love know mean uh-huh everybody jockin soon stepped spot two hundred bitch building none hot except pretty young thang workin way top shawty name ooh made u drink drink drunk 'em got drunk think think cool gave wink winked back think hit somethin proper like like bartender bar like bartender bar got brand new girl feelin good inside feel like put brand new twenty-four brand new ride triple shot patron rock little bit lime keepin real uh-huh baby still workin club gettin free wednesday night list t-pain plus three every time hit spot babygirl takin care think feel ooh made u drink drink drunk 'em got drunk know think cool gave wink winked back think gon fun spot tonight like bartender bar like bartender bar verse 3 akon t-pain shorty sure heard rarely ever come 'less m6 doin trick freeway burnt got passenger side empty wantin spot put billboard act like chart end top smoke drink bar baby lookin distance lookin like goddamn star baby girl see t-pain get key car 'bout go bang bang boogie cutie see tomorrow see tomorrow pre-chorus t-pain akon ooh made u drink drink drunk 'em got drunk know think cool think cool gave wink winked back uh-huh think uh-huh gon fun spot tonight oh yeah slide like bartender bar like bartender bar
34,"""Pop, Lock & Drop It""",Huey,https://genius.com/Huey-pop-lock-and-drop-it-lyrics,toot thang mami make roll pop pop lock girl get low yo mama gave baby girl let show pop lock drop maybe roll oh pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop tonight gon change actin sadity stop actin get clappin cause knowin feelin yeah cute let shit go yo head cause cutie wo pimpin another one prepured rockin skirt ya heel tall wit none trickin bill tall peepin fo throwin back lookin fo balla got dough da back look yo color carmello brown skin smooth havin fantasy undacover freak probably thinking da seein light yo face peepin chain tryin put thurr freak even take way say yeah probably roll wit cause money pocket got ta see pop lock drop toot thang mami make roll pop pop lock girl get low yo mama gave baby girl let show pop lock drop maybe roll oh pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop got ta yo man really would mind got ta talk jus tryna time balla pull stack slap da ayyy pop lockin cock blockas get da way let lil mami get low give space let sweat club turnin hoolas cause shirt wet da window da wall lil mama showin thong broad freakin tellin ready roll tellin go thinkin handle way make roll groovin speedin right u strip-teaser baby tease u first thought trippin vision gettin clearer movin thang around practice mirror doin new dance next man said like naw pop lockin headstand toot thang mami make roll pop pop lock girl get low yo mama gave baby girl let show pop lock drop maybe roll oh pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop pop lock drop make roll left roll right pop lock drop get low aight make roll left roll right pop lock drop get low aight trickin got got givin bounce roll wit maybe roll wit u trickin got got givin bounce roll wit maybe roll wit u pop lock drop pop lock drop fo pop lock drop say pop lock drop yo name girl neva mind neva mind ya thang girl fire neva lied yo name girl neva mind neva mind thang girl fire neva lied oh
35,"""Runaway Love""",Ludacris featuring Mary J. Blige,https://genius.com/Ludacris-runaway-love-lyrics,yeah go little somethin li-li-like runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love little lisa nine year old tryin figure world cold alone never met family momma always gone never met daddy part missin nobody listen momma drug gettin high kitchen bringin home men different hour night startin laugh usually endin fight sneakin room momma knocked tryin way little lisa say ouch try resist beat try tell mom momma believe lisa stuck world forced think hell place called home nothin else get clothes pack say 'bout run away never come back like runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love little nicole ten year old steady tryin figure world cold pretty nobody seems like alcoholic stepdad always wan na strike yell abuse leaf bruise teacher ask question makin excuse bleedin inside cryin one girl really know name little stacy become friend promise always tight 'til end one day lil stacy get shot drive-by bullet went stray block nicole stuck world forced think hell place called home nothin else get clothes pack say 'bout run away never come back runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love little erica eleven year old steady tryin figure world cold pop x get rid pain plus havin sex boy sixteen emotion run deep think love protection usin glove never thinkin 'bout consequence action livin today tomorrow satisfaction day go belly get big father bail ready kid knowin momma would blow proportion plus life poor money abortion erica stuck world forced think hell place called home nothin else get clothes pack say 'bout run away never come back ah runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love runaway love outro ludacris mary j. blige runaway runaway love keep runnin away run away want yeah imagine goin lady sometimes feel like runnin away favor right close eye picture u runnin away together come back everything gon na okay open eye
36,"""Rockstar""",Nickelback,https://genius.com/Nickelback-rockstar-lyrics,standing line club never get like bottom ninth never gon na win life turned quite way want want brand new house episode crib bathroom play baseball king size tub big enough ten plus need credit card got limit big black jet bedroom gon na join mile high club thirty-seven thousand foot want new tour bus full old guitar star hollywood boulevard somewhere cher james dean fine gon na trade life fortune fame even cut hair change name 'cause wan na big rockstars live hilltop house driving fifteen car girl come easy drug come cheap stay skinny 'cause wo eat hang coolest bar vip movie star every good gold digger gon na wind every playboy bunny bleach blond hair hey hey wan na rockstar hey hey wan na rockstar wan na great like elvis without tassel hire eight bodyguard love beat asshole sign couple autograph eat meal free gon na dress as latest fashion get front door key playboy mansion gon na date centerfold love blow money make look fat gon na trade life fortune fame even cut hair change name 'cause wan na big rockstars live hilltop house driving fifteen car girl come easy drug come cheap stay skinny 'cause wo eat hang coolest bar vip movie star every good gold digger gon na wind every playboy bunny bleach blond hair hide private room latest dictionary today get anything evil smile everybody got drug dealer speed dial well hey hey wan na rockstar gon na sing song offend censor gon na pop pill pez dispenser get washed-up singer writing song lip sync 'em every night get 'em wrong well wan na big rockstars live hilltop house driving fifteen car girl come easy drug come cheap stay skinny 'cause wo eat hang coolest bar vip movie star every good gold digger gon na wind every playboy bunny bleach blond hair hide private room latest dictionary today get anything evil smile everybody got drug dealer speed dial well hey hey wan na rockstar hey hey wan na rockstar
37,"""Thnks fr th Mmrs""",Fall Out Boy,https://genius.com/Fall-out-boy-thnks-fr-th-mmrs-lyrics,gon na make bend break say prayer let good time roll case god show want word make thing right wrong make word come life think worst got better put finger back key ... one night one time thanks memory even though great taste like sweeter one night yeah one time thanks memory thanks memory see taste like sweeter looking forward future eyesight going bad crystal ball ... always cloudy except look past one night stand ... one night stand one night one time thanks memory even though great taste like sweeter one night yeah one time thanks memory thanks memory see taste like sweeter oh-oh say think form crunching number hotel room collecting page six lover get mind get clothes liner away getting mood woah one night one time thanks memory even though great taste like sweeter one night one time thanks memory thanks memory see taste like sweeter oh-oh-oh-oh one night one time thanks memory even though great taste like sweeter oh-oh-oh one night one time thanks memory thanks memory see taste like sweeter oh-oh-oh-oh
38,"""What I've Done""",Linkin Park,https://genius.com/Linkin-park-what-ive-done-lyrics,farewell blood alibi 'cause drawn regret truth thousand lie let mercy come wash away done face cross become erase let go done put rest thought clean slate hand uncertainty let mercy come wash away done face cross become erase let go done done start whatever pain may come today end forgiving done face cross become erase let go done outro mike shinoda chester bennington done forgiving done
39,"""Summer Love""",Justin Timberlake,https://genius.com/Justin-timberlake-summer-love-lyrics,ridin drop top top saw switchin lane girl pull red light lookin right come let get name girl tell like let pick brain girl tell got pretty little face pretty little frame girl let show 'round let take bet could fun girl 'cause fast fast slow whichever way wan na run girl lеt buy drink better yеt ring want done girl would thought could one 'cause ca wait fall love ca wait fall love ca summer love see ca summer love come lem show 'round let take bet could fun girl 'cause dress dress way want done girl stay home talkin phone rappin 'til see sun girl got ta got ta show one girl well i'ma freak right every night know insane girl 'cause make hot make stop make wan na say name girl come baby please 'cause knee ca get brain girl would thought could one 'cause ca wait fall love ca wait fall love ca summer love see ca summer love 'cause ca wait fall love ca wait fall love ca summer love see ca summer love summer u mean give love one thinkin knew day met one oh ca wait fall love ca wait fall love ca summer love see ca summer love 'cause ca wait fall love ca wait fall love ca summer love see ca summer love
40,"""You""",Lloyd featuring Lil Wayne,https://genius.com/Lloyd-you-lyrics,intro lil wayne lloyd major move right baby got ta get get lost understand yeah young lloyd reporting live atlanta georgia weezy f. baby decatur greater uh want sexy lady report dance floor immediately gon golden glide one y'all big reese right bat boy got dollar woman come frequent like flight mileage secret i— might holla gon na sweat ya baby i'ma let catch game run faster let lose 'cause gon bless ya unless feeling lil desperate send nigga text message girl stop wait minute way move girl done got heart wan na tonight girl please player yeah true change game wan na see real feel need love let dip ooh type everything right wan na chill let dip let dip ha ha-ha ha ha fine want ha ha ha-ha ha ha fine want admit game word spitting could see thought head tripping player yeah true change game see ooh real feel need love let dip ooh type everything right wan na chill let dip let dip ha ha-ha ha ha fine want ha ha ha-ha ha ha fine want yeah weezy f. baby key lady key 'cedes please say baby weed patrón even a.m alone get day like saying come around way and— go inside stay tell homeboy staying taken gone turn i'ma turn know love like cooked food know fucking good dude know give good brain like graduated good school know good move do— hey shawty tha carter shawty big party crib—that party hill call want gon call feel ow real feel need love let dip ooh type everything right wan na chill let dip let dip ha ha-ha ha ha fine want ha ha ha-ha ha ha fine want nothing nonviolent nigga know mean street love big love c'mon lil lloyd baby long hair care yo ryan see baby yeah major move right baby talking fast—it listening slow know mean tryna hear heard outta mean mean jean know mean want
41,"""Wait for You""",Elliott Yamin,https://genius.com/Elliott-yamin-wait-for-you-lyrics,never felt nothing world like missing wishing would come back door oh go could let know alone girl could stayed would give chance around little bit stand oh tear keep runnin face turn away pride make run hide afraid know lie keep inside want baby wait 'cause know else tell ran time take rest life baby wait think fine true really need life matter wait long time since called got ta feeling crazy walk away everything stay ca baby take make come back girl told like ca look still love leave cry baby ca start get back way give chance love right telling wo enough baby wait 'cause know else tell ran time take rest life baby wait think fine true really need life matter wait pride make run hide afraid know lie keeping inside want baby wait baby wait last thing baby wait 'cause know else tell ran time take rest life baby wait think fine true really need life matter wait waiting
42,"""Last Night""",Diddy featuring Keyshia Cole,https://genius.com/Diddy-last-night-lyrics,last night could even get answer tried call pride would let dial sitting blank expression way feel wan na curl like child know hear know feel ca live without god please make better wish way told told twice see eye cried nothing say everything wanted could see belongs love much yearning touch come set free forever baby wo come take pain away chorus diddy keyshia cole last night could even get answer said could get answer baby tried call pride would let dial never stop sitting sitting blank expression ca read mind baby way feel way feel wan na curl like child ooh baby need need plain see would never let go always love could see heart belongs love much yearning touch come set free forever baby wo come take pain away last night could even get answer tried call pride would let dial sitting blank expression way feel wan na curl like child break diddy keyshia cole tell word say make come back break like ooh matter rather stay home baby never alone wan na wait 'til gone ooh whatever leave last night could even get answer tried call pride would let dial oh could dial baby baby baby baby baby baby sitting blank expression way feel wan na curl like child need need plain see would never let go always love could see heart belongs love much yearning touch come set free forever baby wo come take pain away last night could even get answer tried call pride would let dial sitting blank expression way feel wan na curl like child pick phone dial number call baby waiting pick phone dial number call baby waiting hello hey tryin reach night shit funny picking motherfucking phone better stop fucking playing nigga feeling like know much love right couple second though could get touch ready come house shoot motherfucker fucking dumb bitch better fucking get house hahaha really go right
43,"""Make It Rain""",Fat Joe featuring Lil Wayne,https://genius.com/Fat-joe-make-it-rain-lyrics,intro fat joe lil wayne oooooowwwww ha ha chyeah scotty chyeah let make rain nigga joey crack yeah bitch terror got hand full stack better grab umbrella make rain make rain bitch terror got handful stack better grab umbrella make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe oww cr-cr-crack crack crack crack crack hear echo man seen best go cause metal hustler hustler pusher pusher buster customer get cook yeah crack chemist pack eleven mackin seven clap reverend see n-y send invite gon need pas code live yeah bitch terror got hand full stack better grab umbrella make rain make rain bitch terror got handful stack better grab umbrella make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe oww clap clap clap got ta make as clap got ta make as clap clap clap clap clap got ta make as clap got ta make as clap everybody mad south change style switch southpaw jada listenin made 'em anthem make dividend lil mama tryna hit shoulder lean cut co crack control team couple brick stacked triple beam dirty bro sippin promethazine ganja green cali weed nigga lose life tryna roll yup yup get ands rain keep fallin even droughted yeah bitch terror got hand full stack better grab umbrella make rain make rain bitch terror got handful stack better grab umbrella make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe oww mami body bangin got man get poppin hand make pour make rain 'em layin game 'em got miss tattoo name 'em got ta get baby love got ta get paper got ta stay strapped asap 'case y'alls hate crack wan na rain u know yeah powder kid know bid give shit yeah bitch terror got hand full stack better grab umbrella make rain make rain bitch terror got handful stack better grab umbrella make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe make rain make rain make rain hoe oww calca t bx nigga khaled scott storch nigga yeah tony sunshine see nigga uh-huh brrat
44,"""Make Me Better""",Fabolous featuring Ne-Yo,https://genius.com/Fabolous-make-me-better-lyrics,intro ne-yo ne-yo fabolous timbo hey ne-yo say loso hey hey movement force together mami good baby make better make better make better make better make better make better make better make better make better plus equal better math boy good look better half already bossin already flossin cake got sweet frostin you're-you're-you're-you keepin game with-with-with-without havin name they-they-they-they-they-they might flame but-but-but-but shorty burn sag swag pep step daddy gucci mami giuseppes guess g thing whenever swing need coretta scott 'gon king movement force together mami good baby make better make better make better make better make better make better make better make better make better verse 2 ne-yo fabolous ne-yo fabolous first thing first everything improve already bossin already fly star sky a-a-a-and feel like top she-she-she-she give reason stop and-and-and-and-and-and though hot to-to-to-together burn caked cut cleaned ice shorty come around clean nice dynamic duo batman robin whoever like man problem and-and-and feel like tired ma-ma-ma mami takin higher i'm-i'm-i'm-i'm-i fire but-but-but shorty burn movement force together mami good baby make better make better make better make better make better make better make better make better make better cause side every great man could find woman like soldier holdin treat like watch hit check go even watch right wrong never slip show move never trip baby girl major front page ya god bless parent made ya middle finger anybody hate way burn movement force together mami good baby make better make better make better make better make better make better make better make better make better outro fabolous ne-yo ahhhhhhhhh yeah baby lame playin 'gon push tryin compliment know make better top notch tim nice look ne-yo livin good loso ask doin tell 'em better hahahahahahaaha movement force together mami good baby make better make better make better make better make better make better make better make better make better
