Title,Artist,UG_link
"""Mamiii""",Becky G and Karol G,https://tabs.ultimate-guitar.com/tab/becky-g/mamiii-chords-4106239
"""Knife Talk""",Drake featuring 21 Savage and Project Pat,https://tabs.ultimate-guitar.com/tab/21-savage/pad-lock-chords-2800904
"""AA""",Walker Hayes,https://tabs.ultimate-guitar.com/tab/walker-hayes/aa-chords-3961855
"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,https://tabs.ultimate-guitar.com/tab/dua-lipa/these-walls-chords-5252094
"""Provenza""",Karol G,https://tabs.ultimate-guitar.com/tab/karol-g/provenza-chords-4229149
"""Essence""",Wizkid featuring Justin Bieber and Tems,not found
"""All I Want for Christmas Is You""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/u2/all-i-want-is-you-chords-57144
"""Bam Bam""",Camila Cabello featuring Ed Sheeran,https://tabs.ultimate-guitar.com/tab/camila-cabello/bam-bam-chords-4095289
"""5 Foot 9""",Tyler Hubbard,https://tabs.ultimate-guitar.com/tab/tyler-hubbard/5-foot-9-chords-4199089
"""Get Into It (Yuh)""",Doja Cat,https://tabs.ultimate-guitar.com/tab/doja-cat/get-into-it-yuh-chords-3961267
"""Efecto""",Bad Bunny,https://tabs.ultimate-guitar.com/tab/bad-bunny/efecto-chords-4196890
"""Rock and a Hard Place""",Bailey Zimmerman,https://tabs.ultimate-guitar.com/tab/bailey-zimmerman/rock-and-a-hard-place-chords-4227010
"""Doin' This""",Luke Combs,https://tabs.ultimate-guitar.com/tab/luke-combs/doin-this-chords-3944693
"""Oh My God""",Adele,https://tabs.ultimate-guitar.com/tab/adele/oh-my-god-chords-3955133
"""Better Days""","Neiked, Mae Muller and Polo G",https://tabs.ultimate-guitar.com/tab/neiked/better-days-chords-3922544
"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,https://tabs.ultimate-guitar.com/tab/willow-willow-smith/meet-me-at-our-spot-chords-3923093
"""Fingers Crossed""",Lauren Spencer-Smith,not found
"""All Too Well (Taylor's Version)""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/all-too-well-chords-1189554
"""Party""",Bad Bunny and Rauw Alejandro,https://tabs.ultimate-guitar.com/tab/bad-bunny/party-chords-4583771
"""Después de la Playa""",Bad Bunny,https://tabs.ultimate-guitar.com/tab/bad-bunny/despues-de-la-playa-chords-4583855
"""You Should Probably Leave""",Chris Stapleton,https://tabs.ultimate-guitar.com/tab/chris-stapleton/you-should-probably-leave-chords-1678318
"""Rockin' Around the Christmas Tree""",Brenda Lee,https://tabs.ultimate-guitar.com/tab/brenda-lee/rockin-around-the-christmas-tree-chords-275920
"""Broadway Girls""",Lil Durk featuring Morgan Wallen,https://tabs.ultimate-guitar.com/tab/lil-durk/broadway-girls-chords-3917177
"""Take My Name""",Parmalee,https://tabs.ultimate-guitar.com/tab/parmalee/take-my-name-chords-3786290
"""What Happened to Virgil""",Lil Durk featuring Gunna,not found
"""Puffin on Zootiez""",Future,not found
"""Like I Love Country Music""",Kane Brown,https://tabs.ultimate-guitar.com/tab/kane-brown/like-i-love-country-music-chords-4180957
"""Jingle Bell Rock""",Bobby Helms,https://tabs.ultimate-guitar.com/tab/bobby-helms/jingle-bell-rock-chords-1014762
"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo,https://tabs.ultimate-guitar.com/tab/bad-bunny/ojitos-lindos-chords-4269568
"""Trouble with a Heartbreak""",Jason Aldean,https://tabs.ultimate-guitar.com/tab/jason-aldean/trouble-with-a-heartbreak-chords-4028452
"""A Holly Jolly Christmas""",Burl Ives,https://tabs.ultimate-guitar.com/tab/alan-jackson/a-holly-jolly-christmas-chords-2267517
