Title,Artist,UG_link
"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,not found
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,not found
"""Radioactive""",Imagine Dragons,not found
"""Harlem Shake""",Baauer,not found
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,not found
"""Mirrors""",Justin Timberlake,not found
"""Just Give Me a Reason""",Pink featuring Nate Ruess,not found
"""When I Was Your Man""",Bruno Mars,not found
"""Cruise""",Florida Georgia Line featuring Nelly,not found
"""Roar""",Katy Perry,not found
"""Locked Out of Heaven""",Bruno Mars,not found
"""Ho Hey""",The Lumineers,not found
"""Stay""",Rihanna featuring Mikky Ekko,not found
"""Get Lucky""",Daft Punk featuring Pharrell Williams,not found
"""Royals""",Lorde,not found
"""I Knew You Were Trouble.""",Taylor Swift,not found
"""We Can't Stop""",Miley Cyrus,not found
"""Wrecking Ball""",Miley Cyrus,not found
"""Wake Me Up""",Avicii,not found
"""Suit & Tie""",Justin Timberlake featuring Jay-Z,not found
"""Cups (Pitch Perfect's *When I'm Gone*)""",Anna Kendrick,not found
"""Holy Grail""",Jay-Z featuring Justin Timberlake,not found
"""Scream & Shout""",will.i.am featuring Britney Spears,not found
"""Clarity""",Zedd featuring Foxes,not found
"""Sail""",Awolnation,not found
"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,not found
"""Diamonds""",Rihanna,not found
"""I Love It""",Icona Pop featuring Charli XCX,not found
"""Safe and Sound""",Capital Cities,not found
"""Treasure""",Bruno Mars,not found
"""The Way""",Ariana Grande featuring Mac Miller,not found
"""Started from the Bottom""",Drake,not found
"""Come & Get It""",Selena Gomez,not found
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,not found
"""Daylight""",Maroon 5,not found
"""Feel This Moment""",Pitbull featuring Christina Aguilera,not found
"""Applause""",Lady Gaga,not found
"""One More Night""",Maroon 5,not found
"""Love Me""",Lil Wayne featuring Drake and Future,not found
"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,not found
"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",not found
"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj,not found
"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert,not found
"""Sweet Nothing""",Calvin Harris featuring Florence Welch,not found
"""Summertime Sadness""",Lana Del Rey and Cédric Gervais,not found
"""Home""",Phillip Phillips,not found
"""It's Time""",Imagine Dragons,not found
"""Power Trip""",J. Cole featuring Miguel,not found
"""Girl on Fire""",Alicia Keys featuring Nicki Minaj,not found
"""Heart Attack""",Demi Lovato,not found
"""Love Somebody""",Maroon 5,not found
"""I Will Wait""",Mumford & Sons,not found
"""Try""",Pink,not found
"""Wagon Wheel""",Darius Rucker,not found
"""Gangnam Style""",Psy,not found
"""I Need Your Love""",Calvin Harris featuring Ellie Goulding,not found
"""Die Young""",Kesha,not found
"""Some Nights""",Fun,not found
"""Bad""",Wale featuring Tiara Thomas or Rihanna,not found
"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,not found
"""Gone, Gone, Gone""",Phillip Phillips,not found
"""Demons""",Imagine Dragons,not found
"""Counting Stars""",OneRepublic,not found
"""I Cry""",Flo Rida,not found
"""Little Talks""",Of Monsters and Men,not found
"""The Other Side""",Jason Derulo,not found
"""Berzerk""",Eminem,not found
"""Catch My Breath""",Kelly Clarkson,not found
"""Crash My Party""",Luke Bryan,not found
"""Pour It Up""",Rihanna,not found
"""22""",Taylor Swift,not found
"""I Want Crazy""",Hunter Hayes,not found
"""The Fox (What Does the Fox Say?)""",Ylvis,not found
"""Best Song Ever""",One Direction,not found
"""The A Team""",Ed Sheeran,not found
"""Carry On""",Fun,not found
"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,not found
"""That's My Kind of Night""",Luke Bryan,not found
"""Swimming Pools (Drank)""",Kendrick Lamar,not found
"""Sure Be Cool If You Did""",Blake Shelton,not found
"""#Beautiful""",Mariah Carey featuring Miguel,not found
"""Troublemaker""",Olly Murs featuring Flo Rida,not found
"""Body Party""",Ciara,not found
"""Adorn""",Miguel,not found
"""Hall of Fame""",The Script featuring will.i.am,not found
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,not found
"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross,not found
"""Next to Me""",Emeli Sandé,not found
"""Mama's Broken Heart""",Miranda Lambert,not found
"""It Goes Like This""",Thomas Rhett,not found
"""Bugatti""",Ace Hood featuring Future and Rick Ross,not found
"""Wanted""",Hunter Hayes,not found
"""Downtown""",Lady Antebellum,not found
"""Get Your Shine On""",Florida Georgia Line,not found
"""#thatPower""",will.i.am featuring Justin Bieber,not found
"""Brave""",Sara Bareilles,not found
"""Let Her Go""",Passenger,not found
"""Runnin' Outta Moonlight""",Randy Houser,not found
"""I'm Different""",2 Chainz,not found
"""Still Into You""",Paramore,not found
