Title,Artist,UG_link
"""Boom Boom Pow""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/boom-boom-pow-chords-960455
"""Poker Face""",Lady Gaga,https://tabs.ultimate-guitar.com/tab/lady-gaga/poker-face-chords-803288
"""Just Dance""",Lady Gaga featuring Colby O'Donis,https://tabs.ultimate-guitar.com/tab/lady-gaga/just-dance-chords-714331
"""I Gotta Feeling""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/i-gotta-feeling-chords-832775
"""Love Story""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords-730809
"""Right Round""",Flo Rida,https://tabs.ultimate-guitar.com/tab/flo-rida/right-round-chords-791194
"""I'm Yours""",Jason Mraz,not found
"""Single Ladies (Put a Ring on It)""",Beyoncé,https://tabs.ultimate-guitar.com/tab/squirrel-nut-zippers/put-a-lid-on-it-chords-2392893
"""Heartless""",Kanye West,https://tabs.ultimate-guitar.com/tab/kanye-west/heartless-chords-741960
"""Gives You Hell""",The All-American Rejects,https://tabs.ultimate-guitar.com/tab/the-all-american-rejects/gives-you-hell-chords-776807
"""You Belong with Me""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/you-belong-with-me-chords-752649
"""Dead and Gone""",T.I. featuring Justin Timberlake,https://tabs.ultimate-guitar.com/tab/the-black-keys/dead-and-gone-chords-1198227
"""You Found Me""",The Fray,https://tabs.ultimate-guitar.com/tab/the-fray/you-found-me-chords-758455
"""Use Somebody""",Kings of Leon,https://tabs.ultimate-guitar.com/tab/kings-of-leon/use-somebody-chords-735326
"""Knock You Down""",Keri Hilson featuring Kanye West and Ne-Yo,not found
"""Blame It""",Jamie Foxx featuring T-Pain,https://tabs.ultimate-guitar.com/tab/jamie-foxx/blame-it-chords-1860060
"""I Know You Want Me (Calle Ocho)""",Pitbull,https://tabs.ultimate-guitar.com/tab/bonnie-raitt/i-cant-make-you-love-me-chords-39368
"""Live Your Life""",T.I. featuring Rihanna,https://tabs.ultimate-guitar.com/tab/t-i-/live-your-life-chords-734264
"""Kiss Me thru the Phone""",Soulja Boy Tell 'Em featuring Sammie,not found
"""Down""",Jay Sean featuring Lil Wayne,https://tabs.ultimate-guitar.com/tab/jay-sean/down-chords-883037
"""The Climb""",Miley Cyrus,https://tabs.ultimate-guitar.com/tab/miley-cyrus/the-climb-chords-786698
"""Best I Ever Had""",Drake,https://tabs.ultimate-guitar.com/tab/drake/best-i-ever-had-chords-837680
"""My Life Would Suck Without You""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/my-life-would-suck-without-you-chords-778794
"""Halo""",Beyoncé,not found
"""Hot n Cold""",Katy Perry,https://tabs.ultimate-guitar.com/tab/katy-perry/hot-n-cold-chords-700455
"""Second Chance""",Shinedown,https://tabs.ultimate-guitar.com/tab/shinedown/second-chance-chords-697526
"""Circus""",Britney Spears,https://tabs.ultimate-guitar.com/tab/britney-spears/circus-chords-763886
"""Day 'n' Nite""",Kid Cudi,https://tabs.ultimate-guitar.com/tab/kid-cudi/day-n-nite-chords-818045
"""Party in the U.S.A.""",Miley Cyrus,https://tabs.ultimate-guitar.com/tab/miley-cyrus/the-climb-chords-786698
"""Don't Trust Me""",3OH!3,https://tabs.ultimate-guitar.com/tab/3oh3/dont-trust-me-chords-746713
"""Run This Town""",Jay-Z featuring Rihanna and Kanye West,https://tabs.ultimate-guitar.com/tab/system-of-a-down/lonely-day-chords-275944
"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,not found
"""Fire Burning""",Sean Kingston,https://tabs.ultimate-guitar.com/tab/sean-kingston/fire-burning-chords-873519
"""Whatcha Say""",Jason Derulo,https://tabs.ultimate-guitar.com/tab/jason-derulo/whatcha-say-chords-900266
"""LoveGame""",Lady Gaga,not found
"""Waking Up in Vegas""",Katy Perry,https://tabs.ultimate-guitar.com/tab/katy-perry/waking-up-in-vegas-chords-772227
"""Birthday Sex""",Jeremih,https://tabs.ultimate-guitar.com/tab/jeremiah/birthday-sex-chords-3004001
"""Sober""",Pink,https://tabs.ultimate-guitar.com/tab/celso-pina/cumbia-sobre-el-rio-chords-1657258
"""Womanizer""",Britney Spears,https://tabs.ultimate-guitar.com/tab/britney-spears/womanizer-chords-747231
"""Whatever You Like""",T.I.,https://tabs.ultimate-guitar.com/tab/t-i-/whatever-you-like-chords-756530
"""Obsessed""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/obsessed-chords-2831950
"""Mad""",Ne-Yo,https://tabs.ultimate-guitar.com/tab/lady-gaga/how-bad-do-u-want-me-chords-5699687
"""Good Girls Go Bad""",Cobra Starship featuring Leighton Meester,https://tabs.ultimate-guitar.com/tab/tammy-wynette/your-good-girls-gonna-go-bad-chords-1092488
"""Love Lockdown""",Kanye West,https://tabs.ultimate-guitar.com/tab/kanye-west/love-lockdown-chords-737118
"""So What""",Pink,https://tabs.ultimate-guitar.com/tab/pink-floyd/what-do-you-want-from-me-chords-457765
"""Hotel Room Service""",Pitbull,not found
