Title,Artist,UG_link
"""Lose Control""",Teddy Swims,https://tabs.ultimate-guitar.com/tab/teddy-swims/lose-control-chords-4835888
"""A Bar Song (Tipsy)""",Shaboozey,https://tabs.ultimate-guitar.com/tab/shaboozey/a-bar-song-tipsy-chords-5223882
"""Beautiful Things""",Benson Boone,https://tabs.ultimate-guitar.com/tab/benson-boone/beautiful-things-chords-5110429
"""I Had Some Help""",Post Malone featuring Morgan Wallen,https://tabs.ultimate-guitar.com/tab/post-malone/i-had-some-help-chords-5263659
"""Lovin on Me""",Jack Harlow,https://tabs.ultimate-guitar.com/tab/jack-harlow/lovin-on-me-chords-5037415
"""Not Like Us""",Kendrick Lamar,https://tabs.ultimate-guitar.com/tab/kendrick-lamar/not-like-us-chords-5525658
"""Espresso""",Sabrina Carpenter,https://tabs.ultimate-guitar.com/tab/sabrina-carpenter/espresso-chords-5223687
"""Million Dollar Baby""",Tommy Richman,https://tabs.ultimate-guitar.com/tab/tommy-richman/million-dollar-baby-chords-5251461
"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,https://tabs.ultimate-guitar.com/tab/zach-bryan/i-remember-everything-chords-4928905
"""Too Sweet""",Hozier,https://tabs.ultimate-guitar.com/tab/hozier/too-sweet-chords-5193876
"""Stick Season""",Noah Kahan,https://tabs.ultimate-guitar.com/tab/noah-kahan/stick-season-chords-3505823
"""Cruel Summer""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/cruel-summer-chords-2802752
"""Greedy""",Tate McRae,https://tabs.ultimate-guitar.com/tab/tate-mcrae/greedy-chords-4954678
"""Like That""","Future, Metro Boomin and Kendrick Lamar",https://tabs.ultimate-guitar.com/tab/kendrick-lamar/not-like-us-chords-5525658
"""Birds of a Feather""",Billie Eilish,https://tabs.ultimate-guitar.com/tab/billie-eilish/birds-of-a-feather-chords-5270913
"""Please Please Please""",Sabrina Carpenter,https://tabs.ultimate-guitar.com/tab/sabrina-carpenter/please-please-please-chords-5299629
"""Agora Hills""",Doja Cat,https://tabs.ultimate-guitar.com/tab/doja-cat/agora-hills-official-5039041
"""Good Luck, Babe!""",Chappell Roan,https://tabs.ultimate-guitar.com/tab/chappell-roan/good-luck-babe-chords-5191149
"""Saturn""",SZA,https://tabs.ultimate-guitar.com/tab/sza/saturn-chords-5158222
"""Snooze""",SZA,https://tabs.ultimate-guitar.com/tab/sza/snooze-chords-4457303
"""Paint the Town Red""",Doja Cat,https://tabs.ultimate-guitar.com/tab/the-red-jumpsuit-apparatus/face-down-chords-411081
"""Fortnight""",Taylor Swift featuring Post Malone,https://tabs.ultimate-guitar.com/tab/taylor-swift/fortnight-chords-5233233
"""Fast Car""",Luke Combs,https://tabs.ultimate-guitar.com/tab/luke-combs/fast-car-chords-4699448
"""Water""",Tyla,https://tabs.ultimate-guitar.com/tab/tyla/water-chords-4969615
"""Feather""",Sabrina Carpenter,https://tabs.ultimate-guitar.com/tab/sabrina-carpenter/feather-chords-4688417
"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/we-cant-be-friends-wait-for-your-love-chords-5176227
"""Austin""",Dasha,https://tabs.ultimate-guitar.com/tab/dasha/austin-chords-5042413
"""Last Night""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/morgan-wallen/last-night-official-4628963
"""Cowgirls""",Morgan Wallen featuring Ernest,https://tabs.ultimate-guitar.com/tab/morgan-wallen/cowgirls-chords-4670201
"""Pink Skies""",Zach Bryan,https://tabs.ultimate-guitar.com/tab/zach-bryan/pink-skies-chords-5280684
"""Thinkin' Bout Me""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/morgan-wallen/thinkin-bout-me-chords-4679000
"""Texas Hold 'Em""",Beyoncé,https://tabs.ultimate-guitar.com/tab/5144119
"""Is It Over Now?""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/taylor-swift/is-it-over-now-chords-5005588
"""Miles on It""",Marshmello and Kane Brown,https://tabs.ultimate-guitar.com/tab/kane-brown/miles-on-it-chords-5252787
"""I Can Do It with a Broken Heart""",Taylor Swift,https://tabs.ultimate-guitar.com/tab/damiano-david/born-with-a-broken-heart-chords-5480295
"""Wild Ones""",Jessie Murph and Jelly Roll,https://tabs.ultimate-guitar.com/tab/jessie-murph/wild-ones-chords-5004235
"""Ain't No Love in Oklahoma""",Luke Combs,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/twisters-aint-no-love-in-oklahoma-chords-5270655
"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti,https://tabs.ultimate-guitar.com/tab/bob-dylan/knockin-on-heavens-door-chords-1961529
"""Houdini""",Eminem,https://tabs.ultimate-guitar.com/tab/eminem/houdini-chords-5290479
"""Wanna Be""",GloRilla and Megan Thee Stallion,https://tabs.ultimate-guitar.com/tab/5594298
"""Slow It Down""",Benson Boone,https://tabs.ultimate-guitar.com/tab/benson-boone/slow-it-down-chords-5193927
"""Redrum""",21 Savage,https://tabs.ultimate-guitar.com/tab/metro-boomin/creepin-chords-4567355
"""Houdini""",Dua Lipa,https://tabs.ultimate-guitar.com/tab/dua-lipa/houdini-chords-5023717
"""Yeah Glo!""",GloRilla,https://tabs.ultimate-guitar.com/tab/glorilla/yeah-glo-chords-5390196
"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,https://tabs.ultimate-guitar.com/tab/sza/scorsese-baby-daddy-chords-5579082
"""What Was I Made For?""",Billie Eilish,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/barbie-what-was-i-made-for-chords-4871180
"""End of Beginning""",Djo,https://tabs.ultimate-guitar.com/tab/djo/end-of-beginning-chords-4351838
"""Lunch""",Billie Eilish,https://tabs.ultimate-guitar.com/tab/billie-eilish/lunch-chords-5270895
"""Never Lose Me""",Flo Milli,not found
"""Lies Lies Lies""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/morgan-wallen/lies-lies-lies-chords-5171386
"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti",https://tabs.ultimate-guitar.com/tab/travis-scott/fein-chords-5595996
"""Gata Only""",FloyyMenor and Cris MJ,https://tabs.ultimate-guitar.com/tab/floyymenor/gata-only-chords-5268327
"""Hot to Go!""",Chappell Roan,https://tabs.ultimate-guitar.com/tab/chappell-roan/hot-to-go-chords-4912102
"""All I Want for Christmas Is You""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/u2/all-i-want-is-you-chords-57144
"""Get It Sexyy""",Sexyy Red,not found
"""Made for Me""",Muni Long,https://tabs.ultimate-guitar.com/tab/muni-long/made-for-me-chords-5138089
"""Vampire""",Olivia Rodrigo,https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/vampire-chords-4843571
"""Whatever She Wants""",Bryson Tiller,not found
"""Rockin' Around the Christmas Tree""",Brenda Lee,https://tabs.ultimate-guitar.com/tab/neil-young/rockin-in-the-free-world-chords-88605
"""Pretty Little Poison""",Warren Zeiders,https://tabs.ultimate-guitar.com/tab/warren-zeiders/pretty-little-poison-chords-4651757
"""First Person Shooter""",Drake featuring J. Cole,not found
"""Die with a Smile""",Lady Gaga and Bruno Mars,https://tabs.ultimate-guitar.com/tab/lady-gaga/die-with-a-smile-chords-5389398
"""I Like the Way You Kiss Me""",Artemas,https://tabs.ultimate-guitar.com/tab/sixpence-none-the-richer/kiss-me-chords-2704
