Title,Artist,UG_link
"""Levitating""",Dua Lipa,https://tabs.ultimate-guitar.com/tab/dua-lipa/levitating-chords-3041145
"""Save Your Tears""",The Weeknd and Ariana Grande,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-chords-56479
"""Blinding Lights""",The Weeknd,https://tabs.ultimate-guitar.com/tab/the-weeknd/blinding-lights-chords-2908700
"""Mood""",24kGoldn featuring Iann Dior,https://tabs.ultimate-guitar.com/tab/24kgoldn/mood-chords-3261224
"""Good 4 U""",Olivia Rodrigo,https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/good-4-u-chords-3705839
"""Kiss Me More""",Doja Cat featuring SZA,https://tabs.ultimate-guitar.com/tab/doja-cat/kiss-me-more-chords-3653072
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),https://tabs.ultimate-guitar.com/tab/bob-dylan/knockin-on-heavens-door-chords-1961529
"""Drivers License""",Olivia Rodrigo,https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/drivers-license-chords-3260747
"""Montero (Call Me by Your Name)""",Lil Nas X,https://tabs.ultimate-guitar.com/tab/lil-nas-x/montero-call-me-by-your-name-chords-3248894
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,https://tabs.ultimate-guitar.com/tab/justin-bieber/peaches-chords-3616940
"""Butter""",BTS,https://tabs.ultimate-guitar.com/tab/bts/butter-chords-3716654
"""Stay""",The Kid Laroi and Justin Bieber,https://tabs.ultimate-guitar.com/tab/the-kid-laroi/stay-chords-3421793
"""Deja Vu""",Olivia Rodrigo,https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/deja-vu-chords-3640262
"""Positions""",Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/positions-chords-3388028
"""Bad Habits""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/bad-habits-chords-3766352
"""Heat Waves""",Glass Animals,https://tabs.ultimate-guitar.com/tab/glass-animals/heat-waves-chords-3226007
"""Without You""",The Kid Laroi,https://tabs.ultimate-guitar.com/tab/the-kid-laroi/without-you-chords-3407780
"""Forever After All""",Luke Combs,https://tabs.ultimate-guitar.com/tab/luke-combs/forever-after-all-chords-3388115
"""Go Crazy""",Chris Brown and Young Thug,https://tabs.ultimate-guitar.com/tab/chris-brown/go-crazy-chords-3133595
"""Astronaut in the Ocean""",Masked Wolf,https://tabs.ultimate-guitar.com/tab/masked-wolf/astronaut-in-the-ocean-chords-3572729
"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,https://tabs.ultimate-guitar.com/tab/ariana-grande/34-35-chords-3398714
"""What You Know Bout Love""",Pop Smoke,https://tabs.ultimate-guitar.com/tab/chet-baker/you-dont-know-what-love-is-chords-2353209
"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,not found
"""Industry Baby""",Lil Nas X and Jack Harlow,https://tabs.ultimate-guitar.com/tab/lil-nas-x/old-town-road-chords-2629284
"""Therefore I Am""",Billie Eilish,https://tabs.ultimate-guitar.com/tab/billie-eilish/therefore-i-am-chords-3418661
"""Up""",Cardi B,https://tabs.ultimate-guitar.com/tab/cardi-b/up-chords-3553346
"""Fancy Like""",Walker Hayes,https://tabs.ultimate-guitar.com/tab/walker-hayes/fancy-like-chords-3745007
"""Dakiti""",Bad Bunny and Jhay Cortez,https://tabs.ultimate-guitar.com/tab/julien-bam/bunny-bars-osterhase-chords-4584968
"""Best Friend""",Saweetie featuring Doja Cat,https://tabs.ultimate-guitar.com/tab/saweetie/best-friend-chords-3505745
"""Rapstar""",Polo G,https://tabs.ultimate-guitar.com/tab/polo-g/rapstar-chords-3655607
"""Heartbreak Anniversary""",Giveon,https://tabs.ultimate-guitar.com/tab/giveon/heartbreak-anniversary-chords-3026459
"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,https://tabs.ultimate-guitar.com/tab/led-zeppelin/over-the-hills-and-far-away-chords-780068
"""Calling My Phone""",Lil Tjay and 6lack,https://tabs.ultimate-guitar.com/tab/lil-tjay/calling-my-phone-chords-3563141
"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,https://tabs.ultimate-guitar.com/tab/maroon-5/beautiful-mistakes-chords-3593675
"""Holy""",Justin Bieber featuring Chance the Rapper,https://tabs.ultimate-guitar.com/tab/justin-bieber/holy-chords-3340592
"""On Me""",Lil Baby,not found
"""You Broke Me First""",Tate McRae,https://tabs.ultimate-guitar.com/tab/tate-mcrae/you-broke-me-first-chords-3141224
"""Traitor""",Olivia Rodrigo,https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/traitor-chords-3716291
