Title,Artist,UG_link
"""We Belong Together""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/we-belong-together-chords-884422
"""Hollaback Girl""",Gwen Stefani,https://tabs.ultimate-guitar.com/tab/gwen-stefani/hollaback-girl-chords-1749921
"""Let Me Love You""",Mario,https://tabs.ultimate-guitar.com/tab/mario/let-me-love-you-chords-176961
"""Since U Been Gone""",Kelly Clarkson,not found
"""1, 2 Step""",Ciara featuring Missy Elliott,https://tabs.ultimate-guitar.com/tab/ciara/1-2-step-chords-5334867
"""Gold Digger""",Kanye West featuring Jamie Foxx,https://tabs.ultimate-guitar.com/tab/kanye-west/gold-digger-chords-1313918
"""Boulevard of Broken Dreams""",Green Day,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-137855
"""Candy Shop""",50 Cent featuring Olivia,not found
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,https://tabs.ultimate-guitar.com/tab/the-pussycat-dolls/dont-cha-chords-752359
"""Behind These Hazel Eyes""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/behind-these-hazel-eyes-chords-186608
"""Disco Inferno""",50 Cent,not found
"""You and Me""",Lifehouse,https://tabs.ultimate-guitar.com/tab/lifehouse/you-and-me-chords-162344
"""Don't Phunk with My Heart""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/dont-phunk-with-my-heart-chords-196356
"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,https://tabs.ultimate-guitar.com/tab/ciara/1-2-step-chords-5334867
"""Shake It Off""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/shake-it-off-chords-518698
"""Mr. Brightside""",The Killers,https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords-202646
"""Just a Lil Bit""",50 Cent,not found
"""Pon de Replay""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/pon-de-replay-chords-2064061
"""How We Do""",The Game featuring 50 Cent,not found
"""Beverly Hills""",Weezer,not found
"""Oh""",Ciara featuring Ludacris,https://tabs.ultimate-guitar.com/tab/ciara/oh-chords-2151791
"""Lonely No More""",Rob Thomas,https://tabs.ultimate-guitar.com/tab/rob-thomas/lonely-no-more-chords-178324
"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,https://tabs.ultimate-guitar.com/tab/snoop-dogg/drop-it-like-its-hot-chords-5680994
"""Hate It or Love It""",The Game featuring 50 Cent,https://tabs.ultimate-guitar.com/tab/the-game/hate-it-or-love-it-chords-2302307
"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,https://tabs.ultimate-guitar.com/tab/tv-girl/lovers-rock-chords-2913026
"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,not found
"""Breakaway""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/breakaway-chords-1506107
"""Switch""",Will Smith,not found
"""Let Me Hold You""",Bow Wow featuring Omarion,not found
"""Like You""",Bow Wow featuring Ciara,not found
"""Rich Girl""",Gwen Stefani featuring Eve,https://tabs.ultimate-guitar.com/tab/gwen-stefani/rich-girl-chords-2526180
"""My Humps""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/my-humps-chords-3859901
"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,not found
"""Caught Up""",Usher,https://tabs.ultimate-guitar.com/tab/usher/caught-up-chords-164775
"""Listen to Your Heart""",DHT featuring Edmee,not found
"""Scars""",Papa Roach,not found
"""Feel Good Inc.""",Gorillaz,https://tabs.ultimate-guitar.com/tab/gorillaz/feel-good-inc-chords-193084
"""Let Me Go""",3 Doors Down,https://tabs.ultimate-guitar.com/tab/elton-john/dont-let-the-sun-go-down-on-me-chords-700907
"""Holiday""",Green Day,https://tabs.ultimate-guitar.com/tab/green-day/holiday-chords-486419
"""Sugar, We're Goin Down""",Fall Out Boy,https://tabs.ultimate-guitar.com/tab/fall-out-boy/sugar-were-going-down-chords-267936
"""Grind with Me""",Pretty Ricky,not found
"""Run It!""",Chris Brown featuring Juelz Santana,not found
"""Photograph""",Nickelback,https://tabs.ultimate-guitar.com/tab/nickelback/photograph-chords-204566
"""Lonely""",Akon,https://tabs.ultimate-guitar.com/tab/akon/lonely-chords-180341
"""Collide""",Howie Day,https://tabs.ultimate-guitar.com/tab/howie-day/collide-chords-107022
"""Wake Me Up When September Ends""",Green Day,https://tabs.ultimate-guitar.com/tab/green-day/wake-me-up-when-september-ends-chords-139949
"""Slow Down""",Bobby Valentino,not found
"""Over and Over""",Nelly featuring Tim McGraw,https://tabs.ultimate-guitar.com/tab/led-zeppelin/over-the-hills-and-far-away-chords-780068
"""Some Cut""",Trillville featuring Cutty,not found
"""Get It Poppin'""",Fat Joe featuring Nelly,not found
"""Play""",David Banner,not found
"""Soul Survivor""",Young Jeezy featuring Akon,https://tabs.ultimate-guitar.com/tab/young-jeezy/soul-survivor-chords-1715839
"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,not found
"""My Boo""",Usher and Alicia Keys,not found
"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",not found
"""Karma""",Alicia Keys,https://tabs.ultimate-guitar.com/tab/alicia-keys/karma-chords-3085202
"""Speed of Sound""",Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/speed-of-sound-chords-183975
"""I Don't Want to Be""",Gavin DeGraw,https://tabs.ultimate-guitar.com/tab/gavin-degraw/i-dont-want-to-be-chords-137019
"""Mockingbird""",Eminem,https://tabs.ultimate-guitar.com/tab/eminem/mockingbird-chords-1722044
"""La Tortura""",Shakira featuring Alejandro Sanz,https://tabs.ultimate-guitar.com/tab/shakira/la-tortura-chords-184933
"""She Will Be Loved""",Maroon 5,https://tabs.ultimate-guitar.com/tab/maroon-5/she-will-be-loved-chords-202672
"""Baby I'm Back""",Baby Bash featuring Akon,https://tabs.ultimate-guitar.com/tab/the-kid-laroi/baby-im-back-chords-5435805
