Title,Artist,UG_link
"""Bad Day""",Daniel Powter,https://tabs.ultimate-guitar.com/tab/daniel-powter/bad-day-chords-180196
"""Temperature""",Sean Paul,https://tabs.ultimate-guitar.com/tab/sean-paul/temperature-chords-2374417
"""Promiscuous""",Nelly Furtado featuring Timbaland,https://tabs.ultimate-guitar.com/tab/nelly-furtado/promiscuous-chords-2901809
"""You're Beautiful""",James Blunt,https://tabs.ultimate-guitar.com/tab/james-blunt/youre-beautiful-chords-179027
"""Hips Don't Lie""",Shakira featuring Wyclef Jean,https://tabs.ultimate-guitar.com/tab/shakira/hips-dont-lie-chords-366232
"""Unwritten""",Natasha Bedingfield,https://tabs.ultimate-guitar.com/tab/natasha-bedingfield/unwritten-chords-151376
"""Crazy""",Gnarls Barkley,https://tabs.ultimate-guitar.com/tab/gnarls-barkley/crazy-chords-351079
"""Ridin'""",Chamillionaire featuring Krayzie Bone,https://tabs.ultimate-guitar.com/tab/chamillionaire/ridin-dirty-chords-613679
"""SexyBack""",Justin Timberlake featuring Timbaland,https://tabs.ultimate-guitar.com/tab/justin-timberlake/sexyback-chords-2615226
"""Check on It""",Beyoncé featuring Slim Thug and Bun B,https://tabs.ultimate-guitar.com/tab/bon-jovi/livin-on-a-prayer-chords-687555
"""Be Without You""",Mary J. Blige,https://tabs.ultimate-guitar.com/tab/charlie-burg/i-dont-wanna-be-okay-without-you-chords-2438013
"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,https://tabs.ultimate-guitar.com/tab/paul-kelly-and-the-coloured-girls/to-her-door-chords-1213187
"""Over My Head (Cable Car)""",The Fray,https://tabs.ultimate-guitar.com/tab/the-fray/over-my-head-cable-car-chords-279519
"""Me & U""",Cassie,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-57606
"""Buttons""",Pussycat Dolls featuring Snoop Dogg,https://tabs.ultimate-guitar.com/tab/the-pussycat-dolls/buttons-chords-751548
"""Run It!""",Chris Brown featuring Juelz Santana,not found
"""So Sick""",Ne-Yo,https://tabs.ultimate-guitar.com/tab/ne-yo/so-sick-chords-656979
"""It's Goin' Down""",Yung Joc featuring Nitti,not found
"""SOS""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/sos-chords-689657
"""I Write Sins Not Tragedies""",Panic! at the Disco,https://tabs.ultimate-guitar.com/tab/panic-at-the-disco/i-write-sins-not-tragedies-chords-651586
"""Move Along""",The All-American Rejects,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/all-along-the-watchtower-chords-810679
"""London Bridge""",Fergie,not found
"""Dani California""",Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/dani-california-chords-351326
"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,https://tabs.ultimate-guitar.com/tab/bon-jovi/ill-be-there-for-you-chords-330018
"""Lean wit It, Rock wit It""",Dem Franchize Boyz featuring Peanut and Charlay,https://tabs.ultimate-guitar.com/tab/lizzy-mcalpine/pushing-it-down-and-praying-chords-5433441
"""What Hurts the Most""",Rascal Flatts,https://tabs.ultimate-guitar.com/tab/rascal-flatts/bless-the-broken-road-chords-143089
"""How to Save a Life""",The Fray,https://tabs.ultimate-guitar.com/tab/the-fray/how-to-save-a-life-chords-258804
"""Unfaithful""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/unfaithful-chords-549090
"""Chasing Cars""",Snow Patrol,https://tabs.ultimate-guitar.com/tab/snow-patrol/chasing-cars-chords-355425
