No.,Title,Artist,Tempo
1,"""Bad Day""",Daniel Powter,    140  BPM 
2,"""Temperature""",Sean Paul,    125  BPM 
3,"""Promiscuous""",Nelly Furtado featuring Timbaland,    114  BPM 
4,"""You're Beautiful""",James Blunt,    82  BPM 
5,"""Hips Don't Lie""",Shakira featuring Wyclef Jean,    100  BPM 
6,"""Unwritten""",Natasha Bedingfield,    100  BPM 
7,"""Crazy""",Gnarls Barkley,    112  BPM 
8,"""Ridin'""",Chamillionaire featuring Krayzie Bone,    143  BPM 
9,"""SexyBack""",Justin Timberlake featuring Timbaland,    117  BPM 
10,"""Check on It""",Beyoncé featuring Slim Thug and Bun B,    166  BPM 
11,"""Be Without You""",Mary J. Blige,NOT FOUND
12,"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,    83  BPM 
13,"""Over My Head (Cable Car)""",The Fray,    116  BPM 
14,"""Me & U""",Cassie,    100  BPM 
15,"""Buttons""",Pussycat Dolls featuring Snoop Dogg,NOT FOUND
16,"""Run It!""",Chris Brown featuring Juelz Santana,    101  BPM 
17,"""So Sick""",Ne-Yo,    95  BPM 
18,"""It's Goin' Down""",Yung Joc featuring Nitti,    88  BPM 
19,"""SOS""",Rihanna,    137  BPM 
20,"""I Write Sins Not Tragedies""",Panic! at the Disco,    170  BPM 
21,"""Move Along""",The All-American Rejects,    110  BPM 
22,"""London Bridge""",Fergie,    91  BPM 
23,"""Dani California""",Red Hot Chili Peppers,    96  BPM 
24,"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,    82  BPM 
25,"""Lean wit It, Rock wit It""",Dem Franchize Boyz featuring Peanut and Charlay,    128  BPM 
26,"""What Hurts the Most""",Rascal Flatts,    136  BPM 
27,"""How to Save a Life""",The Fray,    122  BPM 
28,"""Unfaithful""",Rihanna,    144  BPM 
29,"""Chasing Cars""",Snow Patrol,    104  BPM 
30,"""Lips of an Angel""",Hinder,    129  BPM 
31,"""Everytime We Touch""",Cascada,    142  BPM 
32,"""Ain't No Other Man""",Christina Aguilera,    128  BPM 
33,"""Dance, Dance""",Fall Out Boy,    114  BPM 
34,"""Gold Digger""",Kanye West featuring Jamie Foxx,    92  BPM 
35,"""Money Maker""",Ludacris featuring Pharrell,    79  BPM 
36,"""Ms. New Booty""",Bubba Sparxxx featuring Ying Yang Twins,NOT FOUND
37,"""(When You Gonna) Give It Up to Me""",Sean Paul featuring Keyshia Cole,NOT FOUND
38,"""Photograph""",Nickelback,    146  BPM 
39,"""Because of You""",Kelly Clarkson,    140  BPM 
40,"""Stickwitu""",Pussycat Dolls,NOT FOUND
41,"""I'm 'n Luv (wit a Stripper)""",T-Pain featuring Mike Jones,    145  BPM 
42,"""My Humps""",The Black Eyed Peas,    124  BPM 
43,"""Where'd You Go""",Fort Minor featuring Holly Brook and Jonah Matranga,NOT FOUND
44,"""Yo (Excuse Me Miss)""",Chris Brown,    87  BPM 
45,"""Walk Away""",Kelly Clarkson,    116  BPM 
46,"""Laffy Taffy""",D4L,    78  BPM 
47,"""What You Know""",T.I.,    73  BPM 
48,"""Dirty Little Secret""",The All-American Rejects,    144  BPM 
49,"""Savin' Me""",Nickelback,    164  BPM 
50,"""Don't Forget About Us""",Mariah Carey,    144  BPM 
51,"""Sexy Love""",Ne-Yo,    94  BPM 
52,"""U and Dat""",E-40 featuring T-Pain and Kandi Girl,NOT FOUND
53,"""Far Away""",Nickelback,    133  BPM 
54,"""What's Left of Me""",Nick Lachey,    150  BPM 
55,"""So What""",Field Mob featuring Ciara,    120  BPM 
