No.,Title,Artist,Tempo
1,"""Happy""",Pharrell Williams,    160  BPM 
2,"""Dark Horse""",Katy Perry featuring Juicy J,    132  BPM 
3,"""All of Me""",John Legend,    120  BPM 
4,"""Fancy""",Iggy Azalea featuring Charli XCX,    95  BPM 
5,"""Counting Stars""",OneRepublic,    122  BPM 
6,"""Talk Dirty""",Jason Derulo featuring 2 Chainz,NOT FOUND
7,"""Rude""",Magic!,NOT FOUND
8,"""All About That Bass""",Meghan Trainor,    134  BPM 
9,"""Problem""",Ariana Grande featuring Iggy Azalea,    103  BPM 
10,"""Stay with Me""",Sam Smith,    84  BPM 
11,"""Timber""",Pitbull featuring Kesha,    130  BPM 
12,"""Pompeii""",Bastille,    127  BPM 
13,"""Shake It Off""",Taylor Swift,    160  BPM 
14,"""Am I Wrong""",Nico & Vinz,    120  BPM 
15,"""Turn Down for What""",DJ Snake and Lil Jon,    100  BPM 
16,"""The Monster""",Eminem featuring Rihanna,    110  BPM 
17,"""Say Something""",A Great Big World and Christina Aguilera,    138  BPM 
18,"""Team""",Lorde,    100  BPM 
19,"""Let Her Go""",Passenger,    75  BPM 
20,"""Royals""",Lorde,    85  BPM 
21,"""Let It Go""",Idina Menzel,NOT FOUND
22,"""Wake Me Up""",Avicii,    124  BPM 
23,"""Demons""",Imagine Dragons,    90  BPM 
24,"""Story of My Life""",One Direction,    121  BPM 
25,"""Chandelier""",Sia,    117  BPM 
26,"""Black Widow""",Iggy Azalea featuring Rita Ora,    164  BPM 
27,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",NOT FOUND
28,"""Latch""",Disclosure featuring Sam Smith,    122  BPM 
29,"""Maps""",Maroon 5,    120  BPM 
30,"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,    99  BPM 
31,"""Best Day of My Life""",American Authors,    100  BPM 
32,"""Habits (Stay High)""",Tove Lo,    110  BPM 
33,"""Summer""",Calvin Harris,    128  BPM 
34,"""Boom Clap""",Charli XCX,    92  BPM 
35,"""Drunk in Love""",Beyoncé featuring Jay-Z,    140  BPM 
36,"""Anaconda""",Nicki Minaj,    130  BPM 
