No.,Title,Artist,Tempo
1,"""Levitating""",Dua Lipa,    103  BPM 
2,"""Save Your Tears""",The Weeknd and Ariana Grande,    118  BPM 
3,"""Blinding Lights""",The Weeknd,    171  BPM 
4,"""Mood""",24kGoldn featuring Iann Dior,NOT FOUND
5,"""Good 4 U""",Olivia Rodrigo,NOT FOUND
6,"""Kiss Me More""",Doja Cat featuring SZA,NOT FOUND
7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),NOT FOUND
8,"""Drivers License""",Olivia Rodrigo,    144  BPM 
9,"""Montero (Call Me by Your Name)""",Lil Nas X,NOT FOUND
10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,NOT FOUND
11,"""Butter""",BTS,NOT FOUND
12,"""Stay""",The Kid Laroi and Justin Bieber,NOT FOUND
13,"""Deja Vu""",Olivia Rodrigo,NOT FOUND
14,"""Positions""",Ariana Grande,    144  BPM 
15,"""Bad Habits""",Ed Sheeran,NOT FOUND
16,"""Heat Waves""",Glass Animals,    81  BPM 
17,"""Without You""",The Kid Laroi,    93  BPM 
18,"""Forever After All""",Luke Combs,    152  BPM 
19,"""Go Crazy""",Chris Brown and Young Thug,    94  BPM 
20,"""Astronaut in the Ocean""",Masked Wolf,    150  BPM 
21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,NOT FOUND
22,"""What You Know Bout Love""",Pop Smoke,    84  BPM 
23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,    125  BPM 
24,"""Industry Baby""",Lil Nas X and Jack Harlow,NOT FOUND
25,"""Therefore I Am""",Billie Eilish,    94  BPM 
26,"""Up""",Cardi B,    166  BPM 
27,"""Fancy Like""",Walker Hayes,NOT FOUND
28,"""Dakiti""",Bad Bunny and Jhay Cortez,    110  BPM 
29,"""Best Friend""",Saweetie featuring Doja Cat,NOT FOUND
30,"""Rapstar""",Polo G,NOT FOUND
31,"""Heartbreak Anniversary""",Giveon,    130  BPM 
32,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,    126  BPM 
33,"""Calling My Phone""",Lil Tjay and 6lack,    105  BPM 
34,"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,NOT FOUND
35,"""Holy""",Justin Bieber featuring Chance the Rapper,    87  BPM 
36,"""On Me""",Lil Baby,    156  BPM 
