No.,Title,Artist,Tempo
1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,    129  BPM 
2,"""Call Me Maybe""",Carly Rae Jepsen,    120  BPM 
3,"""We Are Young""",Fun featuring Janelle Monáe,    184  BPM 
4,"""Payphone""",Maroon 5 featuring Wiz Khalifa,    110  BPM 
5,"""Lights""",Ellie Goulding,    120  BPM 
6,"""Glad You Came""",The Wanted,    127  BPM 
7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,    116  BPM 
8,"""We Found Love""",Rihanna featuring Calvin Harris,    128  BPM 
9,"""Starships""",Nicki Minaj,    125  BPM 
10,"""What Makes You Beautiful""",One Direction,    125  BPM 
11,"""Wild Ones""",Flo Rida featuring Sia,NOT FOUND
12,"""Set Fire to the Rain""",Adele,    108  BPM 
13,"""Sexy and I Know It""",LMFAO,    130  BPM 
14,"""Some Nights""",Fun,NOT FOUND
15,"""Wide Awake""",Katy Perry,    160  BPM 
16,"""Good Feeling""",Flo Rida,    128  BPM 
17,"""Whistle""",Flo Rida,    104  BPM 
18,"""One More Night""",Maroon 5,    93  BPM 
19,"""Drive By""",Train,    122  BPM 
20,"""The Motto""",Drake featuring Lil Wayne,    202  BPM 
21,"""Where Have You Been""",Rihanna,    128  BPM 
22,"""Everybody Talks""",Neon Trees,    155  BPM 
23,"""Take Care""",Drake featuring Rihanna,    122  BPM 
24,"""Titanium""",David Guetta featuring Sia,    116  BPM 
25,"""I Won't Give Up""",Jason Mraz,    133  BPM 
26,"""It Will Rain""",Bruno Mars,    150  BPM 
27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",NOT FOUND
28,"""Boyfriend""",Justin Bieber,    97  BPM 
29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,    130  BPM 
30,"""Too Close""",Alex Clare,    126  BPM 
31,"""Part of Me""",Katy Perry,    130  BPM 
32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,NOT FOUND
33,"""We Are Never Ever Getting Back Together""",Taylor Swift,    172  BPM 
34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,    140  BPM 
35,"""Turn Me On""",David Guetta featuring Nicki Minaj,NOT FOUND
36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,    128  BPM 
37,"""Blow Me (One Last Kiss)""",Pink,NOT FOUND
38,"""Good Time""",Owl City and Carly Rae Jepsen,    128  BPM 
39,"""Give Your Heart a Break""",Demi Lovato,    123  BPM 
40,"""Niggas in Paris""",Jay-Z and Kanye West,NOT FOUND
41,"""The One That Got Away""",Katy Perry,    134  BPM 
42,"""Feel So Close""",Calvin Harris,    128  BPM 
43,"""Someone like You""",Adele,    135  BPM 
44,"""Scream""",Usher,    128  BPM 
45,"""Rack City""",Tyga,    99  BPM 
46,"""Domino""",Jessie J,    127  BPM 
47,"""Gangnam Style""",Psy,    132  BPM 
48,"""International Love""",Pitbull featuring Chris Brown,    120  BPM 
49,"""Home""",Phillip Phillips,    121  BPM 
50,"""Without You""",David Guetta featuring Usher,NOT FOUND
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,NOT FOUND
52,"""Wanted""",Hunter Hayes,    170  BPM 
53,"""Drunk on You""",Luke Bryan,    144  BPM 
54,"""No Lie""",2 Chainz featuring Drake,    131  BPM 
55,"""Want U Back""",Cher Lloyd,    98  BPM 
56,"""Don't Wake Me Up""",Chris Brown,    128  BPM 
57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,NOT FOUND
58,"""Springsteen""",Eric Church,    106  BPM 
59,"""Brokenhearted""",Karmin,    120  BPM 
60,"""Not Over You""",Gavin DeGraw,    142  BPM 
61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,    90  BPM 
62,"""Back in Time""",Pitbull,NOT FOUND
63,"""Work Out""",J. Cole,NOT FOUND
64,"""Rumour Has It""",Adele,    120  BPM 
65,"""Let's Go""",Calvin Harris featuring Ne-Yo,    128  BPM 
66,"""Good Girl""",Carrie Underwood,    129  BPM 
67,"""Pontoon""",Little Big Town,    96  BPM 
68,"""Ho Hey""",The Lumineers,    80  BPM 
69,"""Paradise""",Coldplay,    140  BPM 
70,"""Blown Away""",Carrie Underwood,    137  BPM 
71,"""Rolling in the Deep""",Adele,    105  BPM 
72,"""Climax""",Usher,    136  BPM 
73,"""Work Hard, Play Hard""",Wiz Khalifa,    140  BPM 
74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,    125  BPM 
75,"""Pound the Alarm""",Nicki Minaj,    125  BPM 
76,"""Come Over""",Kenny Chesney,    176  BPM 
77,"""Heart Attack""",Trey Songz,    150  BPM 
78,"""Drank in My Cup""",Kirko Bangz,    133  BPM 
79,"""Birthday Cake""",Rihanna featuring Chris Brown,    80  BPM 
80,"""So Good""",B.o.B,    171  BPM 
81,"""50 Ways to Say Goodbye""",Train,NOT FOUND
82,"""Red Solo Cup""",Toby Keith,    164  BPM 
83,"""Love You Like a Love Song""",Selena Gomez & the Scene,    117  BPM 
84,"""Turn Up the Music""",Chris Brown,    130  BPM 
85,"""Die Young""",Kesha,    128  BPM 
86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,NOT FOUND
87,"""A Thousand Years""",Christina Perri,    139  BPM 
88,"""Take a Little Ride""",Jason Aldean,    164  BPM 
89,"""You da One""",Rihanna,    127  BPM 
90,"""We Run the Night""",Havana Brown featuring Pitbull,    127  BPM 
91,"""It's Time""",Imagine Dragons,    105  BPM 
92,"""Cashin' Out""",Cash Out,NOT FOUND
93,"""I Don't Want This Night to End""",Luke Bryan,    112  BPM 
94,"""Diamonds""",Rihanna,    92  BPM 
95,"""Hard to Love""",Lee Brice,    103  BPM 
96,"""Somethin' 'Bout a Truck""",Kip Moore,    176  BPM 
97,"""Adorn""",Miguel,    179  BPM 
98,"""Fly Over States""",Jason Aldean,    82  BPM 
99,"""Even If It Breaks Your Heart""",Eli Young Band,    208  BPM 
100,"""Burn It Down""",Linkin Park,    110  BPM 
