No.,Title,Artist,Tempo
1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,NOT FOUND
2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,    120  BPM 
3,"""Radioactive""",Imagine Dragons,    140  BPM 
4,"""Harlem Shake""",Baauer,    138  BPM 
5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,NOT FOUND
6,"""Mirrors""",Justin Timberlake,    77  BPM 
7,"""Just Give Me a Reason""",Pink featuring Nate Ruess,NOT FOUND
8,"""When I Was Your Man""",Bruno Mars,    73  BPM 
9,"""Cruise""",Florida Georgia Line featuring Nelly,    148  BPM 
10,"""Roar""",Katy Perry,    90  BPM 
11,"""Locked Out of Heaven""",Bruno Mars,    144  BPM 
12,"""Ho Hey""",The Lumineers,    80  BPM 
13,"""Stay""",Rihanna featuring Mikky Ekko,    112  BPM 
14,"""Get Lucky""",Daft Punk featuring Pharrell Williams,    116  BPM 
15,"""Royals""",Lorde,    85  BPM 
16,"""I Knew You Were Trouble.""",Taylor Swift,    77  BPM 
17,"""We Can't Stop""",Miley Cyrus,    80  BPM 
18,"""Wrecking Ball""",Miley Cyrus,    120  BPM 
19,"""Wake Me Up""",Avicii,    124  BPM 
20,"""Suit & Tie""",Justin Timberlake featuring Jay-Z,    102  BPM 
21,"""Cups (Pitch Perfect's *When I'm Gone*)""",Anna Kendrick,NOT FOUND
22,"""Holy Grail""",Jay-Z featuring Justin Timberlake,    145  BPM 
23,"""Scream & Shout""",will.i.am featuring Britney Spears,    130  BPM 
24,"""Clarity""",Zedd featuring Foxes,    128  BPM 
25,"""Sail""",Awolnation,    119  BPM 
26,"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,    126  BPM 
27,"""Diamonds""",Rihanna,    92  BPM 
28,"""I Love It""",Icona Pop featuring Charli XCX,    126  BPM 
29,"""Safe and Sound""",Capital Cities,    118  BPM 
30,"""Treasure""",Bruno Mars,    116  BPM 
31,"""The Way""",Ariana Grande featuring Mac Miller,    82  BPM 
32,"""Started from the Bottom""",Drake,    86  BPM 
33,"""Come & Get It""",Selena Gomez,    80  BPM 
34,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,    100  BPM 
35,"""Daylight""",Maroon 5,    120  BPM 
36,"""Feel This Moment""",Pitbull featuring Christina Aguilera,    136  BPM 
37,"""Applause""",Lady Gaga,    140  BPM 
38,"""One More Night""",Maroon 5,    93  BPM 
39,"""Love Me""",Lil Wayne featuring Drake and Future,    125  BPM 
40,"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,    152  BPM 
41,"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",NOT FOUND
42,"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj,    128  BPM 
43,"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert,NOT FOUND
44,"""Sweet Nothing""",Calvin Harris featuring Florence Welch,    128  BPM 
45,"""Summertime Sadness""",Lana Del Rey and Cédric Gervais,    112  BPM 
46,"""Home""",Phillip Phillips,    121  BPM 
47,"""It's Time""",Imagine Dragons,    105  BPM 
48,"""Power Trip""",J. Cole featuring Miguel,NOT FOUND
49,"""Girl on Fire""",Alicia Keys featuring Nicki Minaj,    93  BPM 
50,"""Heart Attack""",Demi Lovato,    174  BPM 
51,"""Love Somebody""",Maroon 5,    120  BPM 
52,"""I Will Wait""",Mumford & Sons,    131  BPM 
53,"""Try""",Pink,NOT FOUND
54,"""Wagon Wheel""",Darius Rucker,    148  BPM 
55,"""Gangnam Style""",Psy,    132  BPM 
56,"""I Need Your Love""",Calvin Harris featuring Ellie Goulding,    125  BPM 
57,"""Die Young""",Kesha,    128  BPM 
58,"""Some Nights""",Fun,NOT FOUND
59,"""Bad""",Wale featuring Tiara Thomas or Rihanna,NOT FOUND
60,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,NOT FOUND
61,"""Gone, Gone, Gone""",Phillip Phillips,    118  BPM 
62,"""Demons""",Imagine Dragons,    90  BPM 
63,"""Counting Stars""",OneRepublic,    122  BPM 
64,"""I Cry""",Flo Rida,    126  BPM 
65,"""Little Talks""",Of Monsters and Men,NOT FOUND
66,"""The Other Side""",Jason Derulo,    128  BPM 
67,"""Berzerk""",Eminem,    95  BPM 
68,"""Catch My Breath""",Kelly Clarkson,    124  BPM 
69,"""Crash My Party""",Luke Bryan,    144  BPM 
70,"""Pour It Up""",Rihanna,    134  BPM 
71,"""22""",Taylor Swift,NOT FOUND
72,"""I Want Crazy""",Hunter Hayes,NOT FOUND
73,"""The Fox (What Does the Fox Say?)""",Ylvis,    128  BPM 
74,"""Best Song Ever""",One Direction,    118  BPM 
75,"""The A Team""",Ed Sheeran,    85  BPM 
