No.,Title,Artist,Tempo
1,"""Heat Waves""",Glass Animals,NOT FOUND
2,"""As It Was""",Harry Styles,NOT FOUND
3,"""Stay""",The Kid Laroi and Justin Bieber,NOT FOUND
4,"""Easy on Me""",Adele,NOT FOUND
5,"""Shivers""",Ed Sheeran,NOT FOUND
6,"""First Class""",Jack Harlow,NOT FOUND
7,"""Big Energy""",Latto,NOT FOUND
8,"""Ghost""",Justin Bieber,NOT FOUND
9,"""Super Gremlin""",Kodak Black,NOT FOUND
10,"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,NOT FOUND
11,"""Wait for U""",Future featuring Drake and Tems,NOT FOUND
12,"""About Damn Time""",Lizzo,NOT FOUND
13,"""Bad Habits""",Ed Sheeran,NOT FOUND
14,"""Thats What I Want""",Lil Nas X,NOT FOUND
15,"""Enemy""",Imagine Dragons and JID,NOT FOUND
16,"""Industry Baby""",Lil Nas X and Jack Harlow,NOT FOUND
17,"""ABCDEFU""",Gayle,NOT FOUND
18,"""Need to Know""",Doja Cat,NOT FOUND
19,"""Wasted on You""",Morgan Wallen,NOT FOUND
20,"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,NOT FOUND
21,"""Woman""",Doja Cat,NOT FOUND
22,"""Tití Me Preguntó""",Bad Bunny,NOT FOUND
23,"""Running Up That Hill (A Deal with God)""",Kate Bush,NOT FOUND
24,"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie 
Beatriz and the *Encanto* cast",NOT FOUND
25,"""Late Night Talking""",Harry Styles,NOT FOUND
26,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,NOT FOUND
27,"""You Proof""",Morgan Wallen,NOT FOUND
28,"""Bad Habit""",Steve Lacy,NOT FOUND
29,"""Sunroof""",Nicky Youre and Dazy,NOT FOUND
30,"""One Right Now""",Post Malone and the Weeknd,NOT FOUND
31,"""Good 4 U""",Olivia Rodrigo,NOT FOUND
32,"""Numb Little Bug""",Em Beihold,NOT FOUND
33,"""Jimmy Cooks""",Drake featuring 21 Savage,NOT FOUND
34,"""'Til You Can't""",Cody Johnson,NOT FOUND
35,"""Fancy Like""",Walker Hayes,NOT FOUND
36,"""The Kind of Love We Make""",Luke Combs,NOT FOUND
37,"""I Ain't Worried""",OneRepublic,NOT FOUND
38,"""Break My Soul""",Beyoncé,NOT FOUND
39,"""Something in the Orange""",Zach Bryan,NOT FOUND
40,"""Save Your Tears""",The Weeknd and Ariana Grande,NOT FOUND
41,"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak),NOT FOUND
42,"""Levitating""",Dua Lipa,NOT FOUND
43,"""In a Minute""",Lil Baby,NOT FOUND
44,"""Moscow Mule""",Bad Bunny,NOT FOUND
45,"""You Right""",Doja Cat and the Weeknd,NOT FOUND
46,"""She Had Me at Heads Carolina""",Cole Swindell,NOT FOUND
47,"""Vegas""",Doja Cat,NOT FOUND
48,"""Pushin P""",Gunna and Future featuring Young Thug,NOT FOUND
49,"""Buy Dirt""",Jordan Davis and Luke Bryan,NOT FOUND
50,"""I Hate U""",SZA,NOT FOUND
51,"""Boyfriend""",Dove Cameron,NOT FOUND
52,"""Glimpse of Us""",Joji,NOT FOUND
53,"""Surface Pressure""",Jessica Darrow,NOT FOUND
54,"""Fall in Love""",Bailey Zimmerman,NOT FOUND
55,"""Love Nwantiti (Ah Ah Ah)""",CKay,NOT FOUND
56,"""Super Freaky Girl""",Nicki Minaj,NOT FOUND
57,"""Hrs and Hrs""",Muni Long,NOT FOUND
58,"""Sand in My Boots""",Morgan Wallen,NOT FOUND
59,"""Mamiii""",Becky G and Karol G,NOT FOUND
60,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,NOT FOUND
61,"""AA""",Walker Hayes,NOT FOUND
62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,NOT FOUND
63,"""Provenza""",Karol G,NOT FOUND
64,"""Essence""",Wizkid featuring Justin Bieber and Tems,NOT FOUND
65,"""All I Want for Christmas Is You""",Mariah Carey,NOT FOUND
66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran,NOT FOUND
67,"""5 Foot 9""",Tyler Hubbard,NOT FOUND
68,"""Get Into It (Yuh)""",Doja Cat,NOT FOUND
69,"""Efecto""",Bad Bunny,NOT FOUND
70,"""Rock and a Hard Place""",Bailey Zimmerman,NOT FOUND
71,"""Doin' This""",Luke Combs,NOT FOUND
72,"""Oh My God""",Adele,NOT FOUND
73,"""Better Days""","Neiked, Mae Muller and Polo G",NOT FOUND
74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,NOT FOUND
75,"""Fingers Crossed""",Lauren Spencer-Smith,NOT FOUND
76,"""All Too Well (Taylor's Version)""",Taylor Swift,NOT FOUND
77,"""Party""",Bad Bunny and Rauw Alejandro,NOT FOUND
78,"""Después de la Playa""",Bad Bunny,NOT FOUND
79,"""You Should Probably Leave""",Chris Stapleton,NOT FOUND
80,"""Rockin' Around the Christmas Tree""",Brenda Lee,NOT FOUND
81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen,NOT FOUND
82,"""Take My Name""",Parmalee,NOT FOUND
83,"""What Happened to Virgil""",Lil Durk featuring Gunna,NOT FOUND
84,"""Puffin on Zootiez""",Future,NOT FOUND
