No.,Title,Artist,Tempo
45,"""Highest in the Room""",Travis Scott,    76  BPM 
46,"""Bad Guy""",Billie Eilish,    135  BPM 
47,"""Mood""",24kGoldn featuring Iann Dior,NOT FOUND
48,"""Rain on Me""",Lady Gaga and Ariana Grande,NOT FOUND
49,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,    126  BPM 
50,"""Ritmo (Bad Boys for Life)""",Black Eyed Peas and J Balvin,    105  BPM 
51,"""Heart on Ice""",Rod Wave,    158  BPM 
52,"""Nobody but You""",Blake Shelton and Gwen Stefani,NOT FOUND
53,"""Trampoline""",Shaed,    127  BPM 
54,"""Come & Go""",Juice Wrld and Marshmello,    145  BPM 
55,"""Truth Hurts""",Lizzo,    158  BPM 
56,"""If the World Was Ending""",JP Saxe featuring Julia Michaels,NOT FOUND
57,"""We Paid""",Lil Baby and 42 Dugg,    135  BPM 
58,"""Yummy""",Justin Bieber,    146  BPM 
59,"""One Man Band""",Old Dominion,    76  BPM 
60,"""Got What I Got""",Jason Aldean,    160  BPM 
61,"""Sunday Best""",Surfaces,    112  BPM 
62,"""Godzilla""",Eminem featuring Juice Wrld,    166  BPM 
63,"""Bandit""",Juice Wrld and YoungBoy Never Broke Again,    180  BPM 
64,"""Party Girl""",StaySolidRocky,    130  BPM 
65,"""Die from a Broken Heart""",Maddie & Tae,    76  BPM 
66,"""Popstar""",DJ Khaled featuring Drake,NOT FOUND
67,"""All I Want for Christmas Is You""",Mariah Carey,    150  BPM 
68,"""One of Them Girls""",Lee Brice,    96  BPM 
69,"""Hard to Forget""",Sam Hunt,    130  BPM 
70,"""One Margarita""",Luke Bryan,    90  BPM 
71,"""Panini""",Lil Nas X,    154  BPM 
72,"""Hot""",Young Thug featuring Gunna,    112  BPM 
73,"""I Hope You're Happy Now""",Carly Pearce and Lee Brice,    118  BPM 
74,"""Emotionally Scarred""",Lil Baby,    88  BPM 
75,"""Suicidal""",YNW Melly featuring Juice Wrld,    140  BPM 
76,"""The Bigger Picture""",Lil Baby,    96  BPM 
77,"""Only Human""",Jonas Brothers,    94  BPM 
78,"""The Woo""",Pop Smoke featuring 50 Cent and Roddy Ricch,NOT FOUND
79,"""Sum 2 Prove""",Lil Baby,NOT FOUND
80,"""Stuck with U""",Ariana Grande and Justin Bieber,    179  BPM 
81,"""Mood Swings""",Pop Smoke featuring Lil Tjay,    180  BPM 
82,"""You Should Be Sad""",Halsey,    111  BPM 
83,"""Dior""",Pop Smoke,    142  BPM 
84,"""Supalonely""",Benee featuring Gus Dapperton,    129  BPM 
85,"""Even Though I'm Leaving""",Luke Combs,    78  BPM 
86,"""The Scotts""",The Scotts (Travis Scott and Kid Cudi),NOT FOUND
87,"""Juicy""",Doja Cat and Tyga,    170  BPM 
88,"""Be Like That""","Kane Brown, Swae Lee and Khalid",NOT FOUND
89,"""Homesick""",Kane Brown,    97  BPM 
90,"""Rags2Riches""",Rod Wave featuring ATR Son Son,NOT FOUND
91,"""Bluebird""",Miranda Lambert,    82  BPM 
92,"""Wishing Well""",Juice Wrld,    150  BPM 
93,"""Does to Me""",Luke Combs featuring Eric Church,    113  BPM 
94,"""Pussy Fairy (OTW)""",Jhené Aiko,NOT FOUND
95,"""ILY (I Love You Baby)""",Surf Mesa featuring Emilee,    112  BPM 
96,"""More Than My Hometown""",Morgan Wallen,    126  BPM 
97,"""Lovin' on You""",Luke Combs,    119  BPM 
98,"""Said Sum""",Moneybagg Yo,    127  BPM 
99,"""Slide""",H.E.R. featuring YG,    97  BPM 
100,"""Walk Em Down""",NLE Choppa featuring Roddy Ricch,NOT FOUND
