No.,Title,Artist,Tempo
1,"""Blinding Lights""",The Weeknd,    171  BPM 
2,"""Circles""",Post Malone,    120  BPM 
3,"""The Box""",Roddy Ricch,    117  BPM 
4,"""Don't Start Now""",Dua Lipa,    124  BPM 
5,"""Rockstar""",DaBaby featuring Roddy Ricch,    160  BPM 
6,"""Adore You""",Harry Styles,    99  BPM 
7,"""Life Is Good""",Future featuring Drake,NOT FOUND
8,"""Memories""",Maroon 5,    91  BPM 
9,"""The Bones""",Maren Morris,    77  BPM 
10,"""Someone You Loved""",Lewis Capaldi,    110  BPM 
11,"""Say So""",Doja Cat,    111  BPM 
12,"""I Hope""",Gabby Barrett featuring Charlie Puth,    75  BPM 
13,"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",    145  BPM 
14,"""Dance Monkey""",Tones and I,NOT FOUND
15,"""Savage""",Megan Thee Stallion featuring Beyoncé,    169  BPM 
16,"""Roxanne""",Arizona Zervas,    117  BPM 
17,"""Intentions""",Justin Bieber featuring Quavo,    148  BPM 
18,"""Everything I Wanted""",Billie Eilish,    120  BPM 
19,"""Roses (Imanbek remix)""",Saint Jhn,NOT FOUND
20,"""Watermelon Sugar""",Harry Styles,    95  BPM 
21,"""Before You Go""",Lewis Capaldi,    112  BPM 
22,"""Falling""",Trevor Daniel,    127  BPM 
23,"""10,000 Hours""",Dan + Shay and Justin Bieber,NOT FOUND
24,"""WAP""",Cardi B featuring Megan Thee Stallion,NOT FOUND
25,"""Ballin'""",Mustard and Roddy Ricch,    97  BPM 
26,"""Hot Girl Bummer""",Blackbear,    130  BPM 
27,"""Blueberry Faygo""",Lil Mosey,    99  BPM 
28,"""Heartless""",The Weeknd,    85  BPM 
29,"""Bop""",DaBaby,    127  BPM 
30,"""Lose You to Love Me""",Selena Gomez,    102  BPM 
31,"""Good as Hell""",Lizzo,    96  BPM 
32,"""Toosie Slide""",Drake,    82  BPM 
33,"""Break My Heart""",Dua Lipa,    113  BPM 
34,"""Chasin' You""",Morgan Wallen,    97  BPM 
35,"""Savage Love (Laxed – Siren Beat)""",Jawsh 685 and Jason Derulo,NOT FOUND
36,"""No Guidance""",Chris Brown featuring Drake,NOT FOUND
37,"""My Oh My""",Camila Cabello featuring DaBaby,    105  BPM 
38,"""Dynamite""",BTS,    114  BPM 
39,"""Go Crazy""",Chris Brown and Young Thug,    94  BPM 
40,"""High Fashion""",Roddy Ricch featuring Mustard,NOT FOUND
41,"""Laugh Now Cry Later""",Drake featuring Lil Durk,NOT FOUND
42,"""Woah""",Lil Baby,    143  BPM 
43,"""Death Bed""",Powfu featuring Beabadoobee,    144  BPM 
44,"""Señorita""",Shawn Mendes and Camila Cabello,NOT FOUND
