No.,Title,Artist,Tempo
1,"""We Belong Together""",Mariah Carey,    140  BPM 
2,"""Hollaback Girl""",Gwen Stefani,    110  BPM 
3,"""Let Me Love You""",Mario,    94  BPM 
4,"""Since U Been Gone""",Kelly Clarkson,    131  BPM 
5,"""1, 2 Step""",Ciara featuring Missy Elliott,    113  BPM 
6,"""Gold Digger""",Kanye West featuring Jamie Foxx,    92  BPM 
7,"""Boulevard of Broken Dreams""",Green Day,    167  BPM 
8,"""Candy Shop""",50 Cent featuring Olivia,    125  BPM 
9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,    120  BPM 
10,"""Behind These Hazel Eyes""",Kelly Clarkson,    90  BPM 
11,"""Disco Inferno""",50 Cent,    97  BPM 
12,"""You and Me""",Lifehouse,    140  BPM 
13,"""Don't Phunk with My Heart""",The Black Eyed Peas,    131  BPM 
14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,    100  BPM 
15,"""Shake It Off""",Mariah Carey,    134  BPM 
16,"""Mr. Brightside""",The Killers,    148  BPM 
17,"""Just a Lil Bit""",50 Cent,    189  BPM 
18,"""Pon de Replay""",Rihanna,    99  BPM 
19,"""How We Do""",The Game featuring 50 Cent,    98  BPM 
20,"""Beverly Hills""",Weezer,    176  BPM 
21,"""Oh""",Ciara featuring Ludacris,    128  BPM 
22,"""Lonely No More""",Rob Thomas,    86  BPM 
23,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,    92  BPM 
24,"""Hate It or Love It""",The Game featuring 50 Cent,    100  BPM 
25,"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,    100  BPM 
26,"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,    100  BPM 
27,"""Breakaway""",Kelly Clarkson,    160  BPM 
28,"""Switch""",Will Smith,    103  BPM 
29,"""Let Me Hold You""",Bow Wow featuring Omarion,    152  BPM 
30,"""Like You""",Bow Wow featuring Ciara,    82  BPM 
31,"""Rich Girl""",Gwen Stefani featuring Eve,    98  BPM 
32,"""My Humps""",The Black Eyed Peas,    124  BPM 
33,"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,    100  BPM 
34,"""Caught Up""",Usher,    110  BPM 
35,"""Listen to Your Heart""",DHT featuring Edmee,    100  BPM 
36,"""Scars""",Papa Roach,    89  BPM 
37,"""Feel Good Inc.""",Gorillaz,    139  BPM 
38,"""Let Me Go""",3 Doors Down,    92  BPM 
39,"""Holiday""",Green Day,    147  BPM 
40,"""Sugar, We're Goin Down""",Fall Out Boy,    162  BPM 
41,"""Grind with Me""",Pretty Ricky,    137  BPM 
42,"""Run It!""",Chris Brown featuring Juelz Santana,    101  BPM 
43,"""Photograph""",Nickelback,    146  BPM 
44,"""Lonely""",Akon,    90  BPM 
45,"""Collide""",Howie Day,    94  BPM 
46,"""Wake Me Up When September Ends""",Green Day,    105  BPM 
47,"""Slow Down""",Bobby Valentino,    100  BPM 
48,"""Over and Over""",Nelly featuring Tim McGraw,    170  BPM 
49,"""Some Cut""",Trillville featuring Cutty,    85  BPM 
50,"""Get It Poppin'""",Fat Joe featuring Nelly,    100  BPM 
51,"""Play""",David Banner,    95  BPM 
52,"""Soul Survivor""",Young Jeezy featuring Akon,    100  BPM 
53,"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,    92  BPM 
54,"""My Boo""",Usher and Alicia Keys,    86  BPM 
55,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",    120  BPM 
56,"""Karma""",Alicia Keys,    85  BPM 
57,"""Speed of Sound""",Coldplay,    123  BPM 
58,"""I Don't Want to Be""",Gavin DeGraw,    155  BPM 
59,"""Mockingbird""",Eminem,    83  BPM 
60,"""La Tortura""",Shakira featuring Alejandro Sanz,    100  BPM 
61,"""She Will Be Loved""",Maroon 5,    102  BPM 
62,"""Baby I'm Back""",Baby Bash featuring Akon,    100  BPM 
63,"""Wait (The Whisper Song)""",Ying Yang Twins,    102  BPM 
64,"""Incomplete""",Backstreet Boys,    134  BPM 
65,"""Bring Em Out""",T.I.,    99  BPM 
66,"""Cater 2 U""",Destiny's Child,    100  BPM 
67,"""1 Thing""",Amerie,    100  BPM 
68,"""Best of You""",Foo Fighters,    130  BPM 
69,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,    96  BPM 
70,"""Goin' Crazy""",Natalie,    106  BPM 
71,"""Inside Your Heaven""",Carrie Underwood,    135  BPM 
72,"""Because of You""",Kelly Clarkson,    140  BPM 
73,"""Truth Is""",Fantasia,    73  BPM 
74,"""Your Body""",Pretty Ricky,    90  BPM 
75,"""Beautiful Soul""",Jesse McCartney,    90  BPM 
76,"""Cool""",Gwen Stefani,    112  BPM 
77,"""Get Back""",Ludacris,    172  BPM 
78,"""Outta Control""",50 Cent featuring Mobb Deep,    96  BPM 
79,"""U Don't Know Me""",T.I.,    100  BPM 
80,"""These Words""",Natasha Bedingfield,    97  BPM 
81,"""Don't Lie""",The Black Eyed Peas,    100  BPM 
82,"""Get Right""",Jennifer Lopez,    97  BPM 
83,"""Daughters""",John Mayer,    125  BPM 
84,"""As Good as I Once Was""",Toby Keith,    119  BPM 
85,"""Girlfight""",Brooke Valentine featuring Lil Jon and Big Boi,    100  BPM 
86,"""Lose My Breath""",Destiny's Child,    119  BPM 
87,"""Ordinary People""",John Legend,    134  BPM 
88,"""We Be Burnin'""",Sean Paul,    120  BPM 
89,"""Just the Girl""",The Click Five,    111  BPM 
90,"""True""",Ryan Cabrera,    97  BPM 
91,"""O""",Omarion,    120  BPM 
92,"""Back Then""",Mike Jones,    160  BPM 
93,"""Numb/Encore""",Jay-Z and Linkin Park,    100  BPM 
94,"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,    93  BPM 
95,"""I'm Sprung""",T-Pain,    99  BPM 
96,"""Chariot""",Gavin DeGraw,    167  BPM 
97,"""U Already Know""",112 featuring Foxy Brown,    87  BPM 
98,"""Mississippi Girl""",Faith Hill,    84  BPM 
99,"""Number One Spot""",Ludacris,    147  BPM 
100,"""Give Me That""",Webbie featuring Bun B,    78  BPM 
