No.,Title,Artist,Tempo
1,"""Last Night""",Morgan Wallen,NOT FOUND
2,"""Flowers""",Miley Cyrus,NOT FOUND
3,"""Kill Bill""",SZA,NOT FOUND
4,"""Anti-Hero""",Taylor Swift,NOT FOUND
5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",NOT FOUND
6,"""Calm Down""",Rema and Selena Gomez,NOT FOUND
7,"""Die for You""",The Weeknd and Ariana Grande,    134  BPM 
8,"""Fast Car""",Luke Combs,NOT FOUND
9,"""Snooze""",SZA,NOT FOUND
10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha,NOT FOUND
11,"""Unholy""",Sam Smith and Kim Petras,NOT FOUND
12,"""You Proof""",Morgan Wallen,NOT FOUND
13,"""Something in the Orange""",Zach Bryan,NOT FOUND
14,"""Rich Flex""",Drake and 21 Savage,NOT FOUND
15,"""As It Was""",Harry Styles,NOT FOUND
16,"""Rock and a Hard Place""",Bailey Zimmerman,NOT FOUND
17,"""Under the Influence""",Chris Brown,    117  BPM 
18,"""Cruel Summer""",Taylor Swift,    170  BPM 
19,"""Thinkin' Bout Me""",Morgan Wallen,NOT FOUND
20,"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,NOT FOUND
21,"""Favorite Song""",Toosii,NOT FOUND
22,"""Thought You Should Know""",Morgan Wallen,NOT FOUND
23,"""Thank God""",Kane Brown and Katelyn Brown,NOT FOUND
24,"""Sure Thing""",Miguel,    81  BPM 
25,"""All My Life""",Lil Durk featuring J. Cole,NOT FOUND
26,"""Ella Baila Sola""",Eslabon Armado and Peso Pluma,NOT FOUND
27,"""Karma""",Taylor Swift featuring Ice Spice,NOT FOUND
28,"""Just Wanna Rock""",Lil Uzi Vert,NOT FOUND
29,"""Cuff It""",Beyoncé,NOT FOUND
30,"""Vampire""",Olivia Rodrigo,NOT FOUND
31,"""FukUMean""",Gunna,NOT FOUND
32,"""Lavender Haze""",Taylor Swift,NOT FOUND
33,"""Players""",Coi Leray,NOT FOUND
34,"""Need a Favor""",Jelly Roll,NOT FOUND
35,"""Dance the Night""",Dua Lipa,NOT FOUND
36,"""Love You Anyway""",Luke Combs,NOT FOUND
37,"""One Thing at a Time""",Morgan Wallen,NOT FOUND
38,"""Superhero (Heroes & Villains)""","Metro Boomin, Future and Chris Brown",NOT FOUND
39,"""Bad Habit""",Steve Lacy,NOT FOUND
40,"""La Bebé""",Yng Lvcas and Peso Pluma,NOT FOUND
41,"""Golden Hour""",Jvke,NOT FOUND
42,"""Religiously""",Bailey Zimmerman,NOT FOUND
43,"""Spin Bout U""",Drake and 21 Savage,NOT FOUND
44,"""Cupid""",Fifty Fifty,NOT FOUND
45,"""Search & Rescue""",Drake,NOT FOUND
46,"""Barbie World""",Nicki Minaj and Ice Spice with Aqua,NOT FOUND
47,"""Next Thing You Know""",Jordan Davis,NOT FOUND
48,"""Escapism""",Raye featuring 070 Shake,NOT FOUND
49,"""Un x100to""",Grupo Frontera and Bad Bunny,NOT FOUND
50,"""Until I Found You""",Stephen Sanchez,NOT FOUND
51,"""Shirt""",SZA,NOT FOUND
52,"""Paint the Town Red""",Doja Cat,NOT FOUND
53,"""Made You Look""",Meghan Trainor,NOT FOUND
54,"""Wait in the Truck""",Hardy featuring Lainey Wilson,NOT FOUND
55,"""All I Want for Christmas Is You""",Mariah Carey,    150  BPM 
56,"""Everything I Love""",Morgan Wallen,NOT FOUND
57,"""Chemical""",Post Malone,NOT FOUND
58,"""Heart Like a Truck""",Lainey Wilson,NOT FOUND
59,"""Going, Going, Gone""",Luke Combs,NOT FOUND
60,"""Rockin' Around the Christmas Tree""",Brenda Lee,    71  BPM 
61,"""Dancin' in the Country""",Tyler Hubbard,NOT FOUND
62,"""Daylight""",David Kushner,NOT FOUND
63,"""Lift Me Up""",Rihanna,NOT FOUND
64,"""Eyes Closed""",Ed Sheeran,NOT FOUND
65,"""TQG""",Karol G and Shakira,NOT FOUND
66,"""Try That in a Small Town""",Jason Aldean,NOT FOUND
67,"""Tennessee Orange""",Megan Moroney,NOT FOUND
68,"""Jingle Bell Rock""",Bobby Helms,    119  BPM 
69,"""Princess Diana""",Ice Spice and Nicki Minaj,NOT FOUND
70,"""Tomorrow 2""",GloRilla and Cardi B,NOT FOUND
71,"""A Holly Jolly Christmas""",Burl Ives,    94  BPM 
72,"""Where She Goes""",Bad Bunny,NOT FOUND
73,"""Bebe Dame""",Fuerza Regida and Grupo Frontera,NOT FOUND
74,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,NOT FOUND
