No.,Title,Artist,Tempo
1,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,    136  BPM 
2,"""Sunflower""",Post Malone and Swae Lee,NOT FOUND
3,"""Without Me""",Halsey,    136  BPM 
4,"""Bad Guy""",Billie Eilish,    135  BPM 
5,"""Wow""",Post Malone,    100  BPM 
6,"""Happier""",Marshmello and Bastille,    100  BPM 
7,"""7 Rings""",Ariana Grande,NOT FOUND
8,"""Talk""",Khalid,    136  BPM 
9,"""Sicko Mode""",Travis Scott,    155  BPM 
10,"""Sucker""",Jonas Brothers,    138  BPM 
11,"""High Hopes""",Panic! at the Disco,    82  BPM 
12,"""Thank U, Next""",Ariana Grande,    107  BPM 
13,"""Truth Hurts""",Lizzo,    158  BPM 
14,"""Dancing with a Stranger""",Sam Smith and Normani,    103  BPM 
15,"""Señorita""",Shawn Mendes and Camila Cabello,NOT FOUND
16,"""I Don't Care""",Ed Sheeran and Justin Bieber,NOT FOUND
17,"""Eastside""","Benny Blanco, Halsey and Khalid",NOT FOUND
18,"""Going Bad""",Meek Mill featuring Drake,NOT FOUND
19,"""Shallow""",Lady Gaga and Bradley Cooper,    96  BPM 
20,"""Better""",Khalid,    98  BPM 
21,"""No Guidance""",Chris Brown featuring Drake,NOT FOUND
22,"""Girls Like You""",Maroon 5 featuring Cardi B,    60  BPM 
23,"""Sweet but Psycho""",Ava Max,    133  BPM 
24,"""Suge""",DaBaby,    75  BPM 
25,"""Middle Child""",J. Cole,NOT FOUND
26,"""Drip Too Hard""",Lil Baby and Gunna,    113  BPM 
27,"""Someone You Loved""",Lewis Capaldi,    110  BPM 
28,"""Ransom""",Lil Tecca,    180  BPM 
29,"""If I Can't Have You""",Shawn Mendes,    124  BPM 
30,"""Goodbyes""",Post Malone featuring Young Thug,    150  BPM 
31,"""Zeze""",Kodak Black featuring Travis Scott and Offset,NOT FOUND
32,"""Better Now""",Post Malone,    145  BPM 
33,"""Youngblood""",5 Seconds of Summer,    120  BPM 
34,"""Money in the Grave""",Drake featuring Rick Ross,NOT FOUND
35,"""Speechless""",Dan + Shay,    136  BPM 
36,"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,    170  BPM 
37,"""Please Me""",Cardi B and Bruno Mars,    134  BPM 
38,"""Money""",Cardi B,    130  BPM 
39,"""You Need to Calm Down""",Taylor Swift,    85  BPM 
40,"""Panini""",Lil Nas X,    154  BPM 
41,"""Look Back at It""",A Boogie wit da Hoodie,    96  BPM 
42,"""A Lot""",21 Savage,    146  BPM 
43,"""Me!""",Taylor Swift featuring Brendon Urie,NOT FOUND
44,"""Mia""",Bad Bunny featuring Drake,    97  BPM 
45,"""Pop Out""",Polo G featuring Lil Tjay,    84  BPM 
46,"""Beautiful Crazy""",Luke Combs,    103  BPM 
47,"""Thotiana""",Blueface,    104  BPM 
48,"""Lucid Dreams""",Juice Wrld,    84  BPM 
49,"""Mo Bamba""",Sheck Wes,    146  BPM 
50,"""Beautiful People""",Ed Sheeran featuring Khalid,NOT FOUND
51,"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",NOT FOUND
52,"""Whiskey Glasses""",Morgan Wallen,    150  BPM 
53,"""God's Country""",Blake Shelton,    140  BPM 
54,"""Be Alright""",Dean Lewis,    126  BPM 
55,"""Pure Water""",Mustard and Migos,NOT FOUND
56,"""The Git Up""",Blanco Brown,    98  BPM 
57,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",NOT FOUND
58,"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,    144  BPM 
59,"""Envy Me""",Calboy,    149  BPM 
60,"""You Say""",Lauren Daigle,    148  BPM 
61,"""Hey Look Ma, I Made It""",Panic! at the Disco,    108  BPM 
62,"""Circles""",Post Malone,    120  BPM 
63,"""Beer Never Broke My Heart""",Luke Combs,    77  BPM 
64,"""The London""","Young Thug, J. Cole and Travis Scott",NOT FOUND
65,"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,    94  BPM 
66,"""Murder on My Mind""",YNW Melly,    115  BPM 
67,"""When the Party's Over""",Billie Eilish,    124  BPM 
68,"""Act Up""",City Girls,    97  BPM 
69,"""I Like It""","Cardi B, Bad Bunny and J Balvin",NOT FOUND
70,"""Trampoline""",Shaed,    127  BPM 
71,"""Leave Me Alone""",Flipp Dinero,    150  BPM 
72,"""Breathin""",Ariana Grande,    100  BPM 
73,"""Bury a Friend""",Billie Eilish,    120  BPM 
74,"""Close Friends""",Lil Baby,    159  BPM 
75,"""Baby Shark""",Pinkfong,    115  BPM 
76,"""My Type""",Saweetie,    105  BPM 
77,"""Worth It""",YK Osiris,    124  BPM 
78,"""Only Human""",Jonas Brothers,    94  BPM 
79,"""Knockin' Boots""",Luke Bryan,    132  BPM 
80,"""Trip""",Ella Mai,    81  BPM 
81,"""Rumor""",Lee Brice,    141  BPM 
82,"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine,NOT FOUND
83,"""How Do You Sleep?""",Sam Smith,    166  BPM 
84,"""Baby""",Lil Baby and DaBaby,NOT FOUND
85,"""Look What God Gave Her""",Thomas Rhett,    113  BPM 
86,"""Good as You""",Kane Brown,    154  BPM 
87,"""Clout""",Offset featuring Cardi B,    140  BPM 
88,"""Love Lies""",Khalid and Normani,    144  BPM 
89,"""One Thing Right""",Marshmello and Kane Brown,    88  BPM 
90,"""Cash Shit""",Megan Thee Stallion featuring DaBaby,NOT FOUND
91,"""Tequila""",Dan + Shay,    86  BPM 
92,"""Shotta Flow""",NLE Choppa,    120  BPM 
93,"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,NOT FOUND
