No.,Title,Artist,Tempo
1,"""Low""",Flo Rida featuring T-Pain,    128  BPM 
2,"""Bleeding Love""",Leona Lewis,    104  BPM 
3,"""No One""",Alicia Keys,    90  BPM 
4,"""Lollipop""",Lil Wayne featuring Static Major,    148  BPM 
5,"""Apologize""",Timbaland featuring OneRepublic,    118  BPM 
6,"""No Air""",Jordin Sparks and Chris Brown,    160  BPM 
7,"""Love Song""",Sara Bareilles,    123  BPM 
8,"""Love in This Club""",Usher featuring Young Jeezy,    140  BPM 
9,"""With You""",Chris Brown,    86  BPM 
10,"""Forever""",Chris Brown,    120  BPM 
11,"""Sexy Can I""",Ray J featuring Yung Berg,    91  BPM 
12,"""Take a Bow""",Rihanna,    80  BPM 
13,"""Viva la Vida""",Coldplay,    138  BPM 
14,"""I Kissed a Girl""",Katy Perry,    130  BPM 
15,"""Whatever You Like""",T.I.,NOT FOUND
16,"""Disturbia""",Rihanna,    125  BPM 
17,"""Don't Stop the Music""",Rihanna,    123  BPM 
18,"""Pocketful of Sunshine""",Natasha Bedingfield,    110  BPM 
19,"""Kiss Kiss""",Chris Brown featuring T-Pain,    140  BPM 
20,"""Closer""",Ne-Yo,    126  BPM 
21,"""Bubbly""",Colbie Caillat,    128  BPM 
22,"""Touch My Body""",Mariah Carey,    79  BPM 
23,"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland,NOT FOUND
24,"""So What""",Pink,NOT FOUND
25,"""Paralyzer""",Finger Eleven,    106  BPM 
26,"""Clumsy""",Fergie,    184  BPM 
27,"""I'm Yours""",Jason Mraz,    151  BPM 
28,"""Leavin'""",Jesse McCartney,    79  BPM 
29,"""Dangerous""",Kardinal Offishall featuring Akon,    117  BPM 
30,"""Tattoo""",Jordin Sparks,    168  BPM 
31,"""See You Again""",Miley Cyrus,    139  BPM 
32,"""Shake It""",Metro Station,    150  BPM 
33,"""Stop and Stare""",OneRepublic,    92  BPM 
34,"""Take You There""",Sean Kingston,    115  BPM 
35,"""Paper Planes""",M.I.A.,NOT FOUND
36,"""Hot n Cold""",Katy Perry,    132  BPM 
37,"""Live Your Life""",T.I. featuring Rihanna,NOT FOUND
38,"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo,NOT FOUND
39,"""American Boy""",Estelle featuring Kanye West,    118  BPM 
40,"""Got Money""",Lil Wayne featuring T-Pain,    82  BPM 
41,"""Our Song""",Taylor Swift,    89  BPM 
42,"""Damaged""",Danity Kane,    120  BPM 
43,"""A Milli""",Lil Wayne,    152  BPM 
44,"""Sorry""",Buckcherry,    131  BPM 
45,"""Independent""",Webbie featuring Lil Boosie and Lil Phat,    176  BPM 
46,"""Can't Believe It""",T-Pain featuring Lil Wayne,    114  BPM 
47,"""Like You'll Never See Me Again""",Alicia Keys,    128  BPM 
48,"""Teardrops on My Guitar""",Taylor Swift,    100  BPM 
49,"""When I Grow Up""",Pussycat Dolls,NOT FOUND
50,"""Sexual Eruption""",Snoop Dogg,    120  BPM 
51,"""What You Got""",Colby O'Donis featuring Akon,NOT FOUND
52,"""It's Not My Time""",3 Doors Down,    128  BPM 
53,"""Better in Time""",Leona Lewis,    164  BPM 
54,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,NOT FOUND
55,"""Shadow of the Day""",Linkin Park,    110  BPM 
56,"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia",    93  BPM 
57,"""Miss Independent""",Ne-Yo,    172  BPM 
58,"""Fall for You""",Secondhand Serenade,    169  BPM 
59,"""In the Ayer""",Flo Rida featuring will.i.am,NOT FOUND
60,"""Say""",John Mayer,    168  BPM 
61,"""One Step at a Time""",Jordin Sparks,    102  BPM 
62,"""Hate That I Love You""",Rihanna featuring Ne-Yo,    94  BPM 
63,"""Superstar""",Lupe Fiasco featuring Matthew Santos,    95  BPM 
64,"""Suffocate""",J. Holiday,NOT FOUND
65,"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,    113  BPM 
66,"""Get Like Me""",David Banner featuring Chris Brown and Yung Joc,    61  BPM 
67,"""Realize""",Colbie Caillat,    124  BPM 
68,"""Put On""",Young Jeezy featuring Kanye West,NOT FOUND
69,"""The Time of My Life""",David Cook,    155  BPM 
70,"""Lolli Lolli (Pop That Body)""",Three 6 Mafia,    120  BPM 
71,"""Cyclone""",Baby Bash featuring T-Pain,    154  BPM 
72,"""Love Like This""",Natasha Bedingfield featuring Sean Kingston,    77  BPM 
73,"""Burnin' Up""",Jonas Brothers,    114  BPM 
74,"""Love Lockdown""",Kanye West,    120  BPM 
75,"""I Luv Your Girl""",The-Dream,    90  BPM 
76,"""Crush""",David Archuleta,    162  BPM 
77,"""Hypnotized""",Plies featuring Akon,    121  BPM 
78,"""Big Girls Don't Cry""",Fergie,NOT FOUND
79,"""Good Life""",Kanye West featuring T-Pain,    170  BPM 
80,"""Womanizer""",Britney Spears,    139  BPM 
81,"""Love Story""",Taylor Swift,    119  BPM 
82,"""Just Fine""",Mary J. Blige,NOT FOUND
83,"""Piece of Me""",Britney Spears,    115  BPM 
84,"""The Boss""",Rick Ross featuring T-Pain,    84  BPM 
85,"""All Summer Long""",Kid Rock,    103  BPM 
86,"""Can't Help but Wait""",Trey Songz,    95  BPM 
87,"""In Love with a Girl""",Gavin DeGraw,    162  BPM 
88,"""My Life""",The Game featuring Lil Wayne,    148  BPM 
89,"""I Remember""",Keyshia Cole,    129  BPM 
90,"""Flashing Lights""",Kanye West featuring Dwele,    90  BPM 
91,"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd,    112  BPM 
92,"""7 Things""",Miley Cyrus,NOT FOUND
93,"""You're Gonna Miss This""",Trace Adkins,    155  BPM 
94,"""Love Remains the Same""",Gavin Rossdale,    149  BPM 
95,"""Feels Like Tonight""",Daughtry,    131  BPM 
96,"""The Way I Are""",Timbaland featuring Keri Hilson,    115  BPM 
97,"""Addicted""",Saving Abel,    138  BPM 
98,"""Into the Night""",Santana featuring Chad Kroeger,    128  BPM 
99,"""Heaven Sent""",Keyshia Cole,    78  BPM 
100,"""She Got It""",2 Pistols featuring T-Pain and Tay Dizm,    134  BPM 
