No.,Title,Artist,Tempo
1,"""Rolling in the Deep""",Adele,    105  BPM 
2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,    130  BPM 
3,"""Firework""",Katy Perry,    124  BPM 
4,"""E.T.""",Katy Perry featuring Kanye West,    150  BPM 
5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",    129  BPM 
6,"""Grenade""",Bruno Mars,    110  BPM 
7,"""Fuck You (Forget You)""",CeeLo Green,NOT FOUND
8,"""Super Bass""",Nicki Minaj,    127  BPM 
9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,    128  BPM 
10,"""Just Can't Get Enough""",The Black Eyed Peas,    94  BPM 
11,"""On the Floor""",Jennifer Lopez featuring Pitbull,    130  BPM 
12,"""S&M""",Rihanna,    128  BPM 
13,"""Pumped Up Kicks""",Foster the People,    128  BPM 
14,"""Last Friday Night (T.G.I.F.)""",Katy Perry,    126  BPM 
15,"""Just the Way You Are""",Bruno Mars,    109  BPM 
16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,    126  BPM 
17,"""Raise Your Glass""",Pink,NOT FOUND
18,"""Born This Way""",Lady Gaga,    124  BPM 
19,"""Fuckin' Perfect""",Pink,NOT FOUND
20,"""What's My Name?""",Rihanna featuring Drake,    100  BPM 
21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,    146  BPM 
22,"""Down on Me""",Jeremih featuring 50 Cent,    160  BPM 
23,"""How to Love""",Lil Wayne,    154  BPM 
24,"""Someone Like You""",Adele,    135  BPM 
25,"""Good Life""",OneRepublic,    95  BPM 
26,"""The Lazy Song""",Bruno Mars,    175  BPM 
27,"""Till the World Ends""",Britney Spears,    132  BPM 
28,"""The Show Goes On""",Lupe Fiasco,    143  BPM 
29,"""The Edge of Glory""",Lady Gaga,    128  BPM 
30,"""We R Who We R""",Kesha,    120  BPM 
31,"""Black and Yellow""",Wiz Khalifa,    164  BPM 
32,"""Tonight Tonight""",Hot Chelle Rae,    100  BPM 
33,"""Blow""",Kesha,    120  BPM 
34,"""Lighters""",Bad Meets Evil featuring Bruno Mars,    90  BPM 
35,"""If I Die Young""",The Band Perry,    131  BPM 
36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,    90  BPM 
37,"""The Time (Dirty Bit)""",The Black Eyed Peas,    128  BPM 
38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,NOT FOUND
39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,    128  BPM 
40,"""Only Girl (In the World)""",Rihanna,    126  BPM 
41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,NOT FOUND
42,"""Just a Kiss""",Lady Antebellum,    143  BPM 
43,"""Dirt Road Anthem""",Jason Aldean,    127  BPM 
44,"""Dynamite""",Taio Cruz,    120  BPM 
45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,    132  BPM 
46,"""I Wanna Go""",Britney Spears,    130  BPM 
47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",    150  BPM 
48,"""You Make Me Feel...""",Cobra Starship featuring Sabi,    132  BPM 
49,"""Yeah 3x""",Chris Brown,NOT FOUND
50,"""Moment 4 Life""",Nicki Minaj featuring Drake,NOT FOUND
51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,NOT FOUND
52,"""Just a Dream""",Nelly,    90  BPM 
53,"""Motivation""",Kelly Rowland featuring Lil Wayne,    141  BPM 
54,"""Stereo Love""",Edward Maya featuring Vika Jigulina,    127  BPM 
55,"""Jar of Hearts""",Christina Perri,    75  BPM 
56,"""Roll Up""",Wiz Khalifa,    125  BPM 
57,"""Sexy and I Know It""",LMFAO,    130  BPM 
58,"""Rocketeer""",Far East Movement featuring Ryan Tedder,    96  BPM 
59,"""All of the Lights""",Kanye West,    142  BPM 
60,"""Hold It Against Me""",Britney Spears,    133  BPM 
61,"""More""",Usher,NOT FOUND
62,"""What the Hell""",Avril Lavigne,    150  BPM 
63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner,NOT FOUND
64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,NOT FOUND
65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,    120  BPM 
66,"""For the First Time""",The Script,    174  BPM 
67,"""Honey Bee""",Blake Shelton,    206  BPM 
68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,    144  BPM 
69,"""We Found Love""",Rihanna featuring Calvin Harris,    128  BPM 
70,"""Pretty Girl Rock""",Keri Hilson,    160  BPM 
71,"""Yoü and I""",Lady Gaga,NOT FOUND
72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,NOT FOUND
73,"""Without You""",David Guetta featuring Usher,NOT FOUND
74,"""Back to December""",Taylor Swift,    142  BPM 
75,"""Teenage Dream""",Katy Perry,    120  BPM 
76,"""Crazy Girl""",Eli Young Band,    151  BPM 
77,"""Cheers (Drink to That)""",Rihanna,    80  BPM 
78,"""Who Says""",Selena Gomez & the Scene,    101  BPM 
79,"""Barefoot Blue Jean Night""",Jake Owen,    172  BPM 
80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,    91  BPM 
81,"""Country Girl (Shake It for Me)""",Luke Bryan,    106  BPM 
