No.,Title,Artist,Tempo
1,"""Love Yourself""",Justin Bieber,    100  BPM 
2,"""Sorry""",Justin Bieber,    100  BPM 
3,"""One Dance""",Drake featuring Wizkid and Kyla,    104  BPM 
4,"""Work""",Rihanna featuring Drake,    92  BPM 
5,"""Stressed Out""",Twenty One Pilots,    170  BPM 
6,"""Panda""",Desiigner,    145  BPM 
7,"""Hello""",Adele,    158  BPM 
8,"""Don't Let Me Down""",The Chainsmokers featuring Daya,    160  BPM 
9,"""Can't Stop the Feeling!""",Justin Timberlake,NOT FOUND
10,"""Closer""",The Chainsmokers featuring Halsey,    95  BPM 
11,"""Cheap Thrills""",Sia featuring Sean Paul,    90  BPM 
12,"""7 Years""",Lukas Graham,NOT FOUND
13,"""Needed Me""",Rihanna,    111  BPM 
14,"""My House""",Flo Rida,    94  BPM 
15,"""I Took a Pill in Ibiza""",Mike Posner,    74  BPM 
16,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,    105  BPM 
17,"""This Is What You Came For""",Calvin Harris featuring Rihanna,    124  BPM 
18,"""Cake by the Ocean""",DNCE,    119  BPM 
19,"""Me, Myself & I""",G-Eazy and Bebe Rexha,    112  BPM 
20,"""Ride""",Twenty One Pilots,    75  BPM 
21,"""Heathens""",Twenty One Pilots,    90  BPM 
22,"""Pillowtalk""",Zayn,    125  BPM 
23,"""Stitches""",Shawn Mendes,    73  BPM 
24,"""Hotline Bling""",Drake,    135  BPM 
25,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,    93  BPM 
26,"""Send My Love (To Your New Lover)""",Adele,    164  BPM 
27,"""Roses""",The Chainsmokers featuring Rozes,    100  BPM 
28,"""Treat You Better""",Shawn Mendes,    83  BPM 
29,"""Too Good""",Drake featuring Rihanna,    118  BPM 
30,"""Low Life""",Future featuring The Weeknd,    144  BPM 
31,"""What Do You Mean?""",Justin Bieber,    125  BPM 
32,"""The Hills""",The Weeknd,    113  BPM 
33,"""Just Like Fire""",P!nk,    163  BPM 
34,"""Broccoli""",DRAM featuring Lil Yachty,    146  BPM 
35,"""Don't""",Bryson Tiller,    97  BPM 
36,"""Dangerous Woman""",Ariana Grande,    134  BPM 
37,"""Jumpman""",Drake and Future,    142  BPM 
38,"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien,    180  BPM 
39,"""Here""",Alessia Cara,    120  BPM 
40,"""Same Old Love""",Selena Gomez,    98  BPM 
41,"""Controlla""",Drake,    92  BPM 
42,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,    108  BPM 
43,"""One Call Away""",Charlie Puth,    91  BPM 
44,"""Let It Go""",James Bay,    147  BPM 
45,"""No""",Meghan Trainor,    92  BPM 
46,"""Never Forget You""",Zara Larsson and MNEK,    146  BPM 
47,"""Let Me Love You""",DJ Snake featuring Justin Bieber,    100  BPM 
48,"""Don't Mind""",Kent Jones,    159  BPM 
49,"""H.O.L.Y.""",Florida Georgia Line,    78  BPM 
50,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,    100  BPM 
51,"""Into You""",Ariana Grande,    108  BPM 
52,"""Gold""",Kiiara,    113  BPM 
53,"""Exchange""",Bryson Tiller,    160  BPM 
54,"""679""",Fetty Wap featuring Remy Boyz,NOT FOUND
55,"""Oui""",Jeremih,    79  BPM 
56,"""Hands to Myself""",Selena Gomez,    111  BPM 
57,"""2 Phones""",Kevin Gates,NOT FOUND
58,"""Starboy""",The Weeknd featuring Daft Punk,    186  BPM 
59,"""For Free""",DJ Khaled featuring Drake,    104  BPM 
60,"""Never Be Like You""",Flume featuring Kai,    120  BPM 
61,"""In the Night""",The Weeknd,    168  BPM 
62,"""Me Too""",Meghan Trainor,    124  BPM 
63,"""Ex's & Oh's""",Elle King,    140  BPM 
64,"""Die a Happy Man""",Thomas Rhett,    166  BPM 
65,"""White Iverson""",Post Malone,    130  BPM 
66,"""Close""",Nick Jonas featuring Tove Lo,    124  BPM 
67,"""Unsteady""",X Ambassadors,    117  BPM 
68,"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign 
featuring X Ambassadors",NOT FOUND
69,"""Down in the DM""",Yo Gotti featuring Nicki Minaj,    153  BPM 
70,"""Luv""",Tory Lanez,    190  BPM 
71,"""Sorry""",Beyoncé,    130  BPM 
72,"""Can't Feel My Face""",The Weeknd,    108  BPM 
73,"""Hymn for the Weekend""",Coldplay,    90  BPM 
74,"""Say It""",Tory Lanez,    107  BPM 
75,"""Antidote""",Travis Scott,    131  BPM 
76,"""Lost Boy""",Ruth B,NOT FOUND
77,"""Side to Side""",Ariana Grande featuring Nicki Minaj,    159  BPM 
78,"""Sit Still, Look Pretty""",Daya,    182  BPM 
79,"""Wildest Dreams""",Taylor Swift,    140  BPM 
80,"""Middle""",DJ Snake featuring Bipolar Sunshine,    105  BPM 
81,"""On My Mind""",Ellie Goulding,    155  BPM 
82,"""Pop Style""",Drake featuring Jay-Z and Kanye West[a],    133  BPM 
83,"""When We Were Young""",Adele,    144  BPM 
84,"""Hide Away""",Daya,    95  BPM 
85,"""Lean On""",Major Lazer and DJ Snake featuring MØ,    98  BPM 
86,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,    114  BPM 
87,"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared,    117  BPM 
88,"""Watch Me""",Silentó,NOT FOUND
89,"""Back to Sleep""",Chris Brown,    93  BPM 
90,"""No Limit""",Usher featuring Young Thug,    127  BPM 
91,"""Cut It""",O.T. Genasis featuring Young Dolph,NOT FOUND
92,"""Really Really""",Kevin Gates,    119  BPM 
93,"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap,    95  BPM 
94,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,    100  BPM 
95,"""Adventure of a Lifetime""",Coldplay,    112  BPM 
96,"""Humble and Kind""",Tim McGraw,    101  BPM 
97,"""Wicked""",Future,    158  BPM 
98,"""Tiimmy Turner""",Desiigner,    123  BPM 
99,"""See You Again""",Wiz Khalifa featuring Charlie Puth,NOT FOUND
100,"""Perfect""",One Direction,    100  BPM 
