No.,Title,Artist,Tempo
1,"""Lose Control""",Teddy Swims,NOT FOUND
2,"""A Bar Song (Tipsy)""",Shaboozey,NOT FOUND
3,"""Beautiful Things""",Benson Boone,NOT FOUND
4,"""I Had Some Help""",Post Malone featuring Morgan Wallen,NOT FOUND
5,"""Lovin on Me""",Jack Harlow,NOT FOUND
6,"""Not Like Us""",Kendrick Lamar,NOT FOUND
7,"""Espresso""",Sabrina Carpenter,NOT FOUND
8,"""Million Dollar Baby""",Tommy Richman,NOT FOUND
9,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,NOT FOUND
10,"""Too Sweet""",Hozier,NOT FOUND
11,"""Stick Season""",Noah Kahan,NOT FOUND
12,"""Cruel Summer""",Taylor Swift,170  BPM
13,"""Greedy""",Tate McRae,NOT FOUND
14,"""Like That""","Future, Metro Boomin and Kendrick Lamar",NOT FOUND
15,"""Birds of a Feather""",Billie Eilish,NOT FOUND
16,"""Please Please Please""",Sabrina Carpenter,NOT FOUND
17,"""Agora Hills""",Doja Cat,NOT FOUND
18,"""Good Luck, Babe!""",Chappell Roan,NOT FOUND
19,"""Saturn""",SZA,NOT FOUND
20,"""Snooze""",SZA,NOT FOUND
21,"""Paint the Town Red""",Doja Cat,NOT FOUND
22,"""Fortnight""",Taylor Swift featuring Post Malone,NOT FOUND
23,"""Fast Car""",Luke Combs,NOT FOUND
24,"""Water""",Tyla,NOT FOUND
25,"""Feather""",Sabrina Carpenter,NOT FOUND
26,"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,NOT FOUND
27,"""Austin""",Dasha,NOT FOUND
28,"""Last Night""",Morgan Wallen,NOT FOUND
29,"""Cowgirls""",Morgan Wallen featuring Ernest,NOT FOUND
30,"""Pink Skies""",Zach Bryan,NOT FOUND
31,"""Thinkin' Bout Me""",Morgan Wallen,NOT FOUND
32,"""Texas Hold 'Em""",Beyoncé,NOT FOUND
33,"""Is It Over Now?""",Taylor Swift,NOT FOUND
34,"""Miles on It""",Marshmello and Kane Brown,NOT FOUND
35,"""I Can Do It with a Broken Heart""",Taylor Swift,NOT FOUND
36,"""Wild Ones""",Jessie Murph and Jelly Roll,NOT FOUND
37,"""Ain't No Love in Oklahoma""",Luke Combs,NOT FOUND
38,"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti,NOT FOUND
39,"""Houdini""",Eminem,NOT FOUND
40,"""Wanna Be""",GloRilla and Megan Thee Stallion,NOT FOUND
41,"""Slow It Down""",Benson Boone,NOT FOUND
42,"""Redrum""",21 Savage,NOT FOUND
43,"""Houdini""",Dua Lipa,NOT FOUND
44,"""Yeah Glo!""",GloRilla,NOT FOUND
45,"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,NOT FOUND
46,"""What Was I Made For?""",Billie Eilish,NOT FOUND
47,"""End of Beginning""",Djo,NOT FOUND
48,"""Lunch""",Billie Eilish,NOT FOUND
49,"""Never Lose Me""",Flo Milli,NOT FOUND
