No.,Title,Artist,Tempo
1,"""Boom Boom Pow""",The Black Eyed Peas,    130  BPM 
2,"""Poker Face""",Lady Gaga,    119  BPM 
3,"""Just Dance""",Lady Gaga featuring Colby O'Donis,    119  BPM 
4,"""I Gotta Feeling""",The Black Eyed Peas,    128  BPM 
5,"""Love Story""",Taylor Swift,    119  BPM 
6,"""Right Round""",Flo Rida,    125  BPM 
7,"""I'm Yours""",Jason Mraz,    151  BPM 
8,"""Single Ladies (Put a Ring on It)""",Beyoncé,    193  BPM 
9,"""Heartless""",Kanye West,    88  BPM 
10,"""Gives You Hell""",The All-American Rejects,    100  BPM 
11,"""You Belong with Me""",Taylor Swift,    130  BPM 
12,"""Dead and Gone""",T.I. featuring Justin Timberlake,NOT FOUND
13,"""You Found Me""",The Fray,    152  BPM 
14,"""Use Somebody""",Kings of Leon,    137  BPM 
15,"""Knock You Down""",Keri Hilson featuring Kanye West and Ne-Yo,    155  BPM 
16,"""Blame It""",Jamie Foxx featuring T-Pain,    176  BPM 
17,"""I Know You Want Me (Calle Ocho)""",Pitbull,    127  BPM 
18,"""Live Your Life""",T.I. featuring Rihanna,NOT FOUND
19,"""Kiss Me thru the Phone""",Soulja Boy Tell 'Em featuring Sammie,NOT FOUND
20,"""Down""",Jay Sean featuring Lil Wayne,    66  BPM 
21,"""The Climb""",Miley Cyrus,    161  BPM 
22,"""Best I Ever Had""",Drake,    162  BPM 
23,"""My Life Would Suck Without You""",Kelly Clarkson,    145  BPM 
24,"""Halo""",Beyoncé,    80  BPM 
25,"""Hot n Cold""",Katy Perry,    132  BPM 
26,"""Second Chance""",Shinedown,    100  BPM 
27,"""Circus""",Britney Spears,    115  BPM 
28,"""Day 'n' Nite""",Kid Cudi,    138  BPM 
29,"""Party in the U.S.A.""",Miley Cyrus,    192  BPM 
30,"""Don't Trust Me""",3OH!3,    130  BPM 
31,"""Run This Town""",Jay-Z featuring Rihanna and Kanye West,    87  BPM 
32,"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,    113  BPM 
33,"""Fire Burning""",Sean Kingston,    123  BPM 
34,"""Whatcha Say""",Jason Derulo,    144  BPM 
35,"""LoveGame""",Lady Gaga,    105  BPM 
36,"""Waking Up in Vegas""",Katy Perry,    131  BPM 
37,"""Birthday Sex""",Jeremih,    60  BPM 
38,"""Sober""",Pink,NOT FOUND
39,"""Womanizer""",Britney Spears,    139  BPM 
40,"""Whatever You Like""",T.I.,NOT FOUND
41,"""Obsessed""",Mariah Carey,    86  BPM 
42,"""Mad""",Ne-Yo,    130  BPM 
43,"""Good Girls Go Bad""",Cobra Starship featuring Leighton Meester,    120  BPM 
44,"""Love Lockdown""",Kanye West,    120  BPM 
45,"""So What""",Pink,NOT FOUND
46,"""Hotel Room Service""",Pitbull,    126  BPM 
47,"""Crack a Bottle""","Eminem, Dr. Dre and 50 Cent",NOT FOUND
48,"""If I Were a Boy""",Beyoncé,    90  BPM 
49,"""Turnin Me On""",Keri Hilson featuring Lil Wayne,NOT FOUND
50,"""I Hate This Part""",Pussycat Dolls,NOT FOUND
51,"""Gotta Be Somebody""",Nickelback,    116  BPM 
52,"""Please Don't Leave Me""",Pink,NOT FOUND
53,"""Paparazzi""",Lady Gaga,    115  BPM 
54,"""Beautiful""",Akon featuring Colby O'Donis and Kardinal Offishall,    130  BPM 
55,"""Viva la Vida""",Coldplay,    138  BPM 
56,"""Right Now (Na Na Na)""",Akon,    131  BPM 
57,"""Battlefield""",Jordin Sparks,    145  BPM 
58,"""Sugar""",Flo Rida featuring Wynter,    131  BPM 
59,"""Miss Independent""",Ne-Yo,    172  BPM 
60,"""Fireflies""",Owl City,    180  BPM 
61,"""New Divide""",Linkin Park,    118  BPM 
62,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,    174  BPM 
63,"""No Surprise""",Daughtry,    96  BPM 
64,"""She Wolf""",Shakira,    122  BPM 
65,"""Break Up""",Mario featuring Gucci Mane and Sean Garrett,    146  BPM 
66,"""Sweet Dreams""",Beyoncé,    122  BPM 
67,"""Every Girl""",Young Money,    76  BPM 
68,"""Fallin' for You""",Colbie Caillat,    117  BPM 
69,"""Untouched""",The Veronicas,    177  BPM 
70,"""If Today Was Your Last Day""",Nickelback,    90  BPM 
71,"""Throw It in the Bag""",Fabolous featuring The-Dream,    172  BPM 
72,"""Love Drunk""",Boys Like Girls,    150  BPM 
73,"""I Love College""",Asher Roth,    86  BPM 
74,"""If U Seek Amy""",Britney Spears,    130  BPM 
75,"""Big Green Tractor""",Jason Aldean,    137  BPM 
76,"""White Horse""",Taylor Swift,    93  BPM 
77,"""Disturbia""",Rihanna,    125  BPM 
78,"""21 Guns""",Green Day,NOT FOUND
79,"""Turn My Swag On""",Soulja Boy Tell 'Em,NOT FOUND
80,"""Rockin' That Thang""",The-Dream,NOT FOUND
81,"""Chicken Fried""",Zac Brown Band,    170  BPM 
82,"""Diva""",Beyoncé,    146  BPM 
83,"""Replay""",Iyaz,    91  BPM 
84,"""Then""",Brad Paisley,    145  BPM 
85,"""Her Diamonds""",Rob Thomas,    88  BPM 
86,"""How Do You Sleep?""",Jesse McCartney featuring Ludacris,    106  BPM 
87,"""3""",Britney Spears,NOT FOUND
88,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem",    158  BPM 
89,"""One Time""",Justin Bieber,    146  BPM 
90,"""I Run to You""",Lady Antebellum,    114  BPM 
91,"""I Do Not Hook Up""",Kelly Clarkson,    144  BPM 
92,"""Green Light""",John Legend featuring André 3000,    78  BPM 
93,"""People Are Crazy""",Billy Currington,    142  BPM 
94,"""Whatever It Is""",Zac Brown Band,    84  BPM 
95,"""Already Gone""",Kelly Clarkson,    78  BPM 
96,"""Goodbye""",Kristinia DeBarge,    120  BPM 
97,"""Say Hey (I Love You)""",Michael Franti & Spearhead featuring Cherine Anderson,    93  BPM 
98,"""Pop Champagne""",Jim Jones featuring Ron Browz and Juelz Santana,NOT FOUND
99,"""Pretty Wings""",Maxwell,    115  BPM 
100,"""Never Say Never""",The Fray,    160  BPM 
