No.,Title,Artist,Tempo
1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,    115  BPM 
2,"""Thinking Out Loud""",Ed Sheeran,    79  BPM 
3,"""See You Again""",Wiz Khalifa featuring Charlie Puth,NOT FOUND
4,"""Trap Queen""",Fetty Wap,    148  BPM 
5,"""Sugar""",Maroon 5,    120  BPM 
6,"""Shut Up and Dance""",Walk the Moon,    128  BPM 
7,"""Blank Space""",Taylor Swift,    96  BPM 
8,"""Watch Me""",Silentó,NOT FOUND
9,"""Earned It""",The Weeknd,NOT FOUND
10,"""The Hills""",The Weeknd,    113  BPM 
11,"""Cheerleader (Felix Jaehn Remix)""",OMI,NOT FOUND
12,"""Can't Feel My Face""",The Weeknd,    108  BPM 
13,"""Love Me Like You Do""",Ellie Goulding,    95  BPM 
14,"""Take Me to Church""",Hozier,    129  BPM 
15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,    170  BPM 
16,"""Lean On""",Major Lazer and DJ Snake featuring MØ,    98  BPM 
17,"""Want to Want Me""",Jason Derulo,    114  BPM 
18,"""Shake It Off""",Taylor Swift,    160  BPM 
19,"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,NOT FOUND
20,"""Fight Song""",Rachel Platten,    176  BPM 
21,"""679""",Fetty Wap featuring Remy Boyz,NOT FOUND
22,"""Lips Are Movin""",Meghan Trainor,    139  BPM 
23,"""Worth It""",Fifth Harmony featuring Kid Ink,    100  BPM 
24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,NOT FOUND
25,"""Honey, I'm Good.""",Andy Grammer,    122  BPM 
26,"""I'm Not the Only One""",Sam Smith,    82  BPM 
27,"""Good for You""",Selena Gomez featuring ASAP Rocky,    89  BPM 
28,"""All About That Bass""",Meghan Trainor,    134  BPM 
29,"""Style""",Taylor Swift,    95  BPM 
30,"""Hotline Bling""",Drake,    135  BPM 
31,"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",NOT FOUND
32,"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,NOT FOUND
33,"""What Do You Mean?""",Justin Bieber,    125  BPM 
34,"""Photograph""",Ed Sheeran,    108  BPM 
35,"""Hello""",Adele,    158  BPM 
36,"""Stitches""",Shawn Mendes,    73  BPM 
37,"""Talking Body""",Tove Lo,    120  BPM 
38,"""Jealous""",Nick Jonas,    93  BPM 
39,"""Time of Our Lives""",Pitbull and Ne-Yo,    124  BPM 
40,"""Locked Away""",R. City featuring Adam Levine,NOT FOUND
41,"""Somebody""",Natalie La Rose featuring Jeremih,    105  BPM 
42,"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney",NOT FOUND
43,"""Centuries""",Fall Out Boy,    176  BPM 
44,"""My Way""",Fetty Wap featuring Monty,NOT FOUND
45,"""Take Your Time""",Sam Hunt,    158  BPM 
46,"""Animals""",Maroon 5,    190  BPM 
47,"""I Don't Fuck with You""",Big Sean featuring E-40,    98  BPM 
48,"""Bitch Better Have My Money""",Rihanna,    103  BPM 
49,"""Flex (Ooh, Ooh, Ooh)""",Rich Homie Quan,    82  BPM 
50,"""Nasty Freestyle""",T-Wayne,    135  BPM 
51,"""Only""","Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",    179  BPM 
52,"""Elastic Heart""",Sia,    130  BPM 
53,"""Cool for the Summer""",Demi Lovato,    114  BPM 
54,"""Renegades""",X Ambassadors,    90  BPM 
55,"""I Don't Mind""",Usher featuring Juicy J,    113  BPM 
56,"""Love Me Harder""",Ariana Grande and The Weeknd,    99  BPM 
57,"""Wildest Dreams""",Taylor Swift,    140  BPM 
58,"""Stay with Me""",Sam Smith,    84  BPM 
59,"""You Know You Like It""",DJ Snake and AlunaGeorge,    196  BPM 
60,"""Uma Thurman""",Fall Out Boy,    150  BPM 
61,"""7/11""",Beyoncé,NOT FOUND
62,"""The Heart Wants What It Wants""",Selena Gomez,    83  BPM 
63,"""Girl Crush""",Little Big Town,    174  BPM 
64,"""Slow Motion""",Trey Songz,    95  BPM 
65,"""Drag Me Down""",One Direction,    138  BPM 
66,"""Truffle Butter""",Nicki Minaj featuring Drake and Lil Wayne,    105  BPM 
67,"""One Last Time""",Ariana Grande,    125  BPM 
68,"""Chains""",Nick Jonas,    76  BPM 
69,"""All Eyes on You""",Meek Mill featuring Chris Brown and Nicki Minaj,NOT FOUND
70,"""No Type""",Rae Sremmurd,    125  BPM 
71,"""Riptide""",Vance Joy,    102  BPM 
72,"""Classic Man""",Jidenna featuring Roman GianArthur,    94  BPM 
73,"""Ex's & Oh's""",Elle King,    140  BPM 
74,"""Dear Future Husband""",Meghan Trainor,    79  BPM 
75,"""Marvin Gaye""",Charlie Puth featuring Meghan Trainor,NOT FOUND
76,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,    108  BPM 
77,"""Habits (Stay High)""",Tove Lo,    110  BPM 
78,"""The Hanging Tree""",James Newton Howard featuring Jennifer Lawrence,    114  BPM 
79,"""CoCo""",O.T. Genasis,NOT FOUND
80,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",NOT FOUND
81,"""Lay Me Down""",Sam Smith,    117  BPM 
82,"""Tuesday""",ILoveMakonnen featuring Drake,    140  BPM 
83,"""Hit the Quan""",iLoveMemphis,NOT FOUND
84,"""Downtown""","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster 
Caz",NOT FOUND
85,"""House Party""",Sam Hunt,    104  BPM 
