Title,Artist,UG_link
"""Lose! Control""",Teddy Swims,https://tabs.ultimate-guitar.com/tab/teddy-swims/lose-control-chords-4835888
"""A Bar Song (Tipsy)""",Shaboozey,https://tabs.ultimate-guitar.com/tab/shaboozey/a-bar-song-tipsy-chords-5223882
"""Beaútiful Things""",Benson Boone,https://tabs.ultimate-guitar.com/tab/benson-boone/beautiful-things-chords-5110429
"""Lòvin on Me""",Jack Harlow,not found
