No.,Title,Artist,Top_Tags
1,"""Happy""",Pharrell Williams,"Hip-Hop, rnb, rap"
2,"""Dark Horse""",Katy Perry featuring Juicy J,"pop, female vocalists, pop rock"
3,"""All of Me""",John Legend,"soul, rnb, Neo-Soul"
4,"""Fancy""",Iggy Azalea featuring Charli XCX,"Hip-Hop, rap, pop"
5,"""Counting Stars""",OneRepublic,"wow, Yay"
6,"""Talk Dirty""",Jason Derulo featuring 2 Chainz,"rnb, pop, male vocalists"
7,"""Rude""",Magic!,"reggae, pop, Canadian"
8,"""All About That Bass""",Meghan Trainor,"pop, female vocalists, soul"
9,"""Problem""",Ariana Grande featuring Iggy Azalea,"pop, rnb, female vocalists"
10,"""Stay with Me""",Sam Smith,"soul, pop, british"
11,"""Timber""",Pitbull featuring Kesha,"Hip-Hop, rap, Reggaeton"
12,"""Pompeii""",Bastille,"indie, electronic, alternative"
13,"""Shake It Off""",Taylor Swift,"country, pop, female vocalists"
14,"""Am I Wrong""",Nico & Vinz,"folk, female vocalists, experimental"
15,"""Turn Down for What""",DJ Snake and Lil Jon,"electronic, House"
16,"""The Monster""",Eminem featuring Rihanna,"rap, Hip-Hop, Eminem"
17,"""Say Something""",A Great Big World and Christina Aguilera,Unknown
18,"""Team""",Lorde,"pop, indie pop, electronic"
19,"""Let Her Go""",Passenger,"folk, Melodic Death Metal, alternative metal"
20,"""Royals""",Lorde,"pop, indie pop, electronic"
21,"""Let It Go""",Idina Menzel,"Broadway, female vocalists, musicals"
22,"""Wake Me Up""",Avicii,"House, electronic, dance"
23,"""Demons""",Imagine Dragons,"indie, indie rock, alternative"
24,"""Story of My Life""",One Direction,"pop, british, one direction"
25,"""Chandelier""",Sia,"female vocalists, chillout, indie"
26,"""Black Widow""",Iggy Azalea featuring Rita Ora,"Hip-Hop, rap, pop"
27,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj","pop, british, female vocalists"
28,"""Latch""",Disclosure featuring Sam Smith,"electronic, seen live, UK Garage"
29,"""Maps""",Maroon 5,"rock, pop, pop rock"
30,"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,"rnb, Hip-Hop, Chris Brown"
31,"""Best Day of My Life""",American Authors,"indie, indie rock, rock"
32,"""Habits (Stay High)""",Tove Lo,"pop, swedish, electronic"
33,"""Summer""",Calvin Harris,"electronic, dance, electro"
34,"""Boom Clap""",Charli XCX,"pop, synthpop, electronic"
35,"""Drunk in Love""",Beyoncé featuring Jay-Z,"rnb, pop, female vocalists"
36,"""Anaconda""",Nicki Minaj,"Hip-Hop, rap, rnb"
37,"""Break Free""",Ariana Grande featuring Zedd,"pop, rnb, female vocalists"
38,"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona,"pop, latin, spanish"
39,"""Burn""",Ellie Goulding,"female vocalists, electronic, british"
40,"""Wiggle""",Jason Derulo featuring Snoop Dogg,"rnb, pop, male vocalists"
41,"""Rather Be""",Clean Bandit featuring Jess Glynne,"electronic, indie, experimental"
42,"""Don't Tell 'Em""",Jeremih featuring YG,"rnb, Hip-Hop, soul"
43,"""Show Me""",Kid Ink featuring Chris Brown,"Hip-Hop, rap, west coast"
44,"""Wrecking Ball""",Miley Cyrus,"pop, female vocalists, Disney"
45,"""Not a Bad Thing""",Justin Timberlake,"pop, rnb, dance"
46,"""Roar""",Katy Perry,"pop, female vocalists, pop rock"
47,"""Ain't It Fun""",Paramore,"rock, pop punk, alternative"
48,"""The Man""",Aloe Blacc,"soul, Hip-Hop, Neo-Soul"
49,"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan,"country, country rock, male vocalists"
50,"""Classic""",MKTO,"pop, alternative, indie"
51,"""A Sky Full of Stars""",Coldplay,"rock, alternative, britpop"
52,"""Don't""",Ed Sheeran,"acoustic, british, singer-songwriter"
53,"""Na Na""",Trey Songz,"rnb, soul, male vocalists"
54,"""Hot Boy""",Bobby Shmurda,"Hip-Hop, rap, hip hop"
55,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,"Hip-Hop, rap, rnb"
56,"""Sing""",Ed Sheeran,"acoustic, british, singer-songwriter"
