No.,Title,Artist,Top_Tags
1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,"funk, pop, british"
2,"""Thinking Out Loud""",Ed Sheeran,"acoustic, british, singer-songwriter"
3,"""See You Again""",Wiz Khalifa featuring Charlie Puth,"Hip-Hop, rap, underground hip-hop"
4,"""Trap Queen""",Fetty Wap,"Hip-Hop, rap, trap"
5,"""Sugar""",Maroon 5,"rock, pop, pop rock"
6,"""Shut Up and Dance""",Walk the Moon,"indie rock, indie, indie pop"
7,"""Blank Space""",Taylor Swift,"country, pop, female vocalists"
8,"""Watch Me""",Silentó,"hip hop, Hip-Hop, rap"
9,"""Earned It""",The Weeknd,"rnb, electronic, Canadian"
10,"""The Hills""",The Weeknd,"rnb, electronic, Canadian"
11,"""Cheerleader (Felix Jaehn Remix)""",OMI,"reggae, electronic, hardcore"
12,"""Can't Feel My Face""",The Weeknd,"rnb, electronic, Canadian"
13,"""Love Me Like You Do""",Ellie Goulding,"female vocalists, electronic, british"
14,"""Take Me to Church""",Hozier,"blues, indie, soul"
15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,"country, pop, female vocalists"
16,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Unknown
17,"""Want to Want Me""",Jason Derulo,"rnb, pop, male vocalists"
18,"""Shake It Off""",Taylor Swift,"country, pop, female vocalists"
19,"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,Unknown
20,"""Fight Song""",Rachel Platten,"pop, indie, indie pop"
21,"""679""",Fetty Wap featuring Remy Boyz,"Hip-Hop, rap, trap"
22,"""Lips Are Movin""",Meghan Trainor,"pop, female vocalists, soul"
23,"""Worth It""",Fifth Harmony featuring Kid Ink,"pop, female vocalists, american"
24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,"rnb, Hip-Hop, Omarion"
25,"""Honey, I'm Good.""",Andy Grammer,"pop, singer-songwriter, acoustic"
26,"""I'm Not the Only One""",Sam Smith,"soul, pop, british"
27,"""Good for You""",Selena Gomez featuring ASAP Rocky,"pop, female vocalists, Disney"
28,"""All About That Bass""",Meghan Trainor,"pop, female vocalists, soul"
29,"""Style""",Taylor Swift,"country, pop, female vocalists"
30,"""Hotline Bling""",Drake,"Hip-Hop, rap, rnb"
31,"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack","House, dance, electronic"
32,"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,"Hip-Hop, rap, hip hop"
33,"""What Do You Mean?""",Justin Bieber,"pop, black metal, justin bieber"
34,"""Photograph""",Ed Sheeran,"acoustic, british, singer-songwriter"
35,"""Hello""",Adele,"soul, female vocalists, british"
36,"""Stitches""",Shawn Mendes,"pop, Canadian, seen live"
37,"""Talking Body""",Tove Lo,"pop, swedish, electronic"
38,"""Jealous""",Nick Jonas,"pop, pop rock, jonas brothers"
39,"""Time of Our Lives""",Pitbull and Ne-Yo,Unknown
40,"""Locked Away""",R. City featuring Adam Levine,"rnb, power pop, Hip-Hop"
41,"""Somebody""",Natalie La Rose featuring Jeremih,"pop, rnb, electronic"
42,"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney","pop, rnb, female vocalists"
43,"""Centuries""",Fall Out Boy,"pop punk, rock, emo"
44,"""My Way""",Fetty Wap featuring Monty,"Hip-Hop, rap, trap"
45,"""Take Your Time""",Sam Hunt,"country, pop, not country"
46,"""Animals""",Maroon 5,"rock, pop, pop rock"
47,"""I Don't Fuck with You""",Big Sean featuring E-40,"Hip-Hop, rap, hip hop"
48,"""Bitch Better Have My Money""",Rihanna,"pop, rnb, female vocalists"
49,"""Flex (Ooh, Ooh, Ooh)""",Rich Homie Quan,"Hip-Hop, rap, Dirty South"
50,"""Nasty Freestyle""",T-Wayne,"hip hop, All, rnb hiphop"
51,"""Only""","Nicki Minaj featuring Drake, Lil Wayne and Chris Brown","Hip-Hop, rap, rnb"
52,"""Elastic Heart""",Sia,"female vocalists, chillout, indie"
53,"""Cool for the Summer""",Demi Lovato,"pop, pop rock, female vocalists"
54,"""Renegades""",X Ambassadors,"indie, pop, seen live"
55,"""I Don't Mind""",Usher featuring Juicy J,"rnb, Hip-Hop, pop"
56,"""Love Me Harder""",Ariana Grande and The Weeknd,Unknown
57,"""Wildest Dreams""",Taylor Swift,"country, pop, female vocalists"
58,"""Stay with Me""",Sam Smith,"soul, pop, british"
59,"""You Know You Like It""",DJ Snake and AlunaGeorge,Unknown
60,"""Uma Thurman""",Fall Out Boy,"pop punk, rock, emo"
61,"""7/11""",Beyoncé,"rnb, pop, female vocalists"
62,"""The Heart Wants What It Wants""",Selena Gomez,"pop, female vocalists, Disney"
63,"""Girl Crush""",Little Big Town,"country, modern country, Little Big Town"
64,"""Slow Motion""",Trey Songz,"rnb, soul, male vocalists"
65,"""Drag Me Down""",One Direction,"pop, british, one direction"
66,"""Truffle Butter""",Nicki Minaj featuring Drake and Lil Wayne,"Hip-Hop, rap, rnb"
67,"""One Last Time""",Ariana Grande,"pop, rnb, female vocalists"
