No.,Title,Artist,Top_Tags
1,"""Love Yourself""",Justin Bieber,"pop, black metal, justin bieber"
2,"""Sorry""",Justin Bieber,"pop, black metal, justin bieber"
3,"""One Dance""",Drake featuring Wizkid and Kyla,"Hip-Hop, rap, rnb"
4,"""Work""",Rihanna featuring Drake,"pop, rnb, female vocalists"
5,"""Stressed Out""",Twenty One Pilots,"electronic, alternative, indie pop"
6,"""Panda""",Desiigner,"Hip-Hop, rap, trap"
7,"""Hello""",Adele,"soul, female vocalists, british"
8,"""Don't Let Me Down""",The Chainsmokers featuring Daya,"electronic, pop, House"
9,"""Can't Stop the Feeling!""",Justin Timberlake,"pop, rnb, dance"
10,"""Closer""",The Chainsmokers featuring Halsey,"electronic, pop, House"
11,"""Cheap Thrills""",Sia featuring Sean Paul,"female vocalists, chillout, indie"
12,"""7 Years""",Lukas Graham,"pop, soul, danish"
13,"""Needed Me""",Rihanna,"pop, rnb, female vocalists"
14,"""My House""",Flo Rida,"Hip-Hop, rap, hip hop"
15,"""I Took a Pill in Ibiza""",Mike Posner,"rnb, Hip-Hop, pop"
16,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,"pop, female vocalists, american"
17,"""This Is What You Came For""",Calvin Harris featuring Rihanna,"electronic, dance, electro"
18,"""Cake by the Ocean""",DNCE,"pop, pop rock, dance"
19,"""Me, Myself & I""",G-Eazy and Bebe Rexha,Unknown
20,"""Ride""",Twenty One Pilots,"electronic, alternative, indie pop"
21,"""Heathens""",Twenty One Pilots,"electronic, alternative, indie pop"
22,"""Pillowtalk""",Zayn,"pop, rnb, british"
23,"""Stitches""",Shawn Mendes,"pop, Canadian, seen live"
24,"""Hotline Bling""",Drake,"Hip-Hop, rap, rnb"
25,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,"seen live, dancehall, electronic"
26,"""Send My Love (To Your New Lover)""",Adele,"soul, female vocalists, british"
27,"""Roses""",The Chainsmokers featuring Rozes,"electronic, pop, House"
28,"""Treat You Better""",Shawn Mendes,"pop, Canadian, seen live"
29,"""Too Good""",Drake featuring Rihanna,"Hip-Hop, rap, rnb"
30,"""Low Life""",Future featuring The Weeknd,"Hip-Hop, rap, trap"
31,"""What Do You Mean?""",Justin Bieber,"pop, black metal, justin bieber"
32,"""The Hills""",The Weeknd,"rnb, electronic, Canadian"
33,"""Just Like Fire""",P!nk,"pop, pop rock, female vocalists"
34,"""Broccoli""",DRAM featuring Lil Yachty,"rnb, trap, Hip-Hop"
35,"""Don't""",Bryson Tiller,"rnb, Hip-Hop, trap"
36,"""Dangerous Woman""",Ariana Grande,"pop, rnb, female vocalists"
37,"""Jumpman""",Drake and Future,"Hip-Hop, rap, trap"
38,"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien,"pop, rock, Grunge"
39,"""Here""",Alessia Cara,"pop, soul, rnb"
40,"""Same Old Love""",Selena Gomez,"pop, female vocalists, Disney"
41,"""Controlla""",Drake,"Hip-Hop, rap, rnb"
42,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,"pop, female vocalists, soul"
43,"""One Call Away""",Charlie Puth,"pop, rnb, soul"
44,"""Let It Go""",James Bay,"folk, indie, singer-songwriter"
45,"""No""",Meghan Trainor,"pop, female vocalists, soul"
46,"""Never Forget You""",Zara Larsson and MNEK,Unknown
47,"""Let Me Love You""",DJ Snake featuring Justin Bieber,"electronic, trap, dance"
48,"""Don't Mind""",Kent Jones,"Hip-Hop, rap, comedy"
49,"""H.O.L.Y.""",Florida Georgia Line,"country, country rock, male vocalists"
50,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,"pop, rnb, soul"
51,"""Into You""",Ariana Grande,"pop, rnb, female vocalists"
52,"""Gold""",Kiiara,"pop, electronic, indie"
53,"""Exchange""",Bryson Tiller,"rnb, Hip-Hop, trap"
54,"""679""",Fetty Wap featuring Remy Boyz,"Hip-Hop, rap, trap"
55,"""Oui""",Jeremih,"rnb, Hip-Hop, soul"
56,"""Hands to Myself""",Selena Gomez,"pop, female vocalists, Disney"
57,"""2 Phones""",Kevin Gates,"Hip-Hop, rap, trap"
58,"""Starboy""",The Weeknd featuring Daft Punk,"rnb, electronic, Canadian"
59,"""For Free""",DJ Khaled featuring Drake,"Hip-Hop, rap, hip hop"
60,"""Never Be Like You""",Flume featuring Kai,"electronic, chillout, seen live"
61,"""In the Night""",The Weeknd,"rnb, electronic, Canadian"
62,"""Me Too""",Meghan Trainor,"pop, female vocalists, soul"
63,"""Ex's & Oh's""",Elle King,"indie pop, rock, female vocalists"
64,"""Die a Happy Man""",Thomas Rhett,"country, male vocalists, contemporary country"
65,"""White Iverson""",Post Malone,"Hip-Hop, rap, trap"
66,"""Close""",Nick Jonas featuring Tove Lo,"pop, pop rock, jonas brothers"
67,"""Unsteady""",X Ambassadors,"indie, pop, seen live"
68,"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign 
featuring X Ambassadors","rap, Hip-Hop, Dirty South"
69,"""Down in the DM""",Yo Gotti featuring Nicki Minaj,"rap, Dirty South, Hip-Hop"
70,"""Luv""",Tory Lanez,"rnb, Hip-Hop, rap"
71,"""Sorry""",Beyoncé,"rnb, pop, female vocalists"
72,"""Can't Feel My Face""",The Weeknd,"rnb, electronic, Canadian"
73,"""Hymn for the Weekend""",Coldplay,"rock, alternative, britpop"
74,"""Say It""",Tory Lanez,"rnb, Hip-Hop, rap"
75,"""Antidote""",Travis Scott,"Hip-Hop, trap, rap"
76,"""Lost Boy""",Ruth B,"pop, piano, Canadian"
77,"""Side to Side""",Ariana Grande featuring Nicki Minaj,"pop, rnb, female vocalists"
78,"""Sit Still, Look Pretty""",Daya,"pop, indie, indie pop"
79,"""Wildest Dreams""",Taylor Swift,"country, pop, female vocalists"
80,"""Middle""",DJ Snake featuring Bipolar Sunshine,"electronic, trap, dance"
81,"""On My Mind""",Ellie Goulding,"female vocalists, electronic, british"
82,"""Pop Style""",Drake featuring Jay-Z and Kanye West[a],"Hip-Hop, rap, rnb"
83,"""When We Were Young""",Adele,"soul, female vocalists, british"
84,"""Hide Away""",Daya,"pop, indie, indie pop"
85,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Unknown
86,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,Unknown
87,"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared,Unknown
88,"""Watch Me""",Silentó,"hip hop, Hip-Hop, rap"
89,"""Back to Sleep""",Chris Brown,"rnb, Hip-Hop, Chris Brown"
90,"""No Limit""",Usher featuring Young Thug,"rnb, Hip-Hop, pop"
91,"""Cut It""",O.T. Genasis featuring Young Dolph,"Hip-Hop, rap, trap"
92,"""Really Really""",Kevin Gates,"Hip-Hop, rap, trap"
93,"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap,"pop, female vocalists, american"
94,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,Unknown
95,"""Adventure of a Lifetime""",Coldplay,"rock, alternative, britpop"
96,"""Humble and Kind""",Tim McGraw,"country, Tim McGraw, modern country"
97,"""Wicked""",Future,"Hip-Hop, rap, trap"
98,"""Tiimmy Turner""",Desiigner,"Hip-Hop, rap, trap"
99,"""See You Again""",Wiz Khalifa featuring Charlie Puth,"Hip-Hop, rap, underground hip-hop"
100,"""Perfect""",One Direction,"pop, british, one direction"
