No.,Title,Artist,Top_Tags
1,"""Rolling in the Deep""",Adele,"soul, female vocalists, british"
2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,Unknown
3,"""Firework""",Katy Perry,"pop, female vocalists, pop rock"
4,"""E.T.""",Katy Perry featuring Kanye West,"pop, female vocalists, pop rock"
5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",Unknown
6,"""Grenade""",Bruno Mars,"pop, rnb, male vocalists"
7,"""Fuck You (Forget You)""",CeeLo Green,"soul, funk, Hip-Hop"
8,"""Super Bass""",Nicki Minaj,"Hip-Hop, rap, rnb"
9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,"pop, dance, rock"
10,"""Just Can't Get Enough""",The Black Eyed Peas,"Hip-Hop, pop, rnb"
11,"""On the Floor""",Jennifer Lopez featuring Pitbull,"pop, latin, rnb"
12,"""S&M""",Rihanna,"pop, rnb, female vocalists"
13,"""Pumped Up Kicks""",Foster the People,"indie, indie pop, alternative"
14,"""Last Friday Night (T.G.I.F.)""",Katy Perry,"pop, female vocalists, pop rock"
15,"""Just the Way You Are""",Bruno Mars,"pop, rnb, male vocalists"
16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,Unknown
17,"""Raise Your Glass""",Pink,"pop, female vocalists, pop rock"
18,"""Born This Way""",Lady Gaga,"pop, dance, electronic"
19,"""Fuckin' Perfect""",Pink,"pop, female vocalists, pop rock"
20,"""What's My Name?""",Rihanna featuring Drake,"pop, rnb, female vocalists"
21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,Unknown
22,"""Down on Me""",Jeremih featuring 50 Cent,"rnb, Hip-Hop, soul"
23,"""How to Love""",Lil Wayne,"rap, Hip-Hop, Dirty South"
24,"""Someone Like You""",Adele,"soul, female vocalists, british"
25,"""Good Life""",OneRepublic,"rock, pop rock, alternative"
26,"""The Lazy Song""",Bruno Mars,"pop, rnb, male vocalists"
27,"""Till the World Ends""",Britney Spears,"pop, dance, female vocalists"
28,"""The Show Goes On""",Lupe Fiasco,"Hip-Hop, rap, hip hop"
29,"""The Edge of Glory""",Lady Gaga,"pop, dance, electronic"
30,"""We R Who We R""",Kesha,"pop, dance, electropop"
31,"""Black and Yellow""",Wiz Khalifa,"Hip-Hop, rap, underground hip-hop"
32,"""Tonight Tonight""",Hot Chelle Rae,"rock, pop, alternative"
33,"""Blow""",Kesha,"pop, dance, electropop"
34,"""Lighters""",Bad Meets Evil featuring Bruno Mars,Unknown
35,"""If I Die Young""",The Band Perry,"country, female vocalists, modern country"
36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,"Hip-Hop, indie, alternative"
37,"""The Time (Dirty Bit)""",The Black Eyed Peas,"Hip-Hop, pop, rnb"
38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,Unknown
39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,"Hip-Hop, rap, Reggaeton"
40,"""Only Girl (In the World)""",Rihanna,"pop, rnb, female vocalists"
41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,"rap, Hip-Hop, Dirty South"
42,"""Just a Kiss""",Lady Antebellum,"country, modern country, country pop"
43,"""Dirt Road Anthem""",Jason Aldean,"country, modern country, Jason Aldean"
44,"""Dynamite""",Taio Cruz,"rnb, pop, Hip-Hop"
45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,Unknown
46,"""I Wanna Go""",Britney Spears,"pop, dance, female vocalists"
47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",Unknown
48,"""You Make Me Feel...""",Cobra Starship featuring Sabi,"pop punk, alternative, rock"
49,"""Yeah 3x""",Chris Brown,"rnb, Hip-Hop, Chris Brown"
50,"""Moment 4 Life""",Nicki Minaj featuring Drake,"Hip-Hop, rap, rnb"
51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,Unknown
52,"""Just a Dream""",Nelly,"Hip-Hop, rap, rnb"
53,"""Motivation""",Kelly Rowland featuring Lil Wayne,"rnb, pop, female vocalists"
54,"""Stereo Love""",Edward Maya featuring Vika Jigulina,"dance, eletronica, electronic"
55,"""Jar of Hearts""",Christina Perri,"female vocalists, pop, singer-songwriter"
56,"""Roll Up""",Wiz Khalifa,"Hip-Hop, rap, underground hip-hop"
57,"""Sexy and I Know It""",LMFAO,"electronic, Hip-Hop, electro"
58,"""Rocketeer""",Far East Movement featuring Ryan Tedder,"Hip-Hop, electronic, electro hop"
59,"""All of the Lights""",Kanye West,"Hip-Hop, rap, hip hop"
60,"""Hold It Against Me""",Britney Spears,"pop, dance, female vocalists"
61,"""More""",Usher,"rnb, Hip-Hop, pop"
62,"""What the Hell""",Avril Lavigne,"pop, pop rock, rock"
63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner,"Hip-Hop, Grime, rap"
64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,"rnb, soul, male vocalists"
65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,"rnb, Hip-Hop, pop"
66,"""For the First Time""",The Script,"pop rock, irish, rock"
67,"""Honey Bee""",Blake Shelton,"country, modern country, Blake Shelton"
68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,"pop, female vocalists, pop rock"
69,"""We Found Love""",Rihanna featuring Calvin Harris,"pop, rnb, female vocalists"
70,"""Pretty Girl Rock""",Keri Hilson,"rnb, pop, female vocalists"
71,"""Yoü and I""",Lady Gaga,"pop, dance, electronic"
72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,Unknown
73,"""Without You""",David Guetta featuring Usher,"House, dance, electronic"
74,"""Back to December""",Taylor Swift,"country, pop, female vocalists"
75,"""Teenage Dream""",Katy Perry,"pop, female vocalists, pop rock"
76,"""Crazy Girl""",Eli Young Band,"country, texas country, alternative country"
77,"""Cheers (Drink to That)""",Rihanna,"pop, rnb, female vocalists"
78,"""Who Says""",Selena Gomez & the Scene,"pop, dance, female vocalists"
79,"""Barefoot Blue Jean Night""",Jake Owen,"country, modern country, male vocalists"
80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,"country, modern country, zac brown band"
81,"""Country Girl (Shake It for Me)""",Luke Bryan,"country, new country, modern country"
82,"""Remind Me""",Brad Paisley and Carrie Underwood,"country, emotion"
83,"""In the Dark""",Dev,"electronic, pop, female vocalists"
84,"""Backseat""",New Boyz featuring The Cataracs and Dev,Unknown
85,"""Headlines""",Drake,"Hip-Hop, rap, rnb"
86,"""Best Thing I Never Had""",Beyoncé,"rnb, pop, female vocalists"
87,"""Don't Wanna Go Home""",Jason Derulo,"rnb, pop, male vocalists"
88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,"House, dance, electronic"
89,"""She Ain't You""",Chris Brown,"rnb, Hip-Hop, Chris Brown"
90,"""Take a Back Road""",Rodney Atkins,"country, modern country, contemporary country"
91,"""Please Don't Go""",Mike Posner,"rnb, Hip-Hop, pop"
92,"""Sure Thing""",Miguel,"rnb, soul, r&b"
93,"""Price Tag""",Jessie J featuring B.o.B,"pop, british, female vocalists"
94,"""God Gave Me You""",Blake Shelton,"country, modern country, Blake Shelton"
95,"""She Will""",Lil Wayne featuring Drake,"rap, Hip-Hop, Dirty South"
96,"""Are You Gonna Kiss Me or Not""",Thompson Square,"country, country rock, my kind of country"
97,"""Animal""",Neon Trees,"indie, indie rock, alternative"
98,"""You and Tequila""",Kenny Chesney featuring Grace Potter,"country, Kenny Chesney, modern country"
99,"""Colder Weather""",Zac Brown Band,"country, modern country, zac brown band"
100,"""My Last""",Big Sean featuring Chris Brown,"Hip-Hop, rap, hip hop"
