No.,Title,Artist,Top_Tags
1,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,"Hip-Hop, rap, trap"
2,"""Sunflower""",Post Malone and Swae Lee,Unknown
3,"""Without Me""",Halsey,"pop, indie pop, indie"
4,"""Bad Guy""",Billie Eilish,"pop, indie pop, seen live"
5,"""Wow""",Post Malone,"Hip-Hop, rap, trap"
6,"""Happier""",Marshmello and Bastille,Unknown
7,"""7 Rings""",Ariana Grande,"pop, rnb, female vocalists"
8,"""Talk""",Khalid,"rnb, pop, soul"
9,"""Sicko Mode""",Travis Scott,"Hip-Hop, trap, rap"
10,"""Sucker""",Jonas Brothers,"pop, pop rock, Disney"
11,"""High Hopes""",Panic! at the Disco,"rock, alternative, emo"
12,"""Thank U, Next""",Ariana Grande,"pop, rnb, female vocalists"
13,"""Truth Hurts""",Lizzo,"seen live, Hip-Hop, rnb"
14,"""Dancing with a Stranger""",Sam Smith and Normani,Unknown
15,"""Señorita""",Shawn Mendes and Camila Cabello,Unknown
16,"""I Don't Care""",Ed Sheeran and Justin Bieber,Unknown
17,"""Eastside""","Benny Blanco, Halsey and Khalid","pop, electronic, hip hop"
18,"""Going Bad""",Meek Mill featuring Drake,"Hip-Hop, rap, hip hop"
19,"""Shallow""",Lady Gaga and Bradley Cooper,Unknown
20,"""Better""",Khalid,"rnb, pop, soul"
21,"""No Guidance""",Chris Brown featuring Drake,"rnb, Hip-Hop, Chris Brown"
22,"""Girls Like You""",Maroon 5 featuring Cardi B,"rock, pop, pop rock"
23,"""Sweet but Psycho""",Ava Max,"pop, electropop, female vocalists"
24,"""Suge""",DaBaby,"Hip-Hop, rap, trap"
25,"""Middle Child""",J. Cole,"Hip-Hop, rap, underground hip-hop"
26,"""Drip Too Hard""",Lil Baby and Gunna,Unknown
27,"""Someone You Loved""",Lewis Capaldi,"pop, seen live, pop rock"
28,"""Ransom""",Lil Tecca,"rap, Hip-Hop, trap"
29,"""If I Can't Have You""",Shawn Mendes,"pop, Canadian, seen live"
30,"""Goodbyes""",Post Malone featuring Young Thug,"Hip-Hop, rap, trap"
31,"""Zeze""",Kodak Black featuring Travis Scott and Offset,"trap, Hip-Hop, rap"
32,"""Better Now""",Post Malone,"Hip-Hop, rap, trap"
33,"""Youngblood""",5 Seconds of Summer,"pop rock, pop punk, rock"
34,"""Money in the Grave""",Drake featuring Rick Ross,"Hip-Hop, rap, rnb"
35,"""Speechless""",Dan + Shay,Unknown
36,"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,"pop, rnb, female vocalists"
37,"""Please Me""",Cardi B and Bruno Mars,Unknown
38,"""Money""",Cardi B,"Hip-Hop, rap, trap"
39,"""You Need to Calm Down""",Taylor Swift,"country, pop, female vocalists"
40,"""Panini""",Lil Nas X,"Hip-Hop, rap, trap"
41,"""Look Back at It""",A Boogie wit da Hoodie,"rap, Hip-Hop, hip hop"
42,"""A Lot""",21 Savage,"trap, Hip-Hop, rap"
43,"""Me!""",Taylor Swift featuring Brendon Urie,"country, pop, female vocalists"
44,"""Mia""",Bad Bunny featuring Drake,"Reggaeton, latin, trap"
45,"""Pop Out""",Polo G featuring Lil Tjay,"rap, Hip-Hop, trap"
46,"""Beautiful Crazy""",Luke Combs,"country, contemporary country, seen live"
47,"""Thotiana""",Blueface,"Hip-Hop, rap, trap"
48,"""Lucid Dreams""",Juice Wrld,"Hip-Hop, rap, emo rap"
49,"""Mo Bamba""",Sheck Wes,"trap, Hip-Hop, seen live"
