No.,Title,Artist,Top_Tags
1,"""Tik Tok""",Kesha,"pop, dance, electropop"
2,"""Need You Now""",Lady Antebellum,"country, modern country, country pop"
3,"""Hey, Soul Sister""",Train,"rock, alternative rock, alternative"
4,"""California Gurls""",Katy Perry featuring Snoop Dogg,"pop, female vocalists, pop rock"
5,"""OMG""",Usher featuring will.i.am,"rnb, Hip-Hop, pop"
6,"""Airplanes""",B.o.B featuring Hayley Williams,Unknown
7,"""Love the Way You Lie""",Eminem featuring Rihanna,"rap, Hip-Hop, Eminem"
8,"""Bad Romance""",Lady Gaga,"pop, Lady Gaga, dance"
9,"""Dynamite""",Taio Cruz,"rnb, pop, Hip-Hop"
10,"""Break Your Heart""",Taio Cruz featuring Ludacris,"rnb, pop, Hip-Hop"
11,"""Nothin' on You""",B.o.B featuring Bruno Mars,"Hip-Hop, rap, hip hop"
12,"""I Like It""",Enrique Iglesias featuring Pitbull,"pop, latin, spanish"
13,"""BedRock""",Young Money featuring Lloyd,"Hip-Hop, rap, young money"
14,"""In My Head""",Jason Derulo,"rnb, pop, male vocalists"
15,"""Rude Boy""",Rihanna,"pop, rnb, female vocalists"
16,"""Telephone""",Lady Gaga featuring Beyoncé,Unknown
17,"""Teenage Dream""",Katy Perry,"pop, female vocalists, pop rock"
18,"""Just the Way You Are""",Bruno Mars,"pop, rnb, male vocalists"
19,"""Cooler Than Me""",Mike Posner,"rnb, Hip-Hop, pop"
20,"""Imma Be""",The Black Eyed Peas,"Hip-Hop, black eyed peas, dance"
21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,"Hip-Hop, rap, hip hop"
22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,"rnb, Hip-Hop, pop"
23,"""Billionaire""",Travie McCoy featuring Bruno Mars,"Hip-Hop, rap, alternative rap"
24,"""Not Afraid""",Eminem,"rap, Hip-Hop, Eminem"
25,"""Replay""",Iyaz,"rnb, Hip-Hop, pop"
26,"""Sexy Bitch""",David Guetta featuring Akon,"House, dance, electronic"
27,"""Breakeven""",The Script,"pop rock, irish, rock"
28,"""Your Love Is My Drug""",Kesha,"pop, dance, electropop"
29,"""I Gotta Feeling""",The Black Eyed Peas,"Hip-Hop, pop, rnb"
30,"""Fireflies""",Owl City,love at first listening
31,"""Say Aah""",Trey Songz featuring Fabolous,"rnb, soul, male vocalists"
32,"""Find Your Love""",Drake,"Hip-Hop, rap, rnb"
33,"""Alejandro""",Lady Gaga,"pop, Lady Gaga, dance"
34,"""Ridin' Solo""",Jason Derulo,"rnb, pop, male vocalists"
35,"""Just a Dream""",Nelly,"Hip-Hop, rap, rnb"
36,"""How Low""",Ludacris,"rap, Hip-Hop, Dirty South"
37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,Unknown
38,"""Carry Out""",Timbaland featuring Justin Timberlake,"Hip-Hop, rnb, rap"
39,"""Haven't Met You Yet""",Michael Bublé,"jazz, swing, easy listening"
40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,"House, dance, rnb"
41,"""Down""",Jay Sean featuring Lil Wayne,"rnb, pop, soul"
42,"""Bulletproof""",La Roux,"electropop, electronic, synthpop"
43,"""Whatcha Say""",Jason Derulo,"rnb, pop, male vocalists"
44,"""Baby""",Justin Bieber featuring Ludacris,"pop, black metal, justin bieber"
45,"""Whataya Want from Me""",Adam Lambert,"pop, rock, glam"
46,"""Mine""",Taylor Swift,"country, pop, female vocalists"
47,"""Only Girl (In the World)""",Rihanna,"pop, rnb, female vocalists"
48,"""Live Like We're Dying""",Kris Allen,"American Idol, pop, singer-songwriter"
49,"""Hard""",Rihanna featuring Jeezy,"pop, rnb, female vocalists"
50,"""Young Forever""",Jay-Z featuring Mr Hudson,Unknown
51,"""Blah Blah Blah""",Kesha featuring 3OH!3,Unknown
52,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,"rnb, soul, male vocalists"
53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,Unknown
54,"""All the Right Moves""",OneRepublic,"rock, pop rock, alternative"
55,"""According to You""",Orianthi,"rock, pop rock, female vocalists"
