No.,Title,Artist,Top_Tags
1,"""Lose Control""",Teddy Swims,"soul, singer-songwriter, rnb"
2,"""A Bar Song (Tipsy)""",Shaboozey,"country, rap, Hip-Hop"
3,"""Beautiful Things""",Benson Boone,"pop, pop rock, rock"
4,"""I Had Some Help""",Post Malone featuring Morgan Wallen,"Hip-Hop, rap, trap"
5,"""Lovin on Me""",Jack Harlow,"rap, Hip-Hop, trap"
6,"""Not Like Us""",Kendrick Lamar,"Hip-Hop, rap, seen live"
7,"""Espresso""",Sabrina Carpenter,"pop, indie pop, folk"
8,"""Million Dollar Baby""",Tommy Richman,"rnb, rap, funk"
9,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,"country, singer-songwriter, americana"
10,"""Too Sweet""",Hozier,"blues, indie, soul"
11,"""Stick Season""",Noah Kahan,"indie, folk, singer-songwriter"
12,"""Cruel Summer""",Taylor Swift,"country, pop, female vocalists"
13,"""Greedy""",Tate McRae,justin's music discovery
14,"""Like That""","Future, Metro Boomin and Kendrick Lamar","Hip-Hop, rap, trap"
15,"""Birds of a Feather""",Billie Eilish,"pop, indie pop, seen live"
16,"""Please Please Please""",Sabrina Carpenter,"pop, indie pop, folk"
17,"""Agora Hills""",Doja Cat,"pop, rnb, rap"
18,"""Good Luck, Babe!""",Chappell Roan,"pop, seen live, indie pop"
19,"""Saturn""",SZA,"rnb, soul, electronic"
20,"""Snooze""",SZA,"rnb, soul, electronic"
21,"""Paint the Town Red""",Doja Cat,"pop, rnb, rap"
22,"""Fortnight""",Taylor Swift featuring Post Malone,"country, pop, female vocalists"
23,"""Fast Car""",Luke Combs,"country, contemporary country, seen live"
24,"""Water""",Tyla,"rnb, pop, amapiano"
25,"""Feather""",Sabrina Carpenter,"pop, indie pop, folk"
26,"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,"pop, rnb, female vocalists"
27,"""Austin""",Dasha,"pop, country, indie rock"
28,"""Last Night""",Morgan Wallen,"country, racist, country pop"
29,"""Cowgirls""",Morgan Wallen featuring Ernest,"country, racist, country pop"
30,"""Pink Skies""",Zach Bryan,"country, singer-songwriter, americana"
31,"""Thinkin' Bout Me""",Morgan Wallen,"country, racist, country pop"
32,"""Texas Hold 'Em""",Beyoncé,"rnb, pop, female vocalists"
33,"""Is It Over Now?""",Taylor Swift,"country, pop, female vocalists"
34,"""Miles on It""",Marshmello and Kane Brown,Unknown
35,"""I Can Do It with a Broken Heart""",Taylor Swift,"country, pop, female vocalists"
36,"""Wild Ones""",Jessie Murph and Jelly Roll,Unknown
37,"""Ain't No Love in Oklahoma""",Luke Combs,"country, contemporary country, seen live"
38,"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti,Unknown
39,"""Houdini""",Eminem,"rap, Hip-Hop, Eminem"
40,"""Wanna Be""",GloRilla and Megan Thee Stallion,Unknown
41,"""Slow It Down""",Benson Boone,"pop, pop rock, rock"
42,"""Redrum""",21 Savage,"trap, Hip-Hop, rap"
43,"""Houdini""",Dua Lipa,"pop, seen live, electropop"
44,"""Yeah Glo!""",GloRilla,"rap, trap, Hip-Hop"
45,"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,"Hip-Hop, rap, rnb"
46,"""What Was I Made For?""",Billie Eilish,"pop, indie pop, seen live"
47,"""End of Beginning""",Djo,"psychedelic pop, seen live, indie"
48,"""Lunch""",Billie Eilish,"pop, indie pop, seen live"
49,"""Never Lose Me""",Flo Milli,"Hip-Hop, rap, trap"
50,"""Lies Lies Lies""",Morgan Wallen,"country, racist, country pop"
51,"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti","Hip-Hop, rap, trap"
52,"""Gata Only""",FloyyMenor and Cris MJ,Unknown
53,"""Hot to Go!""",Chappell Roan,"pop, seen live, indie pop"
54,"""All I Want for Christmas Is You""",Mariah Carey,"pop, rnb, female vocalists"
55,"""Get It Sexyy""",Sexyy Red,"trap, rap, Hip-Hop"
56,"""Made for Me""",Muni Long,"rnb, soul, pop"
57,"""Vampire""",Olivia Rodrigo,"pop, pop rock, rock"
58,"""Whatever She Wants""",Bryson Tiller,"rnb, Hip-Hop, trap"
59,"""Rockin' Around the Christmas Tree""",Brenda Lee,"oldies, 60s, female vocalists"
60,"""Pretty Little Poison""",Warren Zeiders,"country, USA, american"
61,"""First Person Shooter""",Drake featuring J. Cole,"Hip-Hop, rap, rnb"
62,"""Die with a Smile""",Lady Gaga and Bruno Mars,Unknown
63,"""I Like the Way You Kiss Me""",Artemas,"pop, british, rnb"
64,"""Need a Favor""",Jelly Roll,"rap, Hip-Hop, country"
65,"""Save Me""",Jelly Roll featuring Lainey Wilson,"rap, Hip-Hop, country"
66,"""Euphoria""",Kendrick Lamar,"Hip-Hop, rap, seen live"
67,"""Truck Bed""",Hardy,"country rock, rock, country"
68,"""Jingle Bell Rock""",Bobby Helms,"country, christmas, rockabilly"
69,"""Flowers""",Miley Cyrus,"pop, female vocalists, Disney"
70,"""Where the Wild Things Are""",Luke Combs,"country, contemporary country, seen live"
71,"""Everybody""",Nicki Minaj featuring Lil Uzi Vert,"Hip-Hop, rap, rnb"
72,"""La Diabla""",Xavi,"pop, Reggaeton, regional mexican"
73,"""Stargazing""",Myles Smith,"folk, british, alternative"
74,"""Last Christmas""",Wham!,"80s, pop, british"
75,"""I Am Not Okay""",Jelly Roll,"rap, Hip-Hop, country"
76,"""Pour Me a Drink""",Post Malone featuring Blake Shelton,"Hip-Hop, rap, trap"
77,"""White Horse""",Chris Stapleton,"country, americana, singer-songwriter"
78,"""Lil Boo Thang""",Paul Russell,"Hip-Hop, electronica, rap"
79,"""Good Good""","Usher, Summer Walker and 21 Savage","rnb, Hip-Hop, pop"
80,"""Act II: Date @ 8""",4Batz and Drake,Unknown
81,"""High Road""",Koe Wetzel featuring Jessie Murph,"country, texas, rock"
82,"""Monaco""",Bad Bunny,"Reggaeton, latin, trap"
83,"""IDGAF""",Drake featuring Yeat,"Hip-Hop, rap, rnb"
84,"""Burn It Down""",Parker McCollum,"country, folk, americana"
85,"""FukUMean""",Gunna,"rap, trap, Hip-Hop"
86,"""Taste""",Sabrina Carpenter,"pop, indie pop, folk"
87,"""Where It Ends""",Bailey Zimmerman,"country, contemporary country, singer-songwriter"
88,"""FTCU""",Nicki Minaj,"Hip-Hop, rap, rnb"
89,"""Wildflower""",Billie Eilish,"pop, indie pop, seen live"
90,"""World on Fire""",Nate Smith,"jazz, seen live, drums"
91,"""On My Mama""",Victoria Monét,"rnb, soul, Hip-Hop"
92,"""Yes, And?""",Ariana Grande,"pop, rnb, female vocalists"
93,"""Exes""",Tate McRae,"pop, Canadian, electronic"
94,"""A Holly Jolly Christmas""",Burl Ives,"folk, oldies, christmas"
95,"""Wind Up Missin' You""",Tucker Wetmore,"country, USA, contemporary country"
96,"""Bulletproof""",Nate Smith,"jazz, seen live, drums"
97,"""Fe!n""",Travis Scott featuring Playboi Carti,"Hip-Hop, trap, rap"
98,"""The Painter""",Cody Johnson,"country, contemporary country, USA"
99,"""Down Bad""",Taylor Swift,"country, pop, female vocalists"
100,"""Dance the Night""",Dua Lipa,"pop, seen live, electropop"
