Title,Artist,UG_link
"""We Belong Together""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/we-belong-together-chords-884422
"""Hollaback Girl""",Gwen Stefani,https://tabs.ultimate-guitar.com/tab/gwen-stefani/hollaback-girl-chords-1749921
"""Let Me Love You""",Mario,https://tabs.ultimate-guitar.com/tab/mario/let-me-love-you-chords-176961
"""Since U Been Gone""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/since-u-been-gone-official-2309255
"""1, 2 Step""",Ciara featuring Missy Elliott,https://tabs.ultimate-guitar.com/tab/ciara/1-2-step-chords-5334867
"""Gold Digger""",Kanye West featuring Jamie Foxx,https://tabs.ultimate-guitar.com/tab/kanye-west/gold-digger-chords-1313918
"""Boulevard of Broken Dreams""",Green Day,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-137855
"""Candy Shop""",50 Cent featuring Olivia,not found
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,https://tabs.ultimate-guitar.com/tab/the-pussycat-dolls/stickwitu-chords-278595
"""Behind These Hazel Eyes""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/behind-these-hazel-eyes-official-2309263
"""Disco Inferno""",50 Cent,not found
"""You and Me""",Lifehouse,https://tabs.ultimate-guitar.com/tab/lifehouse/you-and-me-chords-162344
"""Don't Phunk with My Heart""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/sonicflood/open-the-eyes-of-my-heart-chords-364369
"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,https://tabs.ultimate-guitar.com/tab/ciara/1-2-step-chords-5334867
"""Shake It Off""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/shake-it-off-chords-518698
"""Mr. Brightside""",The Killers,https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords-202646
"""Just a Lil Bit""",50 Cent,https://tabs.ultimate-guitar.com/tab/carrie-underwood/i-just-cant-live-a-lie-chords-965704
"""Pon de Replay""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/pon-de-replay-chords-2064061
"""How We Do""",The Game featuring 50 Cent,https://tabs.ultimate-guitar.com/tab/the-script/the-man-who-cant-be-moved-chords-716149
"""Beverly Hills""",Weezer,https://tabs.ultimate-guitar.com/tab/weezer/beverly-hills-chords-189238
"""Oh""",Ciara featuring Ludacris,not found
"""Lonely No More""",Rob Thomas,https://tabs.ultimate-guitar.com/tab/rob-thomas/lonely-no-more-chords-178324
"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,https://tabs.ultimate-guitar.com/tab/snoop-dogg/drop-it-like-its-hot-chords-5680994
