Title,Artist,Chords
"""Rolling in the Deep""",Adele,"['C5', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'Ab', 'Bb', 'Gm', 'Ab', 'Ab', 'Bb', 'Gm', 'G', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'C5', 'G5', 'Bb5', 'G5', 'Bb5', 'Ab', 'Bb', 'Gm', 'Ab', 'Ab', 'Bb', 'Gm', 'G', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'C5', 'C5', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm', 'Bb', 'Ab', 'Bb', 'Cm']"
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,"['G#', 'D#', 'C#', 'G#', 'D#', 'C#', 'G#', 'D#', 'C#', 'G#', 'D#', 'C#', 'G#', 'D#', 'C#']"
"""Firework""",Katy Perry,"['G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'Em', 'C', 'G', 'D', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C', 'G', 'Am', 'Em', 'C']"
"""E.T.""",Katy Perry featuring Kanye West,not found
"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",not found
"""Grenade""",Bruno Mars,"['Dm', 'Dm', 'Am', 'Am', 'Dm', 'Dm', 'Am', 'A7', 'Dm', 'Am', 'Dm', 'Bb', 'A', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Bb', 'C', 'F', 'A', 'Dm', 'C', 'Bb', 'A', 'Dm', 'Dm', 'Am', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'A7', 'Dm', 'Am', 'Dm', 'Bb', 'A', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Bb', 'C', 'F', 'A', 'Dm', 'C', 'Bb', 'A', 'Gm', 'Dm', 'Gm', 'A', 'Dm', 'Dm', 'Bb', 'A', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'Bb', 'C', 'F', 'A', 'Dm', 'C', 'Bb', 'A', 'Dm', 'Dm', 'Am', 'Am', 'Dm', 'Dm', 'Am', 'Am']"
"""Fuck You (Forget You)""",CeeLo Green,not found
"""Super Bass""",Nicki Minaj,"['G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'Em', 'G', 'Em', 'Cadd9', 'Em', 'G', 'G', 'Cadd9', 'G', 'Cadd9', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D', 'G', 'Cadd9', 'Em', 'D']"
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,"['Em', 'G', 'D', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C', 'Em', 'G', 'D', 'C']"
"""Just Can't Get Enough""",The Black Eyed Peas,not found
