Title,Artist,Chords
"""Bad Day""",Daniel Powter,"['Eb', 'Ab', 'Bb', 'Ab', 'Eb', 'Ab', 'Bb', 'Ab', 'Eb', 'Ab', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Eb', 'Fm', 'Bb', 'Ab', 'Bb', 'Eb', 'Ab', 'Bb', 'Ab', 'Eb', 'Ab', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Eb', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Fm', 'Bb', 'Eb', 'Eb', 'Ab', 'Bb', 'Ab', 'Eb', 'Ab', 'Bb', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Cm', 'Bb', 'Ab', 'Eb', 'Fm', 'Gm', 'F#', 'B', 'F#', 'B', 'Bb', 'Eb', 'Ab', 'Bb', 'Ab', 'Eb', 'Ab', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Cm', 'B', 'Eb', 'F', 'Ab', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb', 'Eb', 'Ab', 'Fm', 'Bb']"
"""Temperature""",Sean Paul,"['Bbm', 'C', 'G#m', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'C', 'Bbm', 'G#m', 'Bbm', 'C', 'Bbm', 'G#m']"
"""Promiscuous""",Nelly Furtado featuring Timbaland,"['A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'A#m', 'Ebm', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'D#m', 'F#', 'A#m', 'Fmaj7', 'F#', 'A#m', 'Ebm']"
"""You're Beautiful""",James Blunt,"['C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C/B', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C/B', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'G', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'C/B', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'C']"
"""Hips Don't Lie""",Shakira featuring Wyclef Jean,"['Bbm', 'Ebm', 'Ab', 'F', 'Gb', 'Ab', 'Bbm', 'Bbm', 'Ebm', 'Ab', 'F', 'Gb', 'Ab', 'Bbm']"
"""Unwritten""",Natasha Bedingfield,"['F', 'F', 'F', 'Eb', 'Dm', 'Db', 'F', 'Eb', 'Dm', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'F', 'F', 'F', 'F', 'Eb', 'Dm', 'Db', 'F', 'Eb', 'Dm', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'F', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Dm', 'Gm', 'Bb', 'F', 'Dm', 'Gm', 'Bb', 'F']"
"""Crazy""",Gnarls Barkley,"['Cm', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'C', 'Ab', 'Eb', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'C', 'Ab', 'Eb', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'Cm', 'Eb', 'Ab', 'Gsus4', 'G', 'C', 'Ab', 'Eb', 'Gsus4', 'G', 'Cm']"
"""Ridin'""",Chamillionaire featuring Krayzie Bone,"['G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'D']"
"""SexyBack""",Justin Timberlake featuring Timbaland,"['E', 'A', 'E', 'Eb', 'E', 'Bb', 'A', 'Bb', 'Eb', 'E', 'Eb', 'A', 'E', 'A', 'E', 'A', 'Bb', 'E', 'Eb', 'E', 'Ab', 'E', 'Eb', 'E', 'A', 'Ab', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'Dm', 'A', 'A', 'Dm', 'A', 'A', 'A', 'E', 'C', 'Bb', 'A', 'Bb', 'E', 'A', 'Bb', 'A', 'Eb', 'E', 'Eb', 'E', 'Eb', 'E', 'A', 'Ab', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'Dm', 'A', 'A', 'Dm', 'A', 'A', 'Eb', 'E', 'Db', 'E', 'E', 'A', 'E', 'C', 'Bb', 'A', 'E', 'Bb', 'A', 'Bb', 'E', 'A', 'E', 'Bb', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'C', 'Bb', 'A', 'E', 'Bb', 'A']"
"""Check on It""",Beyoncé featuring Slim Thug and Bun B,not found
