Title,Artist,Chords
"""Love Yourself""",Justin Bieber,"['C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'Am', 'F', 'C', 'Am', 'F', 'C', 'Am', 'F', 'C', 'G', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'Am', 'F', 'C', 'Am', 'F', 'C', 'Am', 'F', 'C', 'G', 'Am', 'F', 'G', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'C', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G/B', 'Am', 'Dm', 'C', 'G/B', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'F', 'C']"
"""Sorry""",Justin Bieber,"['F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G', 'Dm', 'F', 'G', 'F', 'Am', 'G', 'F', 'Am', 'G']"
"""One Dance""",Drake featuring Wizkid and Kyla,"['Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'C#', 'Ebm', 'Ebm', 'Bbm', 'Bbm', 'Bbm', 'Bbm', 'Bbm', 'Bbm', 'C#', 'C#', 'C#', 'Bbm', 'C#', 'Ebm', 'Ebm']"
"""Work""",Rihanna featuring Drake,"['Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D', 'Am7', 'G/B', 'Cadd9', 'D']"
"""Stressed Out""",Twenty One Pilots,"['Am', 'C', 'Dm', 'E', 'Em', 'F', 'G', 'F', 'Dm', 'Am', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Em', 'Am', 'Em', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Em', 'Am', 'Em', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'F', 'Em', 'Am', 'Em', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'Am', 'G', 'C', 'E', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am', 'F', 'Dm', 'Am']"
"""Panda""",Desiigner,"['G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C']"
"""Hello""",Adele,"['Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'D', 'Bm', 'C', 'Em', 'D', 'C', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'G/D', 'D', 'C', 'Em', 'D', 'Bm', 'C', 'Em', 'D', 'C', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'D', 'G/D', 'Em', 'C', 'D', 'G/D', 'Em', 'C', 'D', 'G/D', 'Em', 'C', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'C', 'G/D', 'D', 'Em', 'G/D', 'D', 'C', 'Em']"
"""Don't Let Me Down""",The Chainsmokers featuring Daya,not found
"""Can't Stop the Feeling!""",Justin Timberlake,"['C', 'Bb/C', 'Am7', 'C', 'F', 'Bb/C', 'C', 'Ab/Bb', 'Bb', 'Fm7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'Bb/C', 'C', 'Bb/C', 'C', 'Ab/Bb', 'Bb', 'Fm7', 'Ab/Bb', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'Bb/C', 'C', 'Bb/C', 'C', 'Ab/Bb', 'Bb', 'Fm7', 'Ab/Bb', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'Am7', 'C', 'Am7', 'F', 'C']"
"""Closer""",The Chainsmokers featuring Halsey,"['Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb']"
